# Time,X,Y,Z
0.000000000000000000e+00,-3.899272918701170454e+01,-1.598749542236330079e+01,-5.324918212890630684e+02
6.069999999999999840e-01,-3.898780666610720402e+01,-1.597399482666019921e+01,-5.324911244799809538e+02
1.213999999999999968e+00,-3.898470580261229657e+01,-1.596501925491330098e+01,-5.324908089794920443e+02
1.820999999999999952e+00,-3.898342659652710296e+01,-1.596056870712279974e+01,-5.324908747875980453e+02
2.427999999999999936e+00,-3.898396904785160189e+01,-1.596064318328860132e+01,-5.324913219042970240e+02
3.035000000000000142e+00,-3.898633315658570098e+01,-1.596524268341059916e+01,-5.324921503295901175e+02
3.642000000000000348e+00,-3.899143075495700117e+01,-1.597693464010799858e+01,-5.324935865810080031e+02
4.249000000000000554e+00,-3.899926184296549536e+01,-1.599571905338059885e+01,-5.324956306585510220e+02
4.856000000000000760e+00,-3.900845867226989583e+01,-1.601774477430000232e+01,-5.324979427859219641e+02
5.463000000000000966e+00,-3.901765349452890064e+01,-1.603916065393779888e+01,-5.325001831868240743e+02
6.070000000000001172e+00,-3.902547856140139970e+01,-1.605611554336550029e+01,-5.325020120849610521e+02
6.677000000000001378e+00,-3.903186783341149635e+01,-1.606894461225239823e+01,-5.325025775955680274e+02
7.284000000000001585e+00,-3.903783805767560011e+01,-1.608094268763099777e+01,-5.325018454377189983e+02
7.891000000000001791e+00,-3.904364566574049888e+01,-1.609269810661799838e+01,-5.325007022408750572e+02
8.498000000000001108e+00,-3.904954708915320083e+01,-1.610479920632980111e+01,-5.325000346344979789e+02
9.105000000000000426e+00,-3.905579875946050095e+01,-1.611783432388309834e+01,-5.325007292480470369e+02
9.711999999999999744e+00,-3.906330586890560141e+01,-1.613245458910080288e+01,-5.325039192136870270e+02
1.031899999999999906e+01,-3.907270510723970602e+01,-1.614877450739609799e+01,-5.325096987836599283e+02
1.092599999999999838e+01,-3.908385015227089809e+01,-1.616657747927019884e+01,-5.325173962675401071e+02
1.153299999999999770e+01,-3.909659468180729647e+01,-1.618564690522460126e+01,-5.325263399749060227e+02
1.213999999999999702e+01,-3.911079237365720473e+01,-1.620576618576049910e+01,-5.325358582153320413e+02
1.274699999999999633e+01,-3.913195574926870535e+01,-1.623214403579640219e+01,-5.325477099631849569e+02
1.335399999999999565e+01,-3.916216498846090133e+01,-1.626707815034160021e+01,-5.325625588421410157e+02
1.396099999999999497e+01,-3.919612525659839974e+01,-1.630598540003430230e+01,-5.325780901357460380e+02
1.456799999999999429e+01,-3.922854171904599951e+01,-1.634428265551260040e+01,-5.325919891275420923e+02
1.517499999999999361e+01,-3.925411954116820112e+01,-1.637738678741459708e+01,-5.326019411010739759e+02
1.578199999999999292e+01,-3.927364587838160048e+01,-1.640302141253729928e+01,-5.326080176171980156e+02
1.638899999999999224e+01,-3.929044877576600214e+01,-1.642155005988340122e+01,-5.326120942513069849e+02
1.699599999999999156e+01,-3.930304473318150116e+01,-1.643234946839839949e+01,-5.326145623087510330e+02
1.760299999999999088e+01,-3.930995025048790126e+01,-1.643479637702840179e+01,-5.326158130948780354e+02
1.820999999999999019e+01,-3.930968182754520512e+01,-1.642826752471919960e+01,-5.326162379150389370e+02
1.881699999999998951e+01,-3.930306848042270218e+01,-1.639718249394690019e+01,-5.326153953828650174e+02
1.942399999999998883e+01,-3.929331971623339825e+01,-1.633873873373039842e+01,-5.326132157563159808e+02
2.003099999999998815e+01,-3.928252277140320103e+01,-1.627147978283009877e+01,-5.326106478072299524e+02
