# Time,X,Y,Z
0.000000000000000000e+00,-4.401111602783200283e+01,-1.145700073242190165e+01,-5.328150024414060226e+02
6.069999999999999840e-01,-4.400343634094240031e+01,-1.144869141967769899e+01,-5.328142210034179698e+02
1.213999999999999968e+00,-4.399732829833979508e+01,-1.144343373977659972e+01,-5.328140528857420577e+02
1.820999999999999952e+00,-4.399279190002439321e+01,-1.144122769271850082e+01,-5.328144980883789685e+02
2.427999999999999936e+00,-4.398982714599610233e+01,-1.144207327850340050e+01,-5.328155566113280202e+02
3.035000000000000142e+00,-4.398843403625490112e+01,-1.144597049713130055e+01,-5.328172284545901221e+02
3.642000000000000348e+00,-4.398963719470039280e+01,-1.145398409138710072e+01,-5.328201749823670070e+02
4.249000000000000554e+00,-4.399343662133279764e+01,-1.146611406127059851e+01,-5.328243961946599256e+02
4.856000000000000760e+00,-4.399829538030240172e+01,-1.148076329260469919e+01,-5.328289000451640050e+02
5.463000000000000966e+00,-4.400267653575978954e+01,-1.149633467121230090e+01,-5.328326944875740310e+02
6.070000000000001172e+00,-4.400504315185549586e+01,-1.151123108291630004e+01,-5.328347874755860403e+02
6.677000000000001378e+00,-4.399542528688310483e+01,-1.152563324131419975e+01,-5.328246063137310102e+02
7.284000000000001585e+00,-4.397233707126870428e+01,-1.154056653536799892e+01,-5.327987897195920368e+02
7.891000000000001791e+00,-4.394696767736170528e+01,-1.155570086394649998e+01,-5.327671627664379912e+02
8.498000000000001108e+00,-4.393050627751150472e+01,-1.157070612591880021e+01,-5.327395505275409278e+02
9.105000000000000426e+00,-4.393414204406739998e+01,-1.158525222015380152e+01,-5.327257780761719914e+02
9.711999999999999744e+00,-4.395652573696239784e+01,-1.159417311074589918e+01,-5.327237716877020830e+02
1.031899999999999906e+01,-4.398710342938390028e+01,-1.159549255039310012e+01,-5.327250490428659759e+02
1.092599999999999838e+01,-4.402325726356279034e+01,-1.159366512087039958e+01,-5.327298223229770429e+02
1.153299999999999770e+01,-4.406236938173020690e+01,-1.159314540395269866e+01,-5.327383037093509301e+02
1.213999999999999702e+01,-4.410182192611689800e+01,-1.159838798141479899e+01,-5.327507053833010104e+02
1.274699999999999633e+01,-4.414494388473070074e+01,-1.162275615411759766e+01,-5.327665570945530362e+02
1.335399999999999565e+01,-4.419318101619710148e+01,-1.166727582561819965e+01,-5.327843173616840886e+02
1.396099999999999497e+01,-4.424109061867389414e+01,-1.171789548173599904e+01,-5.328025915192820321e+02
1.456799999999999429e+01,-4.428322999031920659e+01,-1.176056360829050007e+01,-5.328199849019370049e+02
1.517499999999999361e+01,-4.431415642929079723e+01,-1.178122869110110038e+01,-5.328351028442380084e+02
1.578199999999999292e+01,-4.433317203324270395e+01,-1.178218826438910050e+01,-5.328486867062590591e+02
1.638899999999999224e+01,-4.434468711628779403e+01,-1.177604075397869821e+01,-5.328616242574530588e+02
1.699599999999999156e+01,-4.435092130127249987e+01,-1.176418598309309971e+01,-5.328727404464859774e+02
1.760299999999999088e+01,-4.435409421104269967e+01,-1.174802377495549877e+01,-5.328808602220179864e+02
1.820999999999999019e+01,-4.435642546844479739e+01,-1.172895395278930231e+01,-5.328848085327149420e+02
1.881699999999998951e+01,-4.435903481730800024e+01,-1.170415939631149982e+01,-5.328851469947609303e+02
1.942399999999998883e+01,-4.436134598367000592e+01,-1.167323088376569906e+01,-5.328835197487750293e+02
2.003099999999998815e+01,-4.436303456368929687e+01,-1.164118008616549993e+01,-5.328803755300669991e+02
2.063799999999998747e+01,-4.436377615352470372e+01,-1.161301867452409908e+01,-5.328761630739460315e+02
2.124499999999998678e+01,-4.436324634933470890e+01,-1.159375831985469851e+01,-5.328713311157230237e+02
2.185199999999998610e+01,-4.436104078250670568e+01,-1.159158918658480175e+01,-5.328654665293349808e+02
2.245899999999998542e+01,-4.435692330098429892e+01,-1.160444874374310054e+01,-5.328585062436419548e+02
2.306599999999998474e+01,-4.435082182576110199e+01,-1.162196961924539984e+01,-5.328514240763379348e+02
2.367299999999998406e+01,-4.434266427783060038e+01,-1.163378444100730214e+01,-5.328451938451180467e+02
