# Time,X,Y,Z
0.000000000000000000e+00,-2.836184883117680045e+01,-4.032495117187500000e+01,-5.279074096679689774e+02
7.620000000000000107e-01,-2.835834430541989803e+01,-4.032199938308720277e+01,-5.279204277001949777e+02
1.524000000000000021e+00,-2.835445334205630274e+01,-4.031888119934079384e+01,-5.279331438330079891e+02
2.286000000000000032e+00,-2.835017594108580141e+01,-4.031559662063600058e+01,-5.279455580664059653e+02
3.048000000000000043e+00,-2.834551210250850062e+01,-4.031214564697270220e+01,-5.279576704003909526e+02
3.810000000000000053e+00,-2.834046182632449984e+01,-4.030852827835079921e+01,-5.279694808349610184e+02
4.572000000000000064e+00,-2.833444380537000029e+01,-4.030467842329910155e+01,-5.279816230028829978e+02
5.333999999999999631e+00,-2.832745803964530040e+01,-4.030059608181739605e+01,-5.279940969041559811e+02
6.096000000000000085e+00,-2.832037648989539491e+01,-4.029638039111299719e+01,-5.280059520896320464e+02
6.858000000000000540e+00,-2.831407111686589673e+01,-4.029213048839289968e+01,-5.280162381101640676e+02
7.620000000000000995e+00,-2.830941388130190006e+01,-4.028794551086429720e+01,-5.280240045166020764e+02
8.382000000000001450e+00,-2.831390452345660336e+01,-4.028382545282000393e+01,-5.280257406604549715e+02
9.144000000000001904e+00,-2.833050795533349842e+01,-4.027970447598279691e+01,-5.280205128599179716e+02
9.906000000000002359e+00,-2.835329389530319588e+01,-4.027558296870410004e+01,-5.280112361158719523e+02
1.066800000000000281e+01,-2.837633206173649825e+01,-4.027146131933570672e+01,-5.280008254291990397e+02
1.143000000000000327e+01,-2.839369217300419734e+01,-4.026733991622920428e+01,-5.279921958007810190e+02
1.219200000000000372e+01,-2.840332658937010279e+01,-4.026308071013779966e+01,-5.279838076021039797e+02
1.295400000000000418e+01,-2.840795783667260110e+01,-4.025858930700290017e+01,-5.279730760981549338e+02
1.371600000000000463e+01,-2.840881088164389467e+01,-4.025393157795870280e+01,-5.279613486300689829e+02
1.447800000000000509e+01,-2.840711069101619657e+01,-4.024917339413920558e+01,-5.279499725389779314e+02
1.524000000000000554e+01,-2.840408223152160261e+01,-4.024438062667849891e+01,-5.279402951660159715e+02
1.600200000000000600e+01,-2.837490464526689848e+01,-4.020385433852920443e+01,-5.280087357270119810e+02
1.676400000000000645e+01,-2.830970744013260187e+01,-4.011402711397339971e+01,-5.281843473812809862e+02
