# Time,X,Y,Z
0.000000000000000000e+00,-5.029904937744139914e+01,-4.087396621704100141e+01,-5.651149291992189774e+02
5.849999999999999645e-01,-5.030087090362550128e+01,-4.088545965789789705e+01,-5.651144939379879588e+02
1.169999999999999929e+00,-5.030171464477540155e+01,-4.089544375854489999e+01,-5.651146404370119853e+02
1.754999999999999893e+00,-5.030158060089110705e+01,-4.090391851898190367e+01,-5.651153686962890106e+02
2.339999999999999858e+00,-5.030046877197270305e+01,-4.091088393920900046e+01,-5.651166787158200577e+02
2.924999999999999822e+00,-5.029837915801999770e+01,-4.091634001922610508e+01,-5.651185704956050131e+02
3.509999999999999787e+00,-5.029502355576239836e+01,-4.092007007218639814e+01,-5.651212417439990077e+02
4.094999999999999751e+00,-5.029040196519989792e+01,-4.092207409809009988e+01,-5.651246924609999951e+02
4.679999999999999716e+00,-5.028494669123860206e+01,-4.092267712720710193e+01,-5.651286260840779505e+02
5.264999999999999680e+00,-5.027909003878460226e+01,-4.092220418980770091e+01,-5.651327460507010301e+02
5.849999999999999645e+00,-5.027326431274410368e+01,-4.092098031616210108e+01,-5.651367557983401184e+02
6.434999999999999609e+00,-5.026683736879320463e+01,-4.091774459095610439e+01,-5.651407628760790658e+02
7.019999999999999574e+00,-5.025938351260460024e+01,-4.091207003890649929e+01,-5.651449824858149213e+02
7.604999999999999538e+00,-5.025164472407919902e+01,-4.090553260032960026e+01,-5.651492795442300121e+02
8.189999999999999503e+00,-5.024436298311820082e+01,-4.089970821554179992e+01,-5.651535189680070062e+02
8.774999999999998579e+00,-5.023828026962279125e+01,-4.089617282485959748e+01,-5.651575656738280031e+02
9.359999999999999432e+00,-5.023723718002420213e+01,-4.089554617416440152e+01,-5.651604864293840365e+02
9.945000000000000284e+00,-5.024205754604879104e+01,-4.089770464349620482e+01,-5.651616595458920074e+02
1.053000000000000114e+01,-5.024895820054029372e+01,-4.090310912440910585e+01,-5.651614172553240678e+02
1.111500000000000199e+01,-5.025415597634240328e+01,-4.091222050845729541e+01,-5.651600917896560077e+02
1.170000000000000284e+01,-5.025386770629879862e+01,-4.092549968719479381e+01,-5.651580153808589557e+02
1.228500000000000369e+01,-5.024899743150919562e+01,-4.094326752938260228e+01,-5.651529710621350659e+02
1.287000000000000455e+01,-5.024315853485509820e+01,-4.096429765482090346e+01,-5.651441491296379809e+02
1.345500000000000540e+01,-5.023663186185389407e+01,-4.098673008162329978e+01,-5.651339927097750433e+02
1.404000000000000625e+01,-5.022969825802260146e+01,-4.100870482790310234e+01,-5.651249449289509812e+02
1.462500000000000711e+01,-5.022263856887820310e+01,-4.102836191177370750e+01,-5.651194489135739332e+02
1.521000000000000796e+01,-5.021351219801660193e+01,-4.104559733534760113e+01,-5.651175503784320426e+02
1.579500000000000881e+01,-5.020191193790410011e+01,-4.106159445515639561e+01,-5.651174972211640579e+02
1.638000000000000966e+01,-5.019041871736360605e+01,-4.107642432094189644e+01,-5.651190358424530586e+02
1.696500000000001052e+01,-5.018161346521810628e+01,-4.109015798244600148e+01,-5.651219126429830339e+02
1.755000000000001137e+01,-5.017807711029050211e+01,-4.110286648941040255e+01,-5.651258740234380866e+02
1.813500000000001222e+01,-5.018342653257190022e+01,-4.111185111769810163e+01,-5.651312195265869605e+02
1.872000000000001307e+01,-5.019689507040960308e+01,-4.111488646688660253e+01,-5.651382250046359559e+02
1.930500000000001393e+01,-5.021448834016079843e+01,-4.111275357228949900e+01,-5.651466013224189737e+02
1.989000000000001478e+01,-5.023221195818270957e+01,-4.110623346922039900e+01,-5.651560593447700285e+02
2.047500000000001563e+01,-5.024607154083250293e+01,-4.109610719299320181e+01,-5.651663099365230210e+02
2.106000000000001648e+01,-5.025707810301260281e+01,-4.107556729408229756e+01,-5.651810722580000856e+02
2.164500000000001734e+01,-5.026827563477640126e+01,-4.104247863140670205e+01,-5.652016599946809947e+02
2.223000000000001819e+01,-5.027871921520779352e+01,-4.100463070294600243e+01,-5.652241757991390614e+02
2.281500000000001904e+01,-5.028746392339089510e+01,-4.096981300667989956e+01,-5.652447223239470304e+02
2.340000000000001990e+01,-5.029356483840939518e+01,-4.094581504058839982e+01,-5.652594022216800340e+02
2.398500000000002075e+01,-5.029661911510339678e+01,-4.093380013528739880e+01,-5.652659680979890027e+02
2.457000000000002160e+01,-5.029762508856849479e+01,-4.092874238430260192e+01,-5.652658308328799421e+02
2.515500000000002245e+01,-5.029773960827220236e+01,-4.092914742997760413e+01,-5.652605804904569595e+02
2.574000000000002331e+01,-5.029811952368189765e+01,-4.093352091465629883e+01,-5.652518071348220019e+02
2.632500000000002416e+01,-5.029992168426510091e+01,-4.094036848068239465e+01,-5.652411008300779258e+02
2.691000000000002501e+01,-5.030309128468419999e+01,-4.096062064219039911e+01,-5.652235809996340095e+02
2.749500000000002586e+01,-5.030672610738379547e+01,-4.099788562175749718e+01,-5.651975440056860407e+02
2.808000000000002672e+01,-5.031071188350560419e+01,-4.103968562439139589e+01,-5.651693453205140258e+02
2.866500000000002757e+01,-5.031493434419079591e+01,-4.107354285509979519e+01,-5.651453404164000176e+02
2.925000000000002842e+01,-5.031927922058110170e+01,-4.108697951889040212e+01,-5.651318847656250455e+02
2.983500000000002927e+01,-5.032656364516659409e+01,-4.106535002208710239e+01,-5.651344511595090125e+02
3.042000000000003013e+01,-5.033764852331790252e+01,-4.101455950497189917e+01,-5.651488623661979318e+02
3.100500000000003098e+01,-5.034948524549659510e+01,-4.095295627348979650e+01,-5.651669988232099513e+02
3.159000000000003183e+01,-5.035902520216449574e+01,-4.089888863358579840e+01,-5.651807409680650380e+02
3.217500000000003268e+01,-5.036321978378299491e+01,-4.087070489120479522e+01,-5.651819692382809990e+02
3.276000000000003354e+01,-5.035721384372710219e+01,-4.086263528433070036e+01,-5.651737807675730210e+02
3.334500000000003439e+01,-5.034172306527379703e+01,-4.085730408697960314e+01,-5.651649839984499977e+02
3.393000000000003524e+01,-5.032205508373749581e+01,-4.085565065914529725e+01,-5.651560263316240480e+02
3.451500000000003610e+01,-5.030351753443249407e+01,-4.085861436082149822e+01,-5.651473551678079730e+02
3.510000000000003695e+01,-5.029141805267329346e+01,-4.086713455200199974e+01,-5.651394179077150284e+02
3.568500000000003780e+01,-5.028417343719259947e+01,-4.088161277367750301e+01,-5.651320641578379309e+02
3.627000000000003865e+01,-5.027711057375260140e+01,-4.090007006487770269e+01,-5.651248382249050337e+02
3.685500000000003951e+01,-5.027090222821220067e+01,-4.091987503265470849e+01,-5.651177295599770787e+02
3.744000000000004036e+01,-5.026622116643050475e+01,-4.093839628406060172e+01,-5.651107276141140119e+02
3.802500000000004121e+01,-5.026374015426639374e+01,-4.095300242614749919e+01,-5.651038218383789626e+02
3.861000000000004206e+01,-5.026292480973820886e+01,-4.096117671004210337e+01,-5.650980341236099775e+02
3.919500000000004292e+01,-5.026258138663410335e+01,-4.096299487662499672e+01,-5.650942956654020009e+02
3.978000000000004377e+01,-5.026239360446778903e+01,-4.095971426757819955e+01,-5.650924598719519736e+02
4.036500000000004462e+01,-5.026204518275299904e+01,-4.095259222458410164e+01,-5.650923801514560409e+02
4.095000000000004547e+01,-5.026121984100339546e+01,-4.094288608932500040e+01,-5.650939099121089839e+02
4.153500000000004633e+01,-5.025959647995529878e+01,-4.091159631927649798e+01,-5.651080414379670174e+02
4.212000000000004718e+01,-5.025738895247430094e+01,-4.085217151308199846e+01,-5.651384261121370400e+02
4.270500000000004803e+01,-5.025508340626809911e+01,-4.078454122417490169e+01,-5.651739059913960546e+02
4.329000000000004889e+01,-5.025316598904429100e+01,-4.072863500598869990e+01,-5.652033231325200404e+02
4.387500000000004974e+01,-5.025212284851070166e+01,-4.070438241195680007e+01,-5.652155195922849771e+02
4.446000000000005059e+01,-5.025274348806370739e+01,-4.072175475007750123e+01,-5.652149604198380075e+02
