# Time,X,Y,Z
0.000000000000000000e+00,-5.140570831298830257e+01,-4.282800292968750000e+01,-5.696018066406250000e+02
5.849999999999999645e-01,-5.140430521133419717e+01,-4.283974565811160318e+01,-5.696015647143559590e+02
1.169999999999999929e+00,-5.140176882431029526e+01,-4.285025418167109734e+01,-5.696006584667969719e+02
1.754999999999999893e+00,-5.139809915191650447e+01,-4.285952850036620276e+01,-5.695990878979489480e+02
2.339999999999999858e+00,-5.139329619415279637e+01,-4.286756861419679865e+01,-5.695968530078120011e+02
2.924999999999999822e+00,-5.138735995101929888e+01,-4.287437452316279973e+01,-5.695939537963870407e+02
3.509999999999999787e+00,-5.137890817410910671e+01,-4.287945082035550115e+01,-5.695895981418749443e+02
4.094999999999999751e+00,-5.136794086342239041e+01,-4.288279750577489580e+01,-5.695837860442769625e+02
4.679999999999999716e+00,-5.135653139156909930e+01,-4.288515768978420084e+01,-5.695777056862889367e+02
5.264999999999999680e+00,-5.134675313115940298e+01,-4.288727448274659793e+01,-5.695725452506050033e+02
5.849999999999999645e+00,-5.134067945480349238e+01,-4.288989099502560265e+01,-5.695694929199220269e+02
6.434999999999999609e+00,-5.133925708385189779e+01,-4.289300823206570357e+01,-5.695686598879900657e+02
7.019999999999999574e+00,-5.134133994972360426e+01,-4.289613257196229767e+01,-5.695691161528379780e+02
7.604999999999999538e+00,-5.134586224013039413e+01,-4.289926518405550127e+01,-5.695704881035740073e+02
8.189999999999999503e+00,-5.135175814278449735e+01,-4.290240723768520326e+01,-5.695724021293049191e+02
8.774999999999998579e+00,-5.135796184539799469e+01,-4.290555990219120730e+01,-5.695744846191410033e+02
9.359999999999999432e+00,-5.136852888696910213e+01,-4.291390497562620254e+01,-5.695767618838110593e+02
9.945000000000000284e+00,-5.138451526148409698e+01,-4.292968778339329816e+01,-5.695795905739570344e+02
1.053000000000000114e+01,-5.140035583913620343e+01,-4.294850478585770048e+01,-5.695830925885550187e+02
1.111500000000000199e+01,-5.141048549011880198e+01,-4.296595244338450215e+01,-5.695873898265809885e+02
1.170000000000000284e+01,-5.140933908462520918e+01,-4.297762721633910132e+01,-5.695926041870120571e+02
1.228500000000000369e+01,-5.139984775953580254e+01,-4.298336274170710425e+01,-5.696003332437089739e+02
1.287000000000000455e+01,-5.138899320304059870e+01,-4.298613972449540199e+01,-5.696114450427260181e+02
1.345500000000000540e+01,-5.137728611229749731e+01,-4.298627522710089721e+01,-5.696249671913240036e+02
