# Time,X,Y,Z
0.000000000000000000e+00,-5.505850601196289773e+01,-4.622704315185549717e+01,-5.703579101562500000e+02
5.849999999999999645e-01,-5.505551996017459970e+01,-4.622692587188720381e+01,-5.703753810717769284e+02
1.169999999999999929e+00,-5.505319438995360315e+01,-4.622682976623539730e+01,-5.703911490795900363e+02
1.754999999999999893e+00,-5.505152930130010702e+01,-4.622675483489990000e+01,-5.704052141796880733e+02
2.339999999999999858e+00,-5.505052469421389816e+01,-4.622670107788089666e+01,-5.704175763720700161e+02
2.924999999999999822e+00,-5.505018056869509735e+01,-4.622666849517820253e+01,-5.704282356567380248e+02
3.509999999999999787e+00,-5.505107591730190109e+01,-4.622639152992489642e+01,-5.704373938018200079e+02
4.094999999999999751e+00,-5.505321074003440174e+01,-4.622587018212080068e+01,-5.704450508073159654e+02
4.679999999999999716e+00,-5.505571654805510207e+01,-4.622550278706679450e+01,-5.704509040210319881e+02
5.264999999999999680e+00,-5.505772485252670378e+01,-4.622568768006329520e+01,-5.704546507907759860e+02
5.849999999999999645e+00,-5.505836716461179492e+01,-4.622682319641110382e+01,-5.704559884643549594e+02
6.434999999999999609e+00,-5.505658356832010014e+01,-4.623020228064829951e+01,-5.704506286864710773e+02
7.019999999999999574e+00,-5.505268718296070318e+01,-4.623613217517659990e+01,-5.704375747647139860e+02
7.604999999999999538e+00,-5.504786907264529106e+01,-4.624353266209270430e+01,-5.704214615412259946e+02
8.189999999999999503e+00,-5.504332030148569999e+01,-4.625132352349279330e+01,-5.704069238581470245e+02
8.774999999999998579e+00,-5.504023193359379462e+01,-4.625842454147339566e+01,-5.703985965576169974e+02
9.359999999999999432e+00,-5.504052531397329062e+01,-4.626480957507570224e+01,-5.704004598560729846e+02
9.945000000000000284e+00,-5.504384678374150042e+01,-4.627122505066610358e+01,-5.704098554534839423e+02
1.053000000000000114e+01,-5.504797490118010472e+01,-4.627774960132840221e+01,-5.704214604172919962e+02
1.111500000000000199e+01,-5.505068822457059952e+01,-4.628446186014670616e+01,-5.704299518149389314e+02
1.170000000000000284e+01,-5.504976531219479341e+01,-4.629144046020509506e+01,-5.704300067138669874e+02
1.228500000000000369e+01,-5.504412048650699774e+01,-4.630549894238740194e+01,-5.704213459524549990e+02
1.287000000000000455e+01,-5.503494546621419659e+01,-4.632981075030470208e+01,-5.704080581314710798e+02
1.345500000000000540e+01,-5.502343490397709758e+01,-4.635899437113170762e+01,-5.703913719619459926e+02
1.404000000000000625e+01,-5.501078345245640122e+01,-4.638766829204310227e+01,-5.703725161549079985e+02
1.462500000000000711e+01,-5.499818576431270856e+01,-4.641045100021360525e+01,-5.703527194213870644e+02
1.521000000000000796e+01,-5.497935555196279722e+01,-4.642843813633049876e+01,-5.703226257318490298e+02
1.579500000000000881e+01,-5.495283525274359704e+01,-4.644575780736060011e+01,-5.702804087495960630e+02
1.638000000000000966e+01,-5.492706260669639562e+01,-4.646157719989830071e+01,-5.702385917249050635e+02
1.696500000000001052e+01,-5.491047535386260137e+01,-4.647506350053799906e+01,-5.702096979080520214e+02
1.755000000000001137e+01,-5.491151123428340242e+01,-4.648538389587400133e+01,-5.702062505493159961e+02
1.813500000000001222e+01,-5.492550952612950255e+01,-4.649343807848499921e+01,-5.702212596372869484e+02
1.872000000000001307e+01,-5.494164383915740046e+01,-4.650056618112220974e+01,-5.702386027690239416e+02
1.930500000000001393e+01,-5.495910341078820238e+01,-4.650659605063859914e+01,-5.702571046075070171e+02
1.989000000000001478e+01,-5.497707747844249582e+01,-4.651135553388760258e+01,-5.702755898157189449e+02
2.047500000000001563e+01,-5.499475527954099618e+01,-4.651467247772220759e+01,-5.702928830566410170e+02
2.106000000000001648e+01,-5.501253734274639839e+01,-4.651717633446149591e+01,-5.703093040481269327e+02
2.164500000000001734e+01,-5.503090661445429532e+01,-4.651960671749449716e+01,-5.703257938102020717e+02
2.223000000000001819e+01,-5.504917595868559488e+01,-4.652195671527920950e+01,-5.703421089591030295e+02
2.281500000000001904e+01,-5.506665823946079286e+01,-4.652421941627360269e+01,-5.703580061110650377e+02
2.340000000000001990e+01,-5.508266632080079717e+01,-4.652638790893549725e+01,-5.703732418823240096e+02
2.398500000000002075e+01,-5.509128913772570257e+01,-4.652845089295960435e+01,-5.703856202978829515e+02
2.457000000000002160e+01,-5.509040780800579995e+01,-4.653039520958230213e+01,-5.703936684537760584e+02
2.515500000000002245e+01,-5.508502346978690412e+01,-4.653221115957429532e+01,-5.703982275727879596e+02
2.574000000000002331e+01,-5.508013726121450304e+01,-4.653388904370670076e+01,-5.704001388777039665e+02
2.632500000000002416e+01,-5.508075032043459629e+01,-4.653541916275020895e+01,-5.704002435913089357e+02
2.691000000000002501e+01,-5.508583319951649315e+01,-4.653614342319079356e+01,-5.703979233894640402e+02
2.749500000000002586e+01,-5.509102019512120307e+01,-4.653522790478410087e+01,-5.703930896828179584e+02
2.808000000000002672e+01,-5.509630806228119582e+01,-4.653239916820530198e+01,-5.703873782963320309e+02
2.866500000000002757e+01,-5.510169355602869956e+01,-4.652738377413000137e+01,-5.703824250549690760e+02
2.925000000000002842e+01,-5.510717343139650382e+01,-4.651990828323360461e+01,-5.703798657836910024e+02
2.983500000000002927e+01,-5.511342067893730245e+01,-4.651057159501579008e+01,-5.703809274480639715e+02
3.042000000000003013e+01,-5.512051010709460286e+01,-4.650044929091669843e+01,-5.703844989124759195e+02
3.100500000000003098e+01,-5.512754119773639871e+01,-4.648998295452270213e+01,-5.703887088501199969e+02
3.159000000000003183e+01,-5.513361343273059845e+01,-4.647961416942030155e+01,-5.703916859341940153e+02
3.217500000000003268e+01,-5.513782629394529522e+01,-4.646978451919560626e+01,-5.703915588378910115e+02
3.276000000000003354e+01,-5.513647518843399808e+01,-4.646009852278079677e+01,-5.703869074565509436e+02
3.334500000000003439e+01,-5.512858002678029834e+01,-4.645022875367219939e+01,-5.703790006531670542e+02
3.393000000000003524e+01,-5.511732704614770029e+01,-4.644071887730229520e+01,-5.703700005524159451e+02
3.451500000000003610e+01,-5.510590248369950217e+01,-4.643211255910340185e+01,-5.703620692789750137e+02
3.510000000000003695e+01,-5.509749257659910171e+01,-4.642495346450810700e+01,-5.703573689575199523e+02
3.568500000000003780e+01,-5.509166342801810146e+01,-4.641958399206510677e+01,-5.703553094591890158e+02
3.627000000000003865e+01,-5.508599433494020303e+01,-4.641556765105070070e+01,-5.703539132157869744e+02
3.685500000000003951e+01,-5.508069132524700251e+01,-4.641227977298810004e+01,-5.703532611929859968e+02
3.744000000000004036e+01,-5.507596042682020254e+01,-4.640909568940060836e+01,-5.703534343564580240e+02
