# Time,X,Y,Z
0.000000000000000000e+00,-5.267047119140629974e+01,-4.860242462158200283e+01,-5.723743896484380684e+02
5.849999999999999645e-01,-5.268291186996459885e+01,-4.859693340698240149e+01,-5.723744179125980054e+02
1.169999999999999929e+00,-5.269201790603639779e+01,-4.859245126480099941e+01,-5.723746217602539446e+02
1.754999999999999893e+00,-5.269778929962160419e+01,-4.858897819503779658e+01,-5.723750011914059996e+02
2.339999999999999858e+00,-5.270022605072020383e+01,-4.858651419769289959e+01,-5.723755562060549664e+02
2.924999999999999822e+00,-5.269932815933229620e+01,-4.858505927276610237e+01,-5.723762868041990259e+02
3.509999999999999787e+00,-5.269363263530850361e+01,-4.858452938569190138e+01,-5.723791164273389995e+02
4.094999999999999751e+00,-5.268313947864899660e+01,-4.858492453647029663e+01,-5.723840450754739777e+02
4.679999999999999716e+00,-5.267004317457750062e+01,-4.858637077694969975e+01,-5.723881875863560253e+02
5.264999999999999680e+00,-5.265653820831779797e+01,-4.858899415897860763e+01,-5.723886587977349336e+02
5.849999999999999645e+00,-5.264481906509400488e+01,-4.859292073440549586e+01,-5.723825735473629948e+02
6.434999999999999609e+00,-5.263493157166830372e+01,-4.859834374568970361e+01,-5.723712242316689753e+02
7.019999999999999574e+00,-5.262547937247330054e+01,-4.860515863636560141e+01,-5.723582902518550100e+02
7.604999999999999538e+00,-5.261649367923789811e+01,-4.861304475989429363e+01,-5.723444669528370241e+02
8.189999999999999503e+00,-5.260800570369120521e+01,-4.862168146973679228e+01,-5.723304496795319665e+02
8.774999999999998579e+00,-5.260004665756229514e+01,-4.863074811935429409e+01,-5.723169337768549667e+02
9.359999999999999432e+00,-5.260390926151890056e+01,-4.864071337228119773e+01,-5.723040857346210259e+02
9.945000000000000284e+00,-5.262377580776220043e+01,-4.865212239006120853e+01,-5.722914466699940021e+02
1.053000000000000114e+01,-5.264901186532060962e+01,-4.866476927316840317e+01,-5.722787738689160051e+02
1.111500000000000199e+01,-5.266898300322259985e+01,-4.867844812207729177e+01,-5.722658246173280077e+02
1.170000000000000284e+01,-5.267305479049679917e+01,-4.869295303726200075e+01,-5.722523562011720060e+02
1.228500000000000369e+01,-5.265942853777529820e+01,-4.871415408997309981e+01,-5.722321150267230223e+02
1.287000000000000455e+01,-5.263717090388289677e+01,-4.874365803559020094e+01,-5.722020308542530529e+02
1.345500000000000540e+01,-5.261194548013730099e+01,-4.877486400078060313e+01,-5.721666360006979630e+02
1.404000000000000625e+01,-5.258941585785610329e+01,-4.880117111221189674e+01,-5.721304627829899800e+02
1.462500000000000711e+01,-5.257524562835689608e+01,-4.881597849655150156e+01,-5.720980435180659924e+02
1.521000000000000796e+01,-5.256734681982350565e+01,-4.882200814382019871e+01,-5.720695927584380343e+02
1.579500000000000881e+01,-5.255995672068729618e+01,-4.882680979728399961e+01,-5.720421675889190283e+02
1.638000000000000966e+01,-5.255322681263720597e+01,-4.883102421347820155e+01,-5.720155641248979919e+02
1.696500000000001052e+01,-5.254730857736230121e+01,-4.883529214893810178e+01,-5.719895784817630329e+02
1.755000000000001137e+01,-5.254235349655150600e+01,-4.884025436019900468e+01,-5.719640067749019181e+02
1.813500000000001222e+01,-5.253665679204679151e+01,-4.884668176952799712e+01,-5.719425517226979991e+02
1.872000000000001307e+01,-5.253016416131259803e+01,-4.885415453685389764e+01,-5.719291594914139978e+02
