# Time,X,Y,Z
0.000000000000000000e+00,-4.697905731201169743e+01,-4.338133621215820312e+01,-5.727982177734380684e+02
5.849999999999999645e-01,-4.698482011718750329e+01,-4.337498245437620170e+01,-5.728041832202150090e+02
1.169999999999999929e+00,-4.699071995620729325e+01,-4.336941550247189525e+01,-5.728096636303710056e+02
1.754999999999999893e+00,-4.699675682907099628e+01,-4.336463535644529088e+01,-5.728146590039060584e+02
2.339999999999999858e+00,-4.700293073577879710e+01,-4.336064201629639570e+01,-5.728191693408200535e+02
2.924999999999999822e+00,-4.700924167633060335e+01,-4.335743548202509601e+01,-5.728231946411129911e+02
3.509999999999999787e+00,-4.701583057192249981e+01,-4.335484818200089308e+01,-5.728271965074599166e+02
4.094999999999999751e+00,-4.702269742255450069e+01,-4.335288011622370874e+01,-5.728311749398599204e+02
4.679999999999999716e+00,-4.702963084643250369e+01,-4.335178264213950428e+01,-5.728344375343009460e+02
5.264999999999999680e+00,-4.703641946176220046e+01,-4.335180711719429780e+01,-5.728362918867729832e+02
5.849999999999999645e+00,-4.704285188674929685e+01,-4.335320489883419981e+01,-5.728360455932620425e+02
6.434999999999999609e+00,-4.704681258563400092e+01,-4.335704912304860414e+01,-5.728341669040210036e+02
7.019999999999999574e+00,-4.704746853489169922e+01,-4.336401845789220033e+01,-5.728317237623970186e+02
7.604999999999999538e+00,-4.704653212108100035e+01,-4.337377255890929462e+01,-5.728289233040150066e+02
8.189999999999999503e+00,-4.704571573076029978e+01,-4.338597108164400140e+01,-5.728259726645039791e+02
8.774999999999998579e+00,-4.704673175048829847e+01,-4.340027368164060562e+01,-5.728230789794920383e+02
9.359999999999999432e+00,-4.705326652534049714e+01,-4.341651536681140300e+01,-5.728198561754950333e+02
9.945000000000000284e+00,-4.706486464676370929e+01,-4.343448329814529529e+01,-5.728161211261400467e+02
1.053000000000000114e+01,-4.707702587087300117e+01,-4.345376536080129881e+01,-5.728123853877190186e+02
1.111500000000000199e+01,-4.708524995378380140e+01,-4.347394943993829486e+01,-5.728091605165240026e+02
1.170000000000000284e+01,-4.708503665161129703e+01,-4.349462342071529264e+01,-5.728069580688480755e+02
1.228500000000000369e+01,-4.707779563742670348e+01,-4.351927256685850409e+01,-5.728089955836550189e+02
1.287000000000000455e+01,-4.706841261784660446e+01,-4.354868474635060238e+01,-5.728164297804950138e+02
1.345500000000000540e+01,-4.705760139930399788e+01,-4.357840175073559408e+01,-5.728266809865330060e+02
1.404000000000000625e+01,-4.704607578823220138e+01,-4.360396537155740049e+01,-5.728371695289340551e+02
1.462500000000000711e+01,-4.703454959106450417e+01,-4.362091740036009924e+01,-5.728453157348629929e+02
1.521000000000000796e+01,-4.702265268518189600e+01,-4.362879400458680124e+01,-5.728510474327770225e+02
1.579500000000000881e+01,-4.700996370050370388e+01,-4.363177725858709977e+01,-5.728560261095369697e+02
1.638000000000000966e+01,-4.699711957227020065e+01,-4.363237781426420270e+01,-5.728602725799189557e+02
1.696500000000001052e+01,-4.698475723572180129e+01,-4.363310632352170160e+01,-5.728638076586969419e+02
1.755000000000001137e+01,-4.697351362609860104e+01,-4.363647343826290381e+01,-5.728666521606450033e+02
1.813500000000001222e+01,-4.696622473783510543e+01,-4.364376979472910278e+01,-5.728633053738009266e+02
1.872000000000001307e+01,-4.696451098508850208e+01,-4.365308627031600253e+01,-5.728518706289020201e+02
1.930500000000001393e+01,-4.696718593268409592e+01,-4.366213387865919771e+01,-5.728377748047689693e+02
1.989000000000001478e+01,-4.697306314544679395e+01,-4.366862363339429720e+01,-5.728264447802220047e+02
2.047500000000001563e+01,-4.698095618820189401e+01,-4.367026654815669673e+01,-5.728233074340820394e+02
2.106000000000001648e+01,-4.699387863736729543e+01,-4.366776925228879946e+01,-5.728314279038469294e+02
2.164500000000001734e+01,-4.701272303895770222e+01,-4.366371006952790168e+01,-5.728469337747799273e+02
2.223000000000001819e+01,-4.703312141219339537e+01,-4.365860755510190216e+01,-5.728648455973540194e+02
2.281500000000001904e+01,-4.705070577629479089e+01,-4.365298026423879918e+01,-5.728801839220419652e+02
2.340000000000001990e+01,-4.706110815048220530e+01,-4.364734675216669757e+01,-5.728879692993160688e+02
2.398500000000002075e+01,-4.706561857808549831e+01,-4.364152507755599686e+01,-5.728898157270299407e+02
2.457000000000002160e+01,-4.706848162622839737e+01,-4.363525430554879847e+01,-5.728909767653900644e+02
2.515500000000002245e+01,-4.706976109982129941e+01,-4.362893450108070681e+01,-5.728919323083989639e+02
2.574000000000002331e+01,-4.706952080377470082e+01,-4.362296572908739734e+01,-5.728931622500589356e+02
2.632500000000002416e+01,-4.706782454299929697e+01,-4.361774805450439629e+01,-5.728951464843750045e+02
2.691000000000002501e+01,-4.706436042445439938e+01,-4.361526065089240234e+01,-5.728981783334079410e+02
2.749500000000002586e+01,-4.705949132540559532e+01,-4.361592809527929404e+01,-5.729018764708099525e+02
2.808000000000002672e+01,-4.705429320622260292e+01,-4.361781855780229478e+01,-5.729057088179739594e+02
2.866500000000002757e+01,-4.704984202727479925e+01,-4.361900020859820160e+01,-5.729091432962900399e+02
2.925000000000002842e+01,-4.704721374893189534e+01,-4.361754121780400340e+01,-5.729116478271479309e+02
2.983500000000002927e+01,-4.704781303195409947e+01,-4.361367495119650073e+01,-5.729102226636409796e+02
3.042000000000003013e+01,-4.705116498126029967e+01,-4.360901235798321096e+01,-5.729041484001969593e+02
3.100500000000003098e+01,-4.705552622345789615e+01,-4.360368798344639885e+01,-5.728963134702160005e+02
3.159000000000003183e+01,-4.705915338515419677e+01,-4.359783637286889757e+01,-5.728896063070969831e+02
3.217500000000003268e+01,-4.706030309295649516e+01,-4.359159207153320637e+01,-5.728869153442379911e+02
3.276000000000003354e+01,-4.705841898165019899e+01,-4.358354505831790249e+01,-5.728891564234929774e+02
3.334500000000003439e+01,-4.705440607821869747e+01,-4.357347389464759857e+01,-5.728940791917669912e+02
3.393000000000003524e+01,-4.704871309756679665e+01,-4.356329599962420218e+01,-5.728998227900440270e+02
3.451500000000003610e+01,-4.704178875459940201e+01,-4.355492879234950010e+01,-5.729045263593029631e+02
3.510000000000003695e+01,-4.703408176422119880e+01,-4.355028969192510857e+01,-5.729063290405269981e+02
3.568500000000003780e+01,-4.702166354421349581e+01,-4.354874350000710592e+01,-5.729053485994529638e+02
3.627000000000003865e+01,-4.700344146259870826e+01,-4.354815422720729856e+01,-5.729033489612260155e+02
3.685500000000003951e+01,-4.698411815964309568e+01,-4.354818810606120394e+01,-5.729009385059380293e+02
3.744000000000004036e+01,-4.696839627561309527e+01,-4.354851136910389897e+01,-5.728987256136820179e+02
3.802500000000004121e+01,-4.696097845077510158e+01,-4.354879024887089400e+01,-5.728973186645509941e+02
3.861000000000004206e+01,-4.696103023020670264e+01,-4.354927423988139878e+01,-5.728979905955660570e+02
3.919500000000004292e+01,-4.696412671807629380e+01,-4.355019182865210325e+01,-5.729005880759079901e+02
3.978000000000004377e+01,-4.696958489328710584e+01,-4.355117773571470252e+01,-5.729035800839070589e+02
4.036500000000004462e+01,-4.697672173474200008e+01,-4.355186668160040142e+01,-5.729054355978910280e+02
4.095000000000004547e+01,-4.698485422134400125e+01,-4.355189338684080269e+01,-5.729046235961910725e+02
4.153500000000004633e+01,-4.699390666789069826e+01,-4.354828226490020882e+01,-5.728977382221880816e+02
4.212000000000004718e+01,-4.700382283871979894e+01,-4.353999663171070011e+01,-5.728848772772090570e+02
4.270500000000004803e+01,-4.701394888704449926e+01,-4.352957956150560648e+01,-5.728697652265070701e+02
4.329000000000004889e+01,-4.702363096607830073e+01,-4.351957412851839990e+01,-5.728561265353349654e+02
4.387500000000004974e+01,-4.703221522903439222e+01,-4.351252340698240317e+01,-5.728476856689450187e+02
4.446000000000005059e+01,-4.703947860581350682e+01,-4.350853029508239445e+01,-5.728431140271060258e+02
4.504500000000005144e+01,-4.704537513777380298e+01,-4.350594994449589592e+01,-5.728385978402110368e+02
4.563000000000005230e+01,-4.704951664531559885e+01,-4.350470380969510131e+01,-5.728341338194510399e+02
4.621500000000005315e+01,-4.705151494883889995e+01,-4.350471334515259514e+01,-5.728297186760149771e+02
4.680000000000005400e+01,-4.705098186874389654e+01,-4.350590000534060664e+01,-5.728253491210939501e+02
4.738500000000005485e+01,-4.704621320808329443e+01,-4.351118102217010630e+01,-5.728209899319249416e+02
4.797000000000005571e+01,-4.703743321744939720e+01,-4.352121454495840425e+01,-5.728166459350339892e+02
4.855500000000005656e+01,-4.702714638855139384e+01,-4.353253340428739193e+01,-5.728123739155399790e+02
4.914000000000005741e+01,-4.701785721309860122e+01,-4.354167043073900345e+01,-5.728082306585620245e+02
4.972500000000005826e+01,-4.701207018280029359e+01,-4.354515845489500236e+01,-5.728042729492190119e+02
5.031000000000005912e+01,-4.700910936955430230e+01,-4.354352022894220653e+01,-5.728037192143250422e+02
5.089500000000005997e+01,-4.700665116595639859e+01,-4.353980411735859946e+01,-5.728079205566369865e+02
5.148000000000006082e+01,-4.700472854476270612e+01,-4.353433136916339663e+01,-5.728141327751840208e+02
5.206500000000006168e+01,-4.700337447872939833e+01,-4.352742323337579933e+01,-5.728196116689980499e+02
5.265000000000006253e+01,-4.700262194061279075e+01,-4.351940095901490224e+01,-5.728216130371090458e+02
5.323500000000006338e+01,-4.700345148051380306e+01,-4.351084440379389662e+01,-5.728207768214199405e+02
5.382000000000006423e+01,-4.700592204140199470e+01,-4.350184287367500247e+01,-5.728195818757569668e+02
5.440500000000006509e+01,-4.700868418533650583e+01,-4.349198179005090026e+01,-5.728180423670410164e+02
5.499000000000006594e+01,-4.701038847437649792e+01,-4.348084657431429889e+01,-5.728161724621910480e+02
5.557500000000006679e+01,-4.700968547058110403e+01,-4.346802264785770120e+01,-5.728139863281249973e+02
5.616000000000006764e+01,-4.700657517395020335e+01,-4.345351001068119956e+01,-5.728114839648440011e+02
5.674500000000006850e+01,-4.700195720977779246e+01,-4.343758504852289803e+01,-5.728086559277339802e+02
5.733000000000006935e+01,-4.699583157806400635e+01,-4.342024776138310216e+01,-5.728055022167969810e+02
5.791500000000007020e+01,-4.698819827880860345e+01,-4.340149814926150640e+01,-5.728020228320310707e+02
