# Time,X,Y,Z
0.000000000000000000e+00,-3.442841720581049714e+01,-2.777303314208980112e+01,-5.172958374023439774e+02
7.459999999999999964e-01,-3.444815014648440155e+01,-2.775431452163699930e+01,-5.172975970874019822e+02
1.491999999999999993e+00,-3.446618012695309829e+01,-2.773525873352049942e+01,-5.173006460400389415e+02
2.237999999999999989e+00,-3.448250714721680055e+01,-2.771586577774050397e+01,-5.173049842602539456e+02
2.983999999999999986e+00,-3.449713120727540172e+01,-2.769613565429689928e+01,-5.173106117480469948e+02
3.729999999999999982e+00,-3.451005230712889471e+01,-2.767606836318969599e+01,-5.173175285034179751e+02
4.475999999999999979e+00,-3.452213015920229822e+01,-2.765509227459629926e+01,-5.173263642344600157e+02
5.221999999999999531e+00,-3.453336476349560513e+01,-2.763320738851669844e+01,-5.173371189411730029e+02
5.967999999999999972e+00,-3.454246655137139754e+01,-2.761127114968480001e+01,-5.173488480614170157e+02
6.714000000000000412e+00,-3.454814595419210121e+01,-2.759014100283470228e+01,-5.173606070330549755e+02
7.460000000000000853e+00,-3.454911340332030534e+01,-2.757067439270020159e+01,-5.173714512939450287e+02
8.206000000000001293e+00,-3.454583789506010305e+01,-2.755356265191710108e+01,-5.173812449518219410e+02
8.952000000000001734e+00,-3.454004366444539897e+01,-2.753839938045789637e+01,-5.173905295094240273e+02
9.698000000000002174e+00,-3.453232400093389742e+01,-2.752439542406190043e+01,-5.173993764971210112e+02
1.044400000000000261e+01,-3.452327219398310376e+01,-2.751076162846839779e+01,-5.174078574452819339e+02
1.119000000000000306e+01,-3.451348153305050204e+01,-2.749670883941649890e+01,-5.174160438842769736e+02
1.193600000000000350e+01,-3.450259246926410128e+01,-2.747983157854320169e+01,-5.174198892000509886e+02
1.268200000000000394e+01,-3.449040525537879631e+01,-2.746098804890139888e+01,-5.174176006044069709e+02
1.342800000000000438e+01,-3.447775288329280130e+01,-2.744428461835469690e+01,-5.174126303665010482e+02
1.417400000000000482e+01,-3.446546834490399647e+01,-2.743382765476669860e+01,-5.174084307554890074e+02
1.492000000000000526e+01,-3.445438463211060309e+01,-2.743372352600099973e+01,-5.174084540405269763e+02
1.566600000000000570e+01,-3.444544960508270037e+01,-2.744928839783189645e+01,-5.174215914242070085e+02
1.641200000000000614e+01,-3.443941887529769730e+01,-2.747922225449860179e+01,-5.174477997248319525e+02
1.715800000000000480e+01,-3.443683706161449720e+01,-2.751770719156139933e+01,-5.174771296351319734e+02
1.790400000000000347e+01,-3.443824878289210289e+01,-2.755892530458080358e+01,-5.174996318478330295e+02
1.865000000000000213e+01,-3.444419865798950298e+01,-2.759705868911739657e+01,-5.175053570556640352e+02
1.939600000000000080e+01,-3.445888319359190177e+01,-2.763552048029969654e+01,-5.174946670135440172e+02
2.014199999999999946e+01,-3.448251524234920140e+01,-2.767800043895899620e+01,-5.174773447468520544e+02
2.088799999999999812e+01,-3.450966394206759702e+01,-2.771909559921050104e+01,-5.174575728540030468e+02
2.163399999999999679e+01,-3.453489843055299957e+01,-2.775340299516900089e+01,-5.174395339334120081e+02
2.237999999999999545e+01,-3.455278784561160421e+01,-2.777551966094969771e+01,-5.174274105834959983e+02
2.312599999999999412e+01,-3.456297217307270131e+01,-2.778890745989069799e+01,-5.174196544177500527e+02
2.387199999999999278e+01,-3.457030028671709943e+01,-2.780101116437570141e+01,-5.174119336472380155e+02
2.461799999999999145e+01,-3.457715465627809692e+01,-2.781240217208799947e+01,-5.174042557667279425e+02
2.536399999999999011e+01,-3.458591775148919822e+01,-2.782365188071069895e+01,-5.173966282709880034e+02
2.610999999999998877e+01,-3.459897204208369459e+01,-2.783533168792719792e+01,-5.173890586547850035e+02
2.685599999999998744e+01,-3.461554038307829728e+01,-2.784761144593219839e+01,-5.173814544739179837e+02
2.760199999999998610e+01,-3.463294892543350301e+01,-2.786012467917869984e+01,-5.173738481857640181e+02
2.834799999999998477e+01,-3.465073508279859738e+01,-2.787263829373760160e+01,-5.173664346374570187e+02
2.909399999999998343e+01,-3.466843626882290152e+01,-2.788491919567999844e+01,-5.173594086761319204e+02
2.983999999999998209e+01,-3.468558989715580054e+01,-2.789673429107669733e+01,-5.173529651489260459e+02
3.058599999999998076e+01,-3.470195859986450415e+01,-2.789340448217949842e+01,-5.173540762494329783e+02
3.133199999999997942e+01,-3.471759879038410190e+01,-2.786785876263740036e+01,-5.173659867212709287e+02
3.207799999999998164e+01,-3.473248855441499927e+01,-2.783127617561699907e+01,-5.173833002366039864e+02
3.282399999999998386e+01,-3.474660597765780068e+01,-2.779483576428489755e+01,-5.174006204676010157e+02
3.356999999999998607e+01,-3.475992914581299686e+01,-2.776971657180789776e+01,-5.174125510864259923e+02
3.431599999999998829e+01,-3.476249638429889899e+01,-2.775346447540589878e+01,-5.174204395219039725e+02
3.506199999999999051e+01,-3.475007664684189734e+01,-2.773778418624710085e+01,-5.174282377323969513e+02
3.580799999999999272e+01,-3.473124396160500282e+01,-2.772509299842050012e+01,-5.174344561843799966e+02
3.655399999999999494e+01,-3.471457235675110553e+01,-2.771780820601480144e+01,-5.174376053443270393e+02
3.729999999999999716e+01,-3.470863586044310267e+01,-2.771834710311889793e+01,-5.174361956787109875e+02
3.804599999999999937e+01,-3.471990894305089626e+01,-2.772601477042379869e+01,-5.174311920986650648e+02
3.879200000000000159e+01,-3.474349681325860217e+01,-2.773724118266540017e+01,-5.174248400142240598e+02
3.953800000000000381e+01,-3.477091960670109927e+01,-2.775013097499959969e+01,-5.174175706402170363e+02
4.028400000000000603e+01,-3.479369745901289690e+01,-2.776278878258250060e+01,-5.174098151914699883e+02
4.103000000000000824e+01,-3.480335050582890233e+01,-2.777331924057010326e+01,-5.174020048828130030e+02
4.177600000000001046e+01,-3.479668206896919713e+01,-2.778048071561860155e+01,-5.173939876584649937e+02
