# Time,X,Y,Z
0.000000000000000000e+00,-3.441726684570310368e+01,-2.785903549194339845e+01,-5.181734008789060226e+02
7.459999999999999964e-01,-3.445006821426389365e+01,-2.784960104446410156e+01,-5.181645693164060731e+02
1.491999999999999993e+00,-3.447813724533079949e+01,-2.784015429306030143e+01,-5.181594150708010602e+02
2.237999999999999989e+00,-3.450147393890379988e+01,-2.783069523773189857e+01,-5.181579381420900745e+02
2.983999999999999986e+00,-3.452007829498290192e+01,-2.782122387847899958e+01,-5.181601385302730023e+02
3.729999999999999982e+00,-3.453395031356809852e+01,-2.781174021530149787e+01,-5.181660162353520036e+02
4.475999999999999979e+00,-3.454186882736679820e+01,-2.780223969189330191e+01,-5.181779226448809368e+02
5.221999999999999531e+00,-3.454383383637900096e+01,-2.779272230825419854e+01,-5.181958577588619619e+02
5.967999999999999972e+00,-3.454167709154360466e+01,-2.778319489884379934e+01,-5.182162944959590050e+02
6.714000000000000412e+00,-3.453723034379950008e+01,-2.777366429812109772e+01,-5.182357057748370153e+02
7.460000000000000853e+00,-3.453232534408569876e+01,-2.776413734054569815e+01,-5.182505645141599189e+02
8.206000000000001293e+00,-3.452794211464819796e+01,-2.775454185896780146e+01,-5.182613508204989330e+02
8.952000000000001734e+00,-3.452345015226880065e+01,-2.774482992618289856e+01,-5.182709057954190257e+02
9.698000000000002174e+00,-3.451826541969000317e+01,-2.773504473656730340e+01,-5.182792438500799790e+02
1.044400000000000261e+01,-3.451180387965410290e+01,-2.772522948449729796e+01,-5.182863793956410063e+02
1.119000000000000306e+01,-3.450348149490360328e+01,-2.771542736434939869e+01,-5.182923268432620034e+02
1.193600000000000350e+01,-3.449294369203229849e+01,-2.770183268119440001e+01,-5.182943118993890721e+02
1.268200000000000394e+01,-3.448064777388480451e+01,-2.768325123835189672e+01,-5.182914816097170387e+02
1.342800000000000438e+01,-3.446722751757949510e+01,-2.766364347757160047e+01,-5.182867323942759867e+02
1.417400000000000482e+01,-3.445331670023460191e+01,-2.764696984060299911e+01,-5.182829606730970227e+02
1.492000000000000526e+01,-3.443954909896849870e+01,-2.763719076919559825e+01,-5.182830628662110257e+02
1.566600000000000570e+01,-3.442288903900949748e+01,-2.763898091392110246e+01,-5.182959997336070046e+02
1.641200000000000614e+01,-3.440220509382950098e+01,-2.765207931609080205e+01,-5.183220189674379981e+02
1.715800000000000480e+01,-3.438098741291250349e+01,-2.767304300356390101e+01,-5.183509473859789978e+02
1.790400000000000347e+01,-3.436272614574239981e+01,-2.769842900419909881e+01,-5.183726118075060185e+02
1.865000000000000213e+01,-3.435091144180299949e+01,-2.772479434585569891e+01,-5.183768390502929151e+02
1.939600000000000080e+01,-3.435686250068440017e+01,-2.775385697622389714e+01,-5.183659622013329908e+02
2.014199999999999946e+01,-3.438266108129940335e+01,-2.778713971477449718e+01,-5.183508001459089201e+02
2.088799999999999812e+01,-3.441794117211610171e+01,-2.782090689703679942e+01,-5.183339083997309444e+02
2.163399999999999679e+01,-3.445233676160239611e+01,-2.785142285854029964e+01,-5.183178424785079415e+02
2.237999999999999545e+01,-3.447548183822630108e+01,-2.787495193481450073e+01,-5.183051578979490159e+02
