# Time,X,Y,Z
0.000000000000000000e+00,-3.231961822509769888e+01,-2.437598037719729760e+01,-5.169118652343750000e+02
7.459999999999999964e-01,-3.230532443786620433e+01,-2.437823819778439827e+01,-5.169188710498050341e+02
1.491999999999999993e+00,-3.229737820571899931e+01,-2.437806626922610320e+01,-5.169246382641599666e+02
2.237999999999999989e+00,-3.229577952865599855e+01,-2.437546459152219924e+01,-5.169291668774410482e+02
2.983999999999999986e+00,-3.230052840667719494e+01,-2.437043316467280007e+01,-5.169324568896479377e+02
3.729999999999999982e+00,-3.231162483978270217e+01,-2.436297198867800162e+01,-5.169345083007809762e+02
4.475999999999999979e+00,-3.233503659905469618e+01,-2.435146446754919936e+01,-5.169346254113520445e+02
5.221999999999999531e+00,-3.237076368449329777e+01,-2.433591060128650341e+01,-5.169328082213620519e+02
5.967999999999999972e+00,-3.240985443947489841e+01,-2.431873528387249905e+01,-5.169301002800409606e+02
6.714000000000000412e+00,-3.244335720737610274e+01,-2.430236340928979999e+01,-5.169275451366199832e+02
7.460000000000000853e+00,-3.246232033157350116e+01,-2.428921987152100215e+01,-5.169261863403320376e+02
8.206000000000001293e+00,-3.246959953848369906e+01,-2.427883791544410386e+01,-5.169259159656870679e+02
8.952000000000001734e+00,-3.247492265128440181e+01,-2.426951963591629990e+01,-5.169259802705320226e+02
9.698000000000002174e+00,-3.247964615849380010e+01,-2.426184320188909993e+01,-5.169264540791069749e+02
1.044400000000000261e+01,-3.248512654863009885e+01,-2.425638678231399936e+01,-5.169274122156490421e+02
1.119000000000000306e+01,-3.249272031021119744e+01,-2.425372854614260021e+01,-5.169289295043950005e+02
1.193600000000000350e+01,-3.250222293399970397e+01,-2.425371963155859945e+01,-5.169325261109539724e+02
1.268200000000000394e+01,-3.251229989330789749e+01,-2.425574645217379910e+01,-5.169385942893720767e+02
1.342800000000000438e+01,-3.252261265047820160e+01,-2.425969009008170119e+01,-5.169455169965409596e+02
1.417400000000000482e+01,-3.253282266785330279e+01,-2.426543162737549864e+01,-5.169516771893549958e+02
1.492000000000000526e+01,-3.254259140777589465e+01,-2.427285214614870057e+01,-5.169554578247070822e+02
1.566600000000000570e+01,-3.255102832489929909e+01,-2.428208614898250062e+01,-5.169570902812220083e+02
1.641200000000000614e+01,-3.255718714693259841e+01,-2.429269566101989852e+01,-5.169577429908740669e+02
1.715800000000000480e+01,-3.256064574580139492e+01,-2.430370304819680172e+01,-5.169572044905789880e+02
1.790400000000000347e+01,-3.256098199343169597e+01,-2.431413067644910342e+01,-5.169552633172530705e+02
1.865000000000000213e+01,-3.255777376174930282e+01,-2.432300091171260448e+01,-5.169517080078119307e+02
1.939600000000000080e+01,-3.253600623176849638e+01,-2.433033390382519556e+01,-5.169471063506009614e+02
2.014199999999999946e+01,-3.248997714665699732e+01,-2.433678779940689907e+01,-5.169422532434520008e+02
2.088799999999999812e+01,-3.243323322157080213e+01,-2.434234195956770108e+01,-5.169372778875169843e+02
2.163399999999999679e+01,-3.237932117166560175e+01,-2.434697574541759835e+01,-5.169323094839450050e+02
2.237999999999999545e+01,-3.234178771209720082e+01,-2.435066851806639576e+01,-5.169274772338869752e+02
2.312599999999999412e+01,-3.231718847677149853e+01,-2.435190416667450108e+01,-5.169226552652230566e+02
2.387199999999999278e+01,-3.229562129625040257e+01,-2.435040021201140092e+01,-5.169178433350849673e+02
2.461799999999999145e+01,-3.228094618067289900e+01,-2.434798646260049892e+01,-5.169133590884970317e+02
