# Time,X,Y,Z
0.000000000000000000e+00,-3.521497344970699572e+01,-2.601000213623050072e+01,-5.176618041992189774e+02
7.459999999999999964e-01,-3.525125097564700383e+01,-2.598787650817870087e+01,-5.176664980102540312e+02
1.491999999999999993e+00,-3.528057157836910562e+01,-2.596703097854609865e+01,-5.176706794921869914e+02
2.237999999999999989e+00,-3.530293525787350006e+01,-2.594746554733280064e+01,-5.176743486450200180e+02
2.983999999999999986e+00,-3.531834201416020136e+01,-2.592918021453860433e+01,-5.176775054687500415e+02
3.729999999999999982e+00,-3.532679184722899635e+01,-2.591217498016360210e+01,-5.176801499633789945e+02
4.475999999999999979e+00,-3.532433395011479860e+01,-2.589653275112020125e+01,-5.176820102456380255e+02
5.221999999999999531e+00,-3.531096832281750153e+01,-2.588225352740839824e+01,-5.176830863155290672e+02
5.967999999999999972e+00,-3.529262117578500124e+01,-2.586921294865960164e+01,-5.176837859979509631e+02
6.714000000000000412e+00,-3.527521871946539989e+01,-2.585728665450519870e+01,-5.176845171178080136e+02
7.460000000000000853e+00,-3.526468716430660066e+01,-2.584635028457639550e+01,-5.176856874999999718e+02
8.206000000000001293e+00,-3.526200472192849844e+01,-2.583624690779129907e+01,-5.176873490113570142e+02
8.952000000000001734e+00,-3.526253708296700040e+01,-2.582671216709350048e+01,-5.176892628827059752e+02
9.698000000000002174e+00,-3.526379167639460377e+01,-2.581746056315239812e+01,-5.176914009849500644e+02
1.044400000000000261e+01,-3.526327593118359971e+01,-2.580820659663769590e+01,-5.176937351889880574e+02
1.119000000000000306e+01,-3.525849727630620833e+01,-2.579866476821899823e+01,-5.176962373657230501e+02
1.193600000000000350e+01,-3.524438641777850023e+01,-2.578571636274780232e+01,-5.176997606973660595e+02
1.268200000000000394e+01,-3.522150613678810060e+01,-2.576919785205239677e+01,-5.177048522576089908e+02
1.342800000000000438e+01,-3.519581197506379766e+01,-2.575325651726769749e+01,-5.177110247545699622e+02
1.417400000000000482e+01,-3.517325947433499778e+01,-2.574203963952849961e+01,-5.177177908963649315e+02
1.492000000000000526e+01,-3.515980417633060284e+01,-2.573969449996950232e+01,-5.177246633911129265e+02
1.566600000000000570e+01,-3.515429046266630309e+01,-2.574876866185699953e+01,-5.177359217402520244e+02
1.641200000000000614e+01,-3.515174751809949782e+01,-2.576638105320959937e+01,-5.177527946347739771e+02
1.715800000000000480e+01,-3.515240808907140035e+01,-2.578853600229030008e+01,-5.177702185671289499e+02
1.790400000000000347e+01,-3.515650492202360056e+01,-2.581123783736210342e+01,-5.177831300297659709e+02
1.865000000000000213e+01,-3.516427076339719804e+01,-2.583049088668819948e+01,-5.177864655151370243e+02
1.939600000000000080e+01,-3.517518142414960636e+01,-2.584671168368800309e+01,-5.177820619666920265e+02
2.014199999999999946e+01,-3.518782393498260319e+01,-2.586291480451239977e+01,-5.177757828250789771e+02
2.088799999999999812e+01,-3.520109787195499962e+01,-2.587900164152189575e+01,-5.177686043285380038e+02
2.163399999999999679e+01,-3.521390281112540066e+01,-2.589487358707719977e+01,-5.177615027153090068e+02
2.237999999999999545e+01,-3.522513832855220528e+01,-2.591043203353880031e+01,-5.177554542236329098e+02
2.312599999999999412e+01,-3.523334681518790035e+01,-2.592518680360570116e+01,-5.177502586233580359e+02
2.387199999999999278e+01,-3.523892544363020107e+01,-2.593881482807320182e+01,-5.177451265087529464e+02
2.461799999999999145e+01,-3.524355596240639699e+01,-2.595146816144649904e+01,-5.177401503546849426e+02
2.536399999999999011e+01,-3.524892012004379893e+01,-2.596329885823070072e+01,-5.177354226360240546e+02
2.610999999999998877e+01,-3.525669966506960407e+01,-2.597445897293089700e+01,-5.177310358276370152e+02
2.685599999999998744e+01,-3.527563162000360109e+01,-2.598369184519899733e+01,-5.177292181562830820e+02
2.760199999999998610e+01,-3.530737291831939473e+01,-2.598987104845189933e+01,-5.177307835090509798e+02
2.834799999999998477e+01,-3.534298517497429515e+01,-2.599334398784260358e+01,-5.177337028513049972e+02
2.909399999999998343e+01,-3.537353000492610278e+01,-2.599445806852369856e+01,-5.177359471484079450e+02
2.983999999999998209e+01,-3.539006902313229830e+01,-2.599356069564819904e+01,-5.177354873657230883e+02
3.058599999999998076e+01,-3.539362520286070435e+01,-2.599004194278069946e+01,-5.177297513955229533e+02
3.133199999999997942e+01,-3.539199954643920165e+01,-2.598358612648450006e+01,-5.177195259982610196e+02
3.207799999999998164e+01,-3.538642071241540066e+01,-2.597498201641019833e+01,-5.177078204415670371e+02
3.282399999999998386e+01,-3.537811735933710366e+01,-2.596501838220860137e+01,-5.176976439930729157e+02
3.356999999999998607e+01,-3.536831814575199928e+01,-2.595448399353030311e+01,-5.176920059204098834e+02
3.431599999999998829e+01,-3.535503188162079624e+01,-2.593767706180749855e+01,-5.176920480213649398e+02
3.506199999999999051e+01,-3.533754656307060316e+01,-2.591323661269629852e+01,-5.176953539196180145e+02
3.580799999999999272e+01,-3.531900962789829634e+01,-2.588846263718260232e+01,-5.176995956216429704e+02
3.655399999999999494e+01,-3.530256851390070238e+01,-2.587065512625260411e+01,-5.177024451339100324e+02
3.729999999999999716e+01,-3.529137065887449864e+01,-2.586711407089229908e+01,-5.177015744628910170e+02
3.804599999999999937e+01,-3.529324731177810293e+01,-2.587563222387549899e+01,-5.176980077209649380e+02
3.879200000000000159e+01,-3.530858589250340174e+01,-2.588781477773419937e+01,-5.176941689561649582e+02
3.953800000000000381e+01,-3.532936809524809973e+01,-2.590168038309199972e+01,-5.176898300784399680e+02
4.028400000000000603e+01,-3.534757561420949656e+01,-2.591524769057259903e+01,-5.176847629977429506e+02
4.103000000000000824e+01,-3.535519014358520451e+01,-2.592653535079960392e+01,-5.176787396240230237e+02
4.177600000000001046e+01,-3.534615703519800434e+01,-2.593602278451179899e+01,-5.176721316163580013e+02
4.252200000000001268e+01,-3.532537132086979881e+01,-2.594550803175449971e+01,-5.176654802189409565e+02
4.326800000000001489e+01,-3.530123921479719939e+01,-2.595498767211130087e+01,-5.176588117193990684e+02
4.401400000000001711e+01,-3.528216693117649783e+01,-2.596445828516550236e+01,-5.176521524053599705e+02
4.476000000000001933e+01,-3.527656068420409952e+01,-2.597391645050049647e+01,-5.176455285644530022e+02
4.550600000000002154e+01,-3.528784885423979745e+01,-2.598335470745820075e+01,-5.176389785845719871e+02
