# Time,X,Y,Z
0.000000000000000000e+00,-3.160291290283199928e+01,-2.261795043945310013e+01,-5.228903198242189774e+02
7.459999999999999964e-01,-3.161986119140630080e+01,-2.261033956542969747e+01,-5.229137721972659847e+02
1.491999999999999993e+00,-3.163404730850219693e+01,-2.260293091033939916e+01,-5.229336582348629463e+02
2.237999999999999989e+00,-3.164547125411989725e+01,-2.259572447418209862e+01,-5.229499779370120223e+02
2.983999999999999986e+00,-3.165413302825930231e+01,-2.258872025695799834e+01,-5.229627313037110525e+02
3.729999999999999982e+00,-3.166003263092040143e+01,-2.258191825866700242e+01,-5.229719183349610603e+02
4.475999999999999979e+00,-3.166156064830349948e+01,-2.257534062224549842e+01,-5.229769833521010014e+02
5.221999999999999531e+00,-3.165871708040850052e+01,-2.256898734769350057e+01,-5.229779263551299664e+02
5.967999999999999972e+00,-3.165391604793509828e+01,-2.256282522060649853e+01,-5.229755808620410562e+02
6.714000000000000412e+00,-3.164957167158310014e+01,-2.255682102657969779e+01,-5.229707803908239612e+02
7.460000000000000853e+00,-3.164809807205200087e+01,-2.255094155120849919e+01,-5.229643584594730328e+02
8.206000000000001293e+00,-3.164932598051569812e+01,-2.254590363659939811e+01,-5.229551996930960058e+02
8.952000000000001734e+00,-3.165119440363110215e+01,-2.254260068116199989e+01,-5.229429023657939979e+02
9.698000000000002174e+00,-3.165327987532219822e+01,-2.254126430494699918e+01,-5.229293704690450113e+02
1.044400000000000261e+01,-3.165515892951310306e+01,-2.254212612800479931e+01,-5.229165079943229557e+02
1.119000000000000306e+01,-3.165640810012819628e+01,-2.254541777038570061e+01,-5.229062189331050376e+02
1.193600000000000350e+01,-3.165636018430680210e+01,-2.255354099449739991e+01,-5.229038045821459946e+02
1.268200000000000394e+01,-3.165486065964969953e+01,-2.256666752505350004e+01,-5.229097534883900380e+02
1.342800000000000438e+01,-3.165225508077249827e+01,-2.258168392556350312e+01,-5.229187505185990403e+02
1.417400000000000482e+01,-3.164888900229100344e+01,-2.259547675953739798e+01,-5.229254805395379435e+02
1.492000000000000526e+01,-3.164510797882079984e+01,-2.260493259048460146e+01,-5.229246284179689610e+02
1.566600000000000570e+01,-3.163466427288469873e+01,-2.261064855384729810e+01,-5.229027876616760295e+02
1.641200000000000614e+01,-3.161512755771230232e+01,-2.261565167843939861e+01,-5.228600628203939777e+02
1.715800000000000480e+01,-3.159256950397969632e+01,-2.262047336782839935e+01,-5.228114053238110728e+02
1.790400000000000347e+01,-3.157306178236270000e+01,-2.262564502558189972e+01,-5.227717666016150133e+02
1.865000000000000213e+01,-3.156267606353760158e+01,-2.263169805526730016e+01,-5.227560980834959992e+02
1.939600000000000080e+01,-3.156807380268200092e+01,-2.263874038826660140e+01,-5.227588166944940440e+02
2.014199999999999946e+01,-3.158626567522669859e+01,-2.264630315981930408e+01,-5.227642285610990029e+02
2.088799999999999812e+01,-3.160884718222760270e+01,-2.265405257927969984e+01,-5.227721189151740191e+02
2.163399999999999679e+01,-3.162741382474040108e+01,-2.266165485600219753e+01,-5.227822729885809849e+02
2.237999999999999545e+01,-3.163356110382079933e+01,-2.266877619934080101e+01,-5.227944760131839530e+02
2.312599999999999412e+01,-3.162872302248369749e+01,-2.267523688683060001e+01,-5.228088551196919980e+02
2.387199999999999278e+01,-3.162128665519050230e+01,-2.268077747206389816e+01,-5.228247231366950700e+02
2.461799999999999145e+01,-3.161327711016680198e+01,-2.268494457848160195e+01,-5.228406438428769434e+02
2.536399999999999011e+01,-3.160671949563819894e+01,-2.268728482952430170e+01,-5.228551810169179817e+02
2.610999999999998877e+01,-3.160363891983029916e+01,-2.268734484863280443e+01,-5.228668984375000264e+02
2.685599999999998744e+01,-3.160299795541289924e+01,-2.268392502902040064e+01,-5.228741987314240305e+02
2.760199999999998610e+01,-3.160244258078549962e+01,-2.267735429753719956e+01,-5.228778952532239828e+02
2.834799999999998477e+01,-3.160202301276860126e+01,-2.266947207807869802e+01,-5.228801678731780385e+02
2.909399999999998343e+01,-3.160178946818289702e+01,-2.266211779454080144e+01,-5.228831964615679908e+02
2.983999999999998209e+01,-3.160179216384890211e+01,-2.265713087081910260e+01,-5.228891608886719951e+02
3.058599999999998076e+01,-3.160227683445599922e+01,-2.265436183802970049e+01,-5.229001527316239617e+02
3.133199999999997942e+01,-3.160323296744440214e+01,-2.265216374605480354e+01,-5.229148087151839945e+02
3.207799999999998164e+01,-3.160432640876020116e+01,-2.265012979693939599e+01,-5.229301264310780653e+02
3.282399999999998386e+01,-3.160522300434960385e+01,-2.264785319272870012e+01,-5.229431034710279391e+02
3.356999999999998607e+01,-3.160558860015870053e+01,-2.264492713546750124e+01,-5.229507374267579962e+02
3.431599999999998829e+01,-3.160262990549500017e+01,-2.264068359075420034e+01,-5.229540517925470340e+02
3.506199999999999051e+01,-3.159550051214930022e+01,-2.263525943595560008e+01,-5.229561397356229691e+02
3.580799999999999272e+01,-3.158678658979259879e+01,-2.262945524076939918e+01,-5.229571033571330645e+02
3.655399999999999494e+01,-3.157907430809610361e+01,-2.262407157489360188e+01,-5.229570447582229917e+02
3.729999999999999716e+01,-3.157494983673100108e+01,-2.261990900802609872e+01,-5.229560660400389906e+02
3.804599999999999937e+01,-3.157417913650760255e+01,-2.261736563376669906e+01,-5.229546331578769696e+02
3.879200000000000159e+01,-3.157496611553949961e+01,-2.261645240968680071e+01,-5.229531210869670304e+02
3.953800000000000381e+01,-3.157755386445230172e+01,-2.261738920144130205e+01,-5.229514954583589770e+02
4.028400000000000603e+01,-3.158218547387189901e+01,-2.262039587468550295e+01,-5.229497219031020450e+02
4.103000000000000824e+01,-3.158910403442379788e+01,-2.262569229507450075e+01,-5.229477660522460383e+02
4.177600000000001046e+01,-3.159752263083190016e+01,-2.263277290185400048e+01,-5.229455200179660324e+02
4.252200000000001268e+01,-3.160642532484219913e+01,-2.264067283282819787e+01,-5.229429336300410114e+02
4.326800000000001489e+01,-3.161571167261369553e+01,-2.264892300148920157e+01,-5.229400590959249939e+02
4.401400000000001711e+01,-3.162528123030559968e+01,-2.265705432132949682e+01,-5.229369486230750681e+02
4.476000000000001933e+01,-3.163503355407710060e+01,-2.266459770584110345e+01,-5.229336544189450251e+02
4.550600000000002154e+01,-3.164540124174559921e+01,-2.267173578448979754e+01,-5.229275466113059565e+02
4.625200000000002376e+01,-3.165655325757830241e+01,-2.267876526060979714e+01,-5.229177638508709833e+02
4.699800000000002598e+01,-3.166799370740870145e+01,-2.268538815849539603e+01,-5.229070111295100105e+02
4.774400000000002819e+01,-3.167922669707049721e+01,-2.269130650244120062e+01,-5.228979934390910103e+02
4.849000000000003041e+01,-3.168975633239750067e+01,-2.269622231674189905e+01,-5.228934157714840012e+02
4.923600000000003263e+01,-3.169749941666460202e+01,-2.269890714113379815e+01,-5.228935645455929944e+02
4.998200000000003485e+01,-3.170085000046549695e+01,-2.269888436784120245e+01,-5.228959906614550164e+02
5.072800000000003706e+01,-3.170002806061119927e+01,-2.269698379989129933e+01,-5.228992958326469989e+02
5.147400000000003928e+01,-3.169525357391280096e+01,-2.269403524031069708e+01,-5.229020817727409849e+02
5.222000000000004150e+01,-3.168674651718139756e+01,-2.269086849212649781e+01,-5.229029501953129966e+02
5.296600000000004371e+01,-3.167137099038179926e+01,-2.268677912978099798e+01,-5.229023430032939359e+02
5.371200000000004593e+01,-3.164885322931850098e+01,-2.268120484032169770e+01,-5.229016445501459884e+02
5.445800000000004815e+01,-3.162370641456200104e+01,-2.267518859568260226e+01,-5.229008702252330067e+02
5.520400000000005036e+01,-3.160044372668310331e+01,-2.266977336779769914e+01,-5.229000354179220267e+02
5.595000000000005258e+01,-3.158357834625239846e+01,-2.266600212860110375e+01,-5.228991555175779240e+02
5.669600000000005480e+01,-3.157148718677260035e+01,-2.266639366029960101e+01,-5.228981412619079947e+02
5.744200000000005701e+01,-3.156023358547910362e+01,-2.267081805196369970e+01,-5.228968740745119703e+02
5.818800000000005923e+01,-3.155086035854219872e+01,-2.267634523582289674e+01,-5.228953253735940052e+02
5.893400000000006145e+01,-3.154441032213230045e+01,-2.268004514410699812e+01,-5.228934665773559800e+02
5.968000000000006366e+01,-3.154192629241940082e+01,-2.267898770904540129e+01,-5.228912691040039817e+02
6.042600000000006588e+01,-3.154222225997839857e+01,-2.267388762467080099e+01,-5.228836519379060519e+02
6.117200000000006810e+01,-3.154314445001500289e+01,-2.266779138487189726e+01,-5.228683339466080042e+02
6.191800000000007032e+01,-3.154428403064650155e+01,-2.266126662166280425e+01,-5.228494863730760471e+02
6.266400000000007253e+01,-3.154523216999020008e+01,-2.265488096705760057e+01,-5.228312804602749111e+02
6.341000000000007475e+01,-3.154558003616330097e+01,-2.264920205307010193e+01,-5.228178874511720551e+02
6.415600000000007697e+01,-3.154535396451319684e+01,-2.264418523874279998e+01,-5.228097222214199746e+02
6.490200000000007208e+01,-3.154488816116320038e+01,-2.263945734592759962e+01,-5.228044912545299212e+02
6.564800000000006719e+01,-3.154423560039489871e+01,-2.263509320085210419e+01,-5.228023032052509507e+02
