# Time,X,Y,Z
0.000000000000000000e+00,-3.263492965698240056e+01,-2.244094848632810013e+01,-5.215095214843750000e+02
7.459999999999999964e-01,-3.264140299316409966e+01,-2.245082814895629753e+01,-5.215339612817380157e+02
1.491999999999999993e+00,-3.264664887069699972e+01,-2.245727344406130399e+01,-5.215548077124019528e+02
2.237999999999999989e+00,-3.265066728958129971e+01,-2.246028437164309821e+01,-5.215720607763670387e+02
2.983999999999999986e+00,-3.265345824981690015e+01,-2.245986093170169795e+01,-5.215857204736329322e+02
3.729999999999999982e+00,-3.265502175140380103e+01,-2.245600312423710321e+01,-5.215957868041989514e+02
4.475999999999999979e+00,-3.265488069431509643e+01,-2.244646048030629970e+01,-5.216020674911919741e+02
5.221999999999999531e+00,-3.265303507855080056e+01,-2.243123299990950059e+01,-5.216045625346099541e+02
5.967999999999999972e+00,-3.265020055415130429e+01,-2.241369638646100171e+01,-5.216035603497659849e+02
6.714000000000000412e+00,-3.264709277115689900e+01,-2.239722634337499940e+01,-5.215993493519730464e+02
7.460000000000000853e+00,-3.264442737960819585e+01,-2.238519857406620162e+01,-5.215922179565429815e+02
8.206000000000001293e+00,-3.264214008309220105e+01,-2.237695751442539560e+01,-5.215825959491829735e+02
8.952000000000001734e+00,-3.263974096040900008e+01,-2.236995176302070121e+01,-5.215713954047770358e+02
9.698000000000002174e+00,-3.263730722441749776e+01,-2.236471326728170084e+01,-5.215596281723999255e+02
1.044400000000000261e+01,-3.263491608797699683e+01,-2.236177397463810124e+01,-5.215483061011290147e+02
1.119000000000000306e+01,-3.263264476394650160e+01,-2.236166583251949902e+01,-5.215384410400389470e+02
1.193600000000000350e+01,-3.263554622457370158e+01,-2.236618748792619726e+01,-5.215311586955639314e+02
1.268200000000000394e+01,-3.264563495005099725e+01,-2.237499908778779911e+01,-5.215260456293000288e+02
1.342800000000000438e+01,-3.265843041515480394e+01,-2.238542482942860090e+01,-5.215218049730659686e+02
1.417400000000000482e+01,-3.266945209466179989e+01,-2.239478891017250106e+01,-5.215171398586829810e+02
1.492000000000000526e+01,-3.267421946334840044e+01,-2.240041552734369645e+01,-5.215107534179689992e+02
1.566600000000000570e+01,-3.267079841329329781e+01,-2.240087734330500169e+01,-5.214929948395189285e+02
1.641200000000000614e+01,-3.266252190582969916e+01,-2.239799838184019976e+01,-5.214622366386289514e+02
1.715800000000000480e+01,-3.265281001961539431e+01,-2.239397988240520121e+01,-5.214292169371690306e+02
1.790400000000000347e+01,-3.264508283330869887e+01,-2.239102308445569989e+01,-5.214046738570090156e+02
1.865000000000000213e+01,-3.264276042556760160e+01,-2.239132922744749976e+01,-5.213993455200200060e+02
1.939600000000000080e+01,-3.264459682150690156e+01,-2.239802924838880216e+01,-5.214094970672630325e+02
2.014199999999999946e+01,-3.264686957288330404e+01,-2.241024908863200338e+01,-5.214230283039080405e+02
2.088799999999999812e+01,-3.264928404831749731e+01,-2.242418249414910392e+01,-5.214381293479859778e+02
2.163399999999999679e+01,-3.265154561643060305e+01,-2.243602321091229967e+01,-5.214529903175290428e+02
2.237999999999999545e+01,-3.265335964584350137e+01,-2.244196498489379721e+01,-5.214658013305660234e+02
2.312599999999999412e+01,-3.265483222721670131e+01,-2.244012006839570006e+01,-5.214772135870880447e+02
2.387199999999999278e+01,-3.265618658116569861e+01,-2.243320909807810182e+01,-5.214886734181109205e+02
2.461799999999999145e+01,-3.265730377124380368e+01,-2.242433839644949956e+01,-5.214995636382070643e+02
2.536399999999999011e+01,-3.265806486100460404e+01,-2.241661428601880246e+01,-5.215092670619479804e+02
2.610999999999998877e+01,-3.265835091400149537e+01,-2.241314308929440102e+01,-5.215171665039059690e+02
2.685599999999998744e+01,-3.265554400637689980e+01,-2.241630269632230110e+01,-5.215188722038599280e+02
2.760199999999998610e+01,-3.264879592660400220e+01,-2.242396877921130027e+01,-5.215131184780660760e+02
2.834799999999998477e+01,-3.264064230673159983e+01,-2.243249433356499978e+01,-5.215039742558089984e+02
2.909399999999998343e+01,-3.263361877880860362e+01,-2.243823235498700086e+01,-5.214955084663789648e+02
2.983999999999998209e+01,-3.263026097488400268e+01,-2.243753583908080174e+01,-5.214917900390619252e+02
3.058599999999998076e+01,-3.263020430435400243e+01,-2.243006560992730059e+01,-5.214949263269110133e+02
3.133199999999997942e+01,-3.263105882202879826e+01,-2.241923359621210210e+01,-5.215022275923239476e+02
3.207799999999998164e+01,-3.263232212807830024e+01,-2.240701945044580157e+01,-5.215105671286059987e+02
3.282399999999998386e+01,-3.263349182267250370e+01,-2.239540282513910441e+01,-5.215168182290669847e+02
3.356999999999998607e+01,-3.263406550598139688e+01,-2.238636337280270183e+01,-5.215178541870120625e+02
