# Time,X,Y,Z
0.000000000000000000e+00,-3.920673000000000030e+01,-3.032326500000000280e+01,-5.180661000000000058e+02
7.459999999999999964e-01,-3.921600000000000108e+01,-3.033292999999999751e+01,-5.180691000000000486e+02
1.491999999999999993e+00,-3.922424300000000130e+01,-3.034007000000000076e+01,-5.180708599999999251e+02
2.237999999999999989e+00,-3.923146400000000256e+01,-3.034468700000000041e+01,-5.180715299999999388e+02
2.983999999999999986e+00,-3.923766299999999774e+01,-3.034677700000000300e+01,-5.180709000000000515e+02
3.729999999999999982e+00,-3.924283599999999694e+01,-3.034634400000000198e+01,-5.180692000000000235e+02
4.475999999999999979e+00,-3.924725999999999715e+01,-3.034131400000000056e+01,-5.180643999999999778e+02
5.221999999999999531e+00,-3.925093999999999994e+01,-3.033169199999999677e+01,-5.180565000000000282e+02
5.967999999999999972e+00,-3.925345599999999990e+01,-3.032057800000000114e+01,-5.180483400000000529e+02
6.714000000000000412e+00,-3.925439999999999685e+01,-3.031107899999999944e+01,-5.180428500000000440e+02
7.460000000000000853e+00,-3.925334500000000304e+01,-3.030630100000000127e+01,-5.180428500000000440e+02
8.206000000000001293e+00,-3.925092000000000070e+01,-3.031033700000000053e+01,-5.180473599999999124e+02
8.952000000000001734e+00,-3.924815800000000365e+01,-3.032202500000000001e+01,-5.180534000000000106e+02
9.698000000000002174e+00,-3.924526600000000087e+01,-3.033659199999999956e+01,-5.180605000000000473e+02
1.044400000000000261e+01,-3.924245499999999964e+01,-3.034925999999999746e+01,-5.180683599999999842e+02
1.119000000000000306e+01,-3.923993000000000109e+01,-3.035525300000000115e+01,-5.180766599999999471e+02
1.193600000000000350e+01,-3.923777800000000582e+01,-3.034980399999999889e+01,-5.180851000000000113e+02
1.268200000000000394e+01,-3.923582499999999840e+01,-3.033532700000000304e+01,-5.180937000000000126e+02
1.342800000000000438e+01,-3.923390599999999750e+01,-3.031782999999999717e+01,-5.181024999999999636e+02
1.417400000000000482e+01,-3.923185000000000144e+01,-3.030330700000000022e+01,-5.181114499999999907e+02
1.492000000000000526e+01,-3.922948000000000235e+01,-3.029776599999999576e+01,-5.181205999999999676e+02
1.566600000000000570e+01,-3.922592999999999819e+01,-3.030583200000000232e+01,-5.181311599999999089e+02
1.641200000000000614e+01,-3.922094699999999534e+01,-3.032365000000000066e+01,-5.181435500000000047e+02
1.715800000000000480e+01,-3.921526699999999721e+01,-3.034449799999999797e+01,-5.181565600000000131e+02
1.790400000000000347e+01,-3.920962999999999710e+01,-3.036164899999999989e+01,-5.181689999999999827e+02
1.865000000000000213e+01,-3.920477999999999952e+01,-3.036838300000000146e+01,-5.181797500000000127e+02
1.939600000000000080e+01,-3.920118300000000033e+01,-3.036332899999999668e+01,-5.181873000000000502e+02
2.014199999999999946e+01,-3.919862700000000189e+01,-3.035239600000000237e+01,-5.181913500000000568e+02
2.088799999999999812e+01,-3.919681500000000085e+01,-3.033978800000000220e+01,-5.181923000000000457e+02
2.163399999999999679e+01,-3.919545699999999755e+01,-3.032970599999999806e+01,-5.181907300000000305e+02
2.237999999999999545e+01,-3.919425999999999988e+01,-3.032635100000000250e+01,-5.181870000000000118e+02
2.312599999999999412e+01,-3.919456500000000432e+01,-3.032866500000000087e+01,-5.181797500000000127e+02
2.387199999999999278e+01,-3.919785000000000252e+01,-3.033257700000000057e+01,-5.181689999999999827e+02
2.461799999999999145e+01,-3.920405200000000434e+01,-3.033776900000000154e+01,-5.181573499999999513e+02
2.536399999999999011e+01,-3.921309999999999718e+01,-3.034391799999999861e+01,-5.181473999999999478e+02
2.610999999999998877e+01,-3.922492600000000351e+01,-3.035070800000000091e+01,-5.181418999999999642e+02
2.685599999999998744e+01,-3.924595000000000056e+01,-3.036085900000000137e+01,-5.181400999999999613e+02
2.760199999999998610e+01,-3.927805999999999642e+01,-3.037531699999999901e+01,-5.181389000000000351e+02
2.834799999999998477e+01,-3.931440399999999613e+01,-3.039110999999999763e+01,-5.181380000000000337e+02
2.909399999999998343e+01,-3.934810600000000136e+01,-3.040526200000000046e+01,-5.181368400000000065e+02
2.983999999999998209e+01,-3.937231400000000292e+01,-3.041480300000000270e+01,-5.181348000000000411e+02
3.058599999999998076e+01,-3.938865300000000502e+01,-3.040627899999999784e+01,-5.181319999999999482e+02
3.133199999999997942e+01,-3.940281999999999840e+01,-3.037706199999999868e+01,-5.181287999999999556e+02
3.207799999999998164e+01,-3.941405000000000314e+01,-3.034042199999999667e+01,-5.181254999999999882e+02
3.282399999999998386e+01,-3.942157399999999967e+01,-3.030962600000000151e+01,-5.181224399999999832e+02
3.356999999999998607e+01,-3.942462000000000444e+01,-3.029794500000000212e+01,-5.181199000000000296e+02
3.431599999999998829e+01,-3.942467500000000058e+01,-3.030607399999999885e+01,-5.181182999999999765e+02
3.506199999999999051e+01,-3.942365300000000161e+01,-3.032205999999999690e+01,-5.181177999999999884e+02
3.580799999999999272e+01,-3.942147999999999541e+01,-3.034019000000000332e+01,-5.181180400000000645e+02
3.655399999999999494e+01,-3.941806799999999811e+01,-3.035475699999999932e+01,-5.181186999999999898e+02
3.729999999999999716e+01,-3.941333400000000609e+01,-3.036004600000000053e+01,-5.181195000000000164e+02
3.804599999999999937e+01,-3.940767299999999551e+01,-3.035844799999999921e+01,-5.181223999999999705e+02
3.879200000000000159e+01,-3.940132499999999993e+01,-3.035638400000000203e+01,-5.181281000000000176e+02
3.953800000000000381e+01,-3.939398200000000116e+01,-3.035419299999999865e+01,-5.181344599999999900e+02
4.028400000000000603e+01,-3.938531500000000563e+01,-3.035221500000000106e+01,-5.181394000000000233e+02
4.103000000000000824e+01,-3.937501500000000476e+01,-3.035079000000000349e+01,-5.181407000000000380e+02
4.177600000000001046e+01,-3.936099999999999710e+01,-3.034990499999999969e+01,-5.181363499999999931e+02
4.252200000000001268e+01,-3.934310500000000133e+01,-3.034932700000000239e+01,-5.181275600000000168e+02
4.326800000000001489e+01,-3.932388699999999915e+01,-3.034904900000000083e+01,-5.181169999999999618e+02
4.401400000000001711e+01,-3.930591199999999930e+01,-3.034906400000000204e+01,-5.181072400000000471e+02
4.476000000000001933e+01,-3.929173000000000116e+01,-3.034937100000000143e+01,-5.181009500000000116e+02
4.550600000000002154e+01,-3.928122000000000469e+01,-3.035813100000000020e+01,-5.180973999999999933e+02
4.625200000000002376e+01,-3.927223000000000042e+01,-3.037769699999999773e+01,-5.180940600000000131e+02
4.699800000000002598e+01,-3.926429399999999958e+01,-3.039934500000000028e+01,-5.180912499999999454e+02
4.774400000000002819e+01,-3.925694000000000017e+01,-3.041435399999999944e+01,-5.180891000000000304e+02
4.849000000000003041e+01,-3.924970199999999920e+01,-3.041400300000000456e+01,-5.180878000000000156e+02
4.923600000000003263e+01,-3.924497199999999708e+01,-3.040227899999999650e+01,-5.180874000000000024e+02
4.998200000000003485e+01,-3.924367500000000319e+01,-3.038921500000000364e+01,-5.180874599999999646e+02
5.072800000000003706e+01,-3.924313699999999727e+01,-3.037515999999999750e+01,-5.180879499999999780e+02
5.147400000000003928e+01,-3.924069199999999569e+01,-3.036045599999999922e+01,-5.180886000000000422e+02
5.222000000000004150e+01,-3.923367000000000360e+01,-3.034545300000000267e+01,-5.180892999999999802e+02
5.296600000000004371e+01,-3.921212399999999576e+01,-3.033022499999999866e+01,-5.180915999999999713e+02
5.371200000000004593e+01,-3.917425999999999675e+01,-3.031476599999999877e+01,-5.180959500000000162e+02
5.445800000000004815e+01,-3.912962299999999516e+01,-3.029929999999999879e+01,-5.181006999999999607e+02
5.520400000000005036e+01,-3.908776999999999902e+01,-3.028404799999999852e+01,-5.181045000000000300e+02
5.595000000000005258e+01,-3.905824699999999439e+01,-3.026923400000000086e+01,-5.181055000000000064e+02
5.669600000000005480e+01,-3.903828000000000031e+01,-3.025548400000000271e+01,-5.180986000000000331e+02
5.744200000000005701e+01,-3.901924000000000348e+01,-3.024318300000000193e+01,-5.180825999999999567e+02
5.818800000000005923e+01,-3.900189000000000306e+01,-3.023219000000000278e+01,-5.180627400000000762e+02
5.893400000000006145e+01,-3.898698399999999964e+01,-3.022235999999999834e+01,-5.180440700000000334e+02
5.968000000000006366e+01,-3.897529199999999605e+01,-3.021355600000000052e+01,-5.180317400000000134e+02
6.042600000000006588e+01,-3.896587000000000245e+01,-3.020725600000000099e+01,-5.180245400000000018e+02
6.117200000000006810e+01,-3.895704699999999576e+01,-3.020387500000000003e+01,-5.180181999999999789e+02
6.191800000000007032e+01,-3.894846700000000084e+01,-3.020167199999999852e+01,-5.180132399999999961e+02
6.266400000000007253e+01,-3.893978500000000054e+01,-3.019890800000000297e+01,-5.180100999999999658e+02
6.341000000000007475e+01,-3.893064000000000391e+01,-3.019384000000000157e+01,-5.180091599999999517e+02
6.415600000000007697e+01,-3.892019699999999460e+01,-3.018553499999999801e+01,-5.180107000000000426e+02
6.490200000000007208e+01,-3.890841300000000302e+01,-3.017500499999999874e+01,-5.180140400000000227e+02
6.564800000000006719e+01,-3.889614999999999867e+01,-3.016342399999999913e+01,-5.180180000000000291e+02
