# Time,X,Y,Z
0.000000000000000000e+00,-3.918091599999999630e+01,-3.569121599999999717e+01,-5.129512300000000096e+02
7.459999999999999964e-01,-3.918027999999999622e+01,-3.568539000000000527e+01,-5.129556999999999789e+02
1.491999999999999993e+00,-3.918062600000000373e+01,-3.567865399999999454e+01,-5.129604000000000497e+02
2.237999999999999989e+00,-3.918195300000000003e+01,-3.567099999999999937e+01,-5.129652999999999565e+02
2.983999999999999986e+00,-3.918425999999999476e+01,-3.566243000000000052e+01,-5.129704000000000406e+02
3.729999999999999982e+00,-3.918755000000000166e+01,-3.565294600000000003e+01,-5.129756999999999607e+02
4.475999999999999979e+00,-3.919219199999999859e+01,-3.564089200000000091e+01,-5.129812599999999065e+02
5.221999999999999531e+00,-3.919819299999999629e+01,-3.562626599999999399e+01,-5.129871000000000549e+02
5.967999999999999972e+00,-3.920498700000000269e+01,-3.561155300000000068e+01,-5.129931000000000267e+02
6.714000000000000412e+00,-3.921201299999999890e+01,-3.559923599999999766e+01,-5.129991999999999734e+02
7.460000000000000853e+00,-3.921870799999999946e+01,-3.559179999999999922e+01,-5.130054299999999330e+02
8.206000000000001293e+00,-3.922516999999999854e+01,-3.558887999999999607e+01,-5.130149000000000115e+02
8.952000000000001734e+00,-3.923184200000000033e+01,-3.558782599999999974e+01,-5.130286999999999580e+02
9.698000000000002174e+00,-3.923870000000000147e+01,-3.558769999999999811e+01,-5.130439499999999953e+02
1.044400000000000261e+01,-3.924571199999999749e+01,-3.558755999999999631e+01,-5.130577400000000807e+02
1.119000000000000306e+01,-3.925285000000000224e+01,-3.558646399999999943e+01,-5.130671999999999571e+02
1.193600000000000350e+01,-3.927235000000000298e+01,-3.558381299999999925e+01,-5.130662999999999556e+02
1.268200000000000394e+01,-3.930823499999999626e+01,-3.558020799999999895e+01,-5.130552999999999884e+02
1.342800000000000438e+01,-3.934815600000000302e+01,-3.557650999999999897e+01,-5.130404700000000275e+02
1.417400000000000482e+01,-3.937977599999999967e+01,-3.557359699999999947e+01,-5.130280999999999949e+02
1.492000000000000526e+01,-3.939074699999999751e+01,-3.557232700000000136e+01,-5.130244999999999891e+02
1.566600000000000570e+01,-3.938620399999999933e+01,-3.557487000000000421e+01,-5.130295399999999972e+02
1.641200000000000614e+01,-3.938012299999999755e+01,-3.558215999999999468e+01,-5.130376599999999598e+02
1.715800000000000480e+01,-3.937342000000000297e+01,-3.559318999999999988e+01,-5.130467499999999745e+02
1.790400000000000347e+01,-3.936701599999999956e+01,-3.560695300000000429e+01,-5.130547500000000127e+02
1.865000000000000213e+01,-3.936182000000000158e+01,-3.562245599999999968e+01,-5.130594999999999573e+02
1.939600000000000080e+01,-3.935762800000000539e+01,-3.563883200000000073e+01,-5.130597000000000207e+02
2.014199999999999946e+01,-3.935353500000000082e+01,-3.565568999999999988e+01,-5.130569500000000289e+02
2.088799999999999812e+01,-3.934942199999999701e+01,-3.567273000000000138e+01,-5.130538000000000238e+02
2.163399999999999679e+01,-3.934516500000000150e+01,-3.568965000000000032e+01,-5.130526999999999589e+02
2.237999999999999545e+01,-3.934063300000000396e+01,-3.570616500000000570e+01,-5.130561500000000024e+02
2.312599999999999412e+01,-3.933568199999999848e+01,-3.572214999999999918e+01,-5.130646000000000413e+02
2.387199999999999278e+01,-3.933035999999999888e+01,-3.573772000000000304e+01,-5.130755599999999959e+02
2.461799999999999145e+01,-3.932485599999999692e+01,-3.575291400000000408e+01,-5.130874000000000024e+02
2.536399999999999011e+01,-3.931935999999999609e+01,-3.576777599999999779e+01,-5.130984499999999571e+02
2.610999999999998877e+01,-3.931405600000000078e+01,-3.578233699999999828e+01,-5.131069999999999709e+02
2.685599999999998744e+01,-3.930900599999999656e+01,-3.579409000000000418e+01,-5.131136500000000069e+02
2.760199999999998610e+01,-3.930441700000000083e+01,-3.580089600000000161e+01,-5.131201999999999543e+02
2.834799999999998477e+01,-3.930069400000000002e+01,-3.580335000000000178e+01,-5.131266000000000531e+02
2.909399999999998343e+01,-3.929825600000000208e+01,-3.580204799999999921e+01,-5.131328999999999496e+02
2.983999999999998209e+01,-3.929750999999999550e+01,-3.579758999999999958e+01,-5.131390999999999849e+02
3.058599999999998076e+01,-3.930127000000000237e+01,-3.578569799999999645e+01,-5.131449599999999691e+02
3.133199999999997942e+01,-3.931014600000000314e+01,-3.576529299999999978e+01,-5.131504999999999654e+02
3.207799999999998164e+01,-3.932124000000000308e+01,-3.574175300000000277e+01,-5.131557599999999866e+02
3.282399999999998386e+01,-3.933164199999999511e+01,-3.572046300000000230e+01,-5.131608999999999696e+02
3.356999999999998607e+01,-3.933845000000000169e+01,-3.570680000000000121e+01,-5.131659499999999525e+02
3.431599999999998829e+01,-3.934232999999999691e+01,-3.570034000000000418e+01,-5.131683299999999690e+02
3.506199999999999051e+01,-3.934596599999999711e+01,-3.569684000000000168e+01,-5.131661000000000286e+02
3.580799999999999272e+01,-3.934950999999999510e+01,-3.569592700000000463e+01,-5.131604999999999563e+02
3.655399999999999494e+01,-3.935309999999999775e+01,-3.569724300000000028e+01,-5.131528299999999945e+02
3.729999999999999716e+01,-3.935687999999999676e+01,-3.570042399999999816e+01,-5.131441999999999553e+02
3.804599999999999937e+01,-3.936102000000000345e+01,-3.570900300000000271e+01,-5.131202400000000807e+02
3.879200000000000159e+01,-3.936551699999999698e+01,-3.572396499999999975e+01,-5.130751999999999953e+02
3.953800000000000381e+01,-3.937029000000000423e+01,-3.574111599999999811e+01,-5.130238000000000511e+02
4.028400000000000603e+01,-3.937525000000000119e+01,-3.575626400000000160e+01,-5.129806499999999687e+02
4.103000000000000824e+01,-3.938032000000000465e+01,-3.576521699999999981e+01,-5.129604000000000497e+02
4.177600000000001046e+01,-3.939312999999999931e+01,-3.575955199999999934e+01,-5.129718599999999924e+02
4.252200000000001268e+01,-3.941642399999999924e+01,-3.573970800000000025e+01,-5.130051999999999452e+02
4.326800000000001489e+01,-3.944277199999999794e+01,-3.571479999999999677e+01,-5.130464500000000498e+02
4.401400000000001711e+01,-3.946474500000000063e+01,-3.569394299999999731e+01,-5.130819000000000187e+02
4.476000000000001933e+01,-3.947492199999999940e+01,-3.568624000000000507e+01,-5.130977000000000317e+02
4.550600000000002154e+01,-3.946958000000000055e+01,-3.569769699999999801e+01,-5.130962500000000546e+02
4.625200000000002376e+01,-3.945367399999999947e+01,-3.572193000000000040e+01,-5.130910000000000082e+02
4.699800000000002598e+01,-3.943275500000000022e+01,-3.574949300000000108e+01,-5.130846599999999853e+02
4.774400000000002819e+01,-3.941238799999999998e+01,-3.577094000000000307e+01,-5.130798999999999523e+02
4.849000000000003041e+01,-3.939813200000000393e+01,-3.577681700000000120e+01,-5.130795000000000528e+02
4.923600000000003263e+01,-3.939356000000000080e+01,-3.577009000000000327e+01,-5.130886000000000422e+02
4.998200000000003485e+01,-3.939540999999999826e+01,-3.576106000000000051e+01,-5.131053500000000440e+02
5.072800000000003706e+01,-3.939900000000000091e+01,-3.575130000000000052e+01,-5.131218000000000075e+02
5.147400000000003928e+01,-3.939964299999999753e+01,-3.574238199999999921e+01,-5.131304000000000087e+02
5.222000000000004150e+01,-3.939265999999999934e+01,-3.573586699999999894e+01,-5.131231000000000222e+02
5.296600000000004371e+01,-3.936227800000000343e+01,-3.573134999999999906e+01,-5.131041000000000167e+02
