# Time,X,Y,Z
0.000000000000000000e+00,-3.650330999999999904e+01,-2.985216899999999995e+01,-5.169741999999999962e+02
7.459999999999999964e-01,-3.652561000000000035e+01,-2.983889799999999681e+01,-5.169783999999999651e+02
1.491999999999999993e+00,-3.654403700000000299e+01,-2.982519000000000275e+01,-5.169837599999999611e+02
2.237999999999999989e+00,-3.655859000000000236e+01,-2.981104699999999852e+01,-5.169903600000000097e+02
2.983999999999999986e+00,-3.656926299999999941e+01,-2.979646699999999981e+01,-5.169981700000000728e+02
3.729999999999999982e+00,-3.657606499999999983e+01,-2.978144999999999953e+01,-5.170071000000000367e+02
4.475999999999999979e+00,-3.657715000000000316e+01,-2.976555300000000415e+01,-5.170193000000000438e+02
5.221999999999999531e+00,-3.657251699999999772e+01,-2.974877000000000038e+01,-5.170345999999999549e+02
5.967999999999999972e+00,-3.656493400000000094e+01,-2.973177499999999895e+01,-5.170502000000000180e+02
6.714000000000000412e+00,-3.655715000000000003e+01,-2.971523900000000040e+01,-5.170628699999999753e+02
7.460000000000000853e+00,-3.655193700000000234e+01,-2.969982999999999862e+01,-5.170697599999999738e+02
8.206000000000001293e+00,-3.654807699999999926e+01,-2.968721599999999583e+01,-5.170693400000000111e+02
8.952000000000001734e+00,-3.654357000000000255e+01,-2.967805300000000202e+01,-5.170639599999999518e+02
9.698000000000002174e+00,-3.653999699999999962e+01,-2.967148800000000008e+01,-5.170566000000000031e+02
1.044400000000000261e+01,-3.653891800000000245e+01,-2.966667199999999838e+01,-5.170501000000000431e+02
1.119000000000000306e+01,-3.654191199999999640e+01,-2.966275200000000112e+01,-5.170473599999999124e+02
1.193600000000000350e+01,-3.654875999999999436e+01,-2.965887599999999935e+01,-5.170475500000000011e+02
1.268200000000000394e+01,-3.655754500000000462e+01,-2.965599299999999872e+01,-5.170476999999999634e+02
1.342800000000000438e+01,-3.656730000000000302e+01,-2.965595200000000276e+01,-5.170479000000000269e+02
1.417400000000000482e+01,-3.657704000000000377e+01,-2.966060799999999986e+01,-5.170480999999999767e+02
1.492000000000000526e+01,-3.658580399999999599e+01,-2.967181599999999619e+01,-5.170481999999999516e+02
1.566600000000000570e+01,-3.659369699999999881e+01,-2.968699999999999761e+01,-5.170483400000000529e+02
1.641200000000000614e+01,-3.660146699999999953e+01,-2.970232000000000028e+01,-5.170483400000000529e+02
1.715800000000000480e+01,-3.660907399999999967e+01,-2.971772800000000103e+01,-5.170483400000000529e+02
1.790400000000000347e+01,-3.661648999999999887e+01,-2.973317499999999924e+01,-5.170483000000000402e+02
1.865000000000000213e+01,-3.662368000000000023e+01,-2.974862100000000353e+01,-5.170481999999999516e+02
1.939600000000000080e+01,-3.662952999999999548e+01,-2.976414500000000274e+01,-5.170434599999999818e+02
2.014199999999999946e+01,-3.663330999999999449e+01,-2.977978900000000095e+01,-5.170321000000000140e+02
2.088799999999999812e+01,-3.663552999999999571e+01,-2.979544299999999879e+01,-5.170181999999999789e+02
2.163399999999999679e+01,-3.663672600000000301e+01,-2.981099299999999985e+01,-5.170058000000000220e+02
2.237999999999999545e+01,-3.663741999999999877e+01,-2.982632999999999868e+01,-5.169990999999999985e+02
2.312599999999999412e+01,-3.663392000000000337e+01,-2.983239400000000074e+01,-5.170019499999999653e+02
2.387199999999999278e+01,-3.662467999999999790e+01,-2.982462899999999806e+01,-5.170126000000000204e+02
2.461799999999999145e+01,-3.661345700000000392e+01,-2.980968499999999821e+01,-5.170262999999999920e+02
2.536399999999999011e+01,-3.660399600000000220e+01,-2.979420900000000216e+01,-5.170386999999999489e+02
2.610999999999998877e+01,-3.660005000000000308e+01,-2.978484299999999863e+01,-5.170448999999999842e+02
2.685599999999998744e+01,-3.660618200000000400e+01,-2.978544000000000125e+01,-5.170415000000000418e+02
2.760199999999998610e+01,-3.662054000000000542e+01,-2.979231799999999808e+01,-5.170312500000000000e+02
2.834799999999998477e+01,-3.663725999999999772e+01,-2.980084000000000088e+01,-5.170193500000000313e+02
2.909399999999998343e+01,-3.665047500000000014e+01,-2.980637199999999609e+01,-5.170108999999999924e+02
2.983999999999998209e+01,-3.665431599999999435e+01,-2.980427399999999949e+01,-5.170111699999999928e+02
3.058599999999998076e+01,-3.665102000000000260e+01,-2.977899199999999880e+01,-5.170221000000000231e+02
3.133199999999997942e+01,-3.664703000000000088e+01,-2.972910999999999859e+01,-5.170393699999999626e+02
3.207799999999998164e+01,-3.664279000000000508e+01,-2.967120600000000152e+01,-5.170585999999999558e+02
3.282399999999998386e+01,-3.663875600000000077e+01,-2.962184999999999846e+01,-5.170752999999999702e+02
3.356999999999998607e+01,-3.663537000000000177e+01,-2.959761400000000009e+01,-5.170851400000000240e+02
3.431599999999998829e+01,-3.663273600000000130e+01,-2.959165999999999741e+01,-5.170897999999999683e+02
3.506199999999999051e+01,-3.663047999999999860e+01,-2.958613400000000127e+01,-5.170940000000000509e+02
3.580799999999999272e+01,-3.662830699999999950e+01,-2.958110800000000040e+01,-5.170982000000000198e+02
3.655399999999999494e+01,-3.662592700000000434e+01,-2.957665300000000386e+01,-5.171025400000000900e+02
3.729999999999999716e+01,-3.662304000000000315e+01,-2.957283400000000384e+01,-5.171073599999999715e+02
3.804599999999999937e+01,-3.661760300000000257e+01,-2.956937000000000282e+01,-5.171127000000000180e+02
3.879200000000000159e+01,-3.660860999999999876e+01,-2.956593099999999907e+01,-5.171181599999999889e+02
3.953800000000000381e+01,-3.659731699999999677e+01,-2.956251099999999710e+01,-5.171237999999999602e+02
4.028400000000000603e+01,-3.658497599999999750e+01,-2.955910700000000091e+01,-5.171292999999999438e+02
4.103000000000000824e+01,-3.657285000000000252e+01,-2.955571199999999976e+01,-5.171346399999999903e+02
4.177600000000001046e+01,-3.655456500000000375e+01,-2.955250999999999806e+01,-5.171391599999999471e+02
4.252200000000001268e+01,-3.652758400000000449e+01,-2.954974199999999840e+01,-5.171421500000000151e+02
4.326800000000001489e+01,-3.649889799999999696e+01,-2.954750800000000055e+01,-5.171435500000000047e+02
4.401400000000001711e+01,-3.647549399999999764e+01,-2.954590999999999923e+01,-5.171435000000000173e+02
4.476000000000001933e+01,-3.646436699999999576e+01,-2.954504000000000374e+01,-5.171417999999999893e+02
4.550600000000002154e+01,-3.647417999999999694e+01,-2.956821799999999811e+01,-5.171327999999999747e+02
4.625200000000002376e+01,-3.650242000000000075e+01,-2.962586800000000054e+01,-5.171147999999999456e+02
4.699800000000002598e+01,-3.653931000000000040e+01,-2.969875499999999846e+01,-5.170935699999999997e+02
4.774400000000002819e+01,-3.657507299999999617e+01,-2.976764099999999758e+01,-5.170750000000000455e+02
4.849000000000003041e+01,-3.659993400000000463e+01,-2.981329000000000207e+01,-5.170648999999999660e+02
4.923600000000003263e+01,-3.661748000000000047e+01,-2.983842700000000292e+01,-5.170620000000000118e+02
4.998200000000003485e+01,-3.663497499999999718e+01,-2.985789500000000274e+01,-5.170606000000000222e+02
5.072800000000003706e+01,-3.664813200000000393e+01,-2.987064699999999817e+01,-5.170594999999999573e+02
5.147400000000003928e+01,-3.665267599999999959e+01,-2.987562999999999747e+01,-5.170577400000000807e+02
5.222000000000004150e+01,-3.664432000000000045e+01,-2.987179400000000129e+01,-5.170542599999999993e+02
5.296600000000004371e+01,-3.662595699999999965e+01,-2.986140399999999673e+01,-5.170495599999999286e+02
5.371200000000004593e+01,-3.660400800000000032e+01,-2.984645800000000193e+01,-5.170448599999999715e+02
5.445800000000004815e+01,-3.657949399999999684e+01,-2.982550000000000168e+01,-5.170401000000000522e+02
5.520400000000005036e+01,-3.655344399999999894e+01,-2.979707499999999953e+01,-5.170353999999999814e+02
5.595000000000005258e+01,-3.652688599999999752e+01,-2.975972700000000160e+01,-5.170307000000000244e+02
5.669600000000005480e+01,-3.649995399999999535e+01,-2.971504199999999685e+01,-5.170259999999999536e+02
5.744200000000005701e+01,-3.647211500000000228e+01,-2.966623499999999680e+01,-5.170213999999999714e+02
5.818800000000005923e+01,-3.644335600000000142e+01,-2.961428300000000036e+01,-5.170168499999999767e+02
5.893400000000006145e+01,-3.641367699999999985e+01,-2.956016699999999986e+01,-5.170125000000000455e+02
5.968000000000006366e+01,-3.638307999999999964e+01,-2.950487000000000037e+01,-5.170083599999999251e+02
6.042600000000006588e+01,-3.634196500000000185e+01,-2.944408800000000070e+01,-5.170113499999999931e+02
6.117200000000006810e+01,-3.628629699999999758e+01,-2.937603200000000214e+01,-5.170249599999999646e+02
6.191800000000007032e+01,-3.622440000000000282e+01,-2.930543499999999923e+01,-5.170439499999999953e+02
6.266400000000007253e+01,-3.616460800000000120e+01,-2.923704000000000391e+01,-5.170630999999999631e+02
6.341000000000007475e+01,-3.611524000000000001e+01,-2.917558100000000110e+01,-5.170773299999999608e+02
6.415600000000007697e+01,-3.608291599999999733e+01,-2.912957199999999602e+01,-5.170863600000000133e+02
6.490200000000007208e+01,-3.606754000000000104e+01,-2.910488300000000095e+01,-5.170932999999999993e+02
6.564800000000006719e+01,-3.606736400000000486e+01,-2.910229000000000354e+01,-5.170977000000000317e+02
6.639400000000006230e+01,-3.608064699999999903e+01,-2.912255900000000253e+01,-5.170990600000000086e+02
6.714000000000005741e+01,-3.610563300000000453e+01,-2.916646599999999623e+01,-5.170968000000000302e+02
6.788600000000005252e+01,-3.615939000000000192e+01,-2.923510699999999929e+01,-5.170830999999999449e+02
6.863200000000004763e+01,-3.624625999999999948e+01,-2.932204600000000383e+01,-5.170559700000000021e+02
6.937800000000004275e+01,-3.634544000000000352e+01,-2.941676099999999749e+01,-5.170232499999999618e+02
7.012400000000003786e+01,-3.643611500000000092e+01,-2.950873599999999897e+01,-5.169928999999999633e+02
7.087000000000003297e+01,-3.649747999999999593e+01,-2.958744400000000141e+01,-5.169728400000000192e+02
7.161600000000002808e+01,-3.652952600000000416e+01,-2.965289000000000286e+01,-5.169631000000000540e+02
7.236200000000002319e+01,-3.654612999999999801e+01,-2.971208400000000083e+01,-5.169583999999999833e+02
7.310800000000001830e+01,-3.654729999999999990e+01,-2.976502999999999943e+01,-5.169586000000000467e+02
7.385400000000001342e+01,-3.653302399999999750e+01,-2.981172399999999811e+01,-5.169638700000000426e+02
