# Time,X,Y,Z
0.000000000000000000e+00,-4.052095999999999520e+01,-2.852715300000000198e+01,-5.187557400000000598e+02
7.459999999999999964e-01,-4.050562999999999647e+01,-2.854649199999999709e+01,-5.187676400000000285e+02
1.491999999999999993e+00,-4.049367000000000161e+01,-2.856032000000000082e+01,-5.187771599999999808e+02
2.237999999999999989e+00,-4.048507999999999640e+01,-2.856863599999999792e+01,-5.187843599999999924e+02
2.983999999999999986e+00,-4.047985999999999507e+01,-2.857144199999999756e+01,-5.187892000000000507e+02
3.729999999999999982e+00,-4.047800399999999854e+01,-2.856873499999999666e+01,-5.187916000000000167e+02
4.475999999999999979e+00,-4.048109999999999786e+01,-2.855632999999999910e+01,-5.187893699999999626e+02
5.221999999999999531e+00,-4.048913600000000201e+01,-2.853422499999999928e+01,-5.187824000000000524e+02
5.967999999999999972e+00,-4.049975200000000086e+01,-2.850870499999999907e+01,-5.187742299999999886e+02
6.714000000000000412e+00,-4.051059000000000054e+01,-2.848604799999999670e+01,-5.187685000000000173e+02
7.460000000000000853e+00,-4.051927599999999785e+01,-2.847253599999999807e+01,-5.187685999999999922e+02
8.206000000000001293e+00,-4.052506999999999948e+01,-2.847328200000000109e+01,-5.187804999999999609e+02
8.952000000000001734e+00,-4.052947199999999839e+01,-2.848449899999999957e+01,-5.188027299999999968e+02
9.698000000000002174e+00,-4.053349299999999999e+01,-2.849913600000000002e+01,-5.188279400000000123e+02
1.044400000000000261e+01,-4.053814699999999505e+01,-2.851013400000000431e+01,-5.188487499999999955e+02
1.119000000000000306e+01,-4.054443700000000206e+01,-2.851043699999999959e+01,-5.188578499999999849e+02
1.193600000000000350e+01,-4.056209000000000486e+01,-2.849212600000000251e+01,-5.188583399999999983e+02
1.268200000000000394e+01,-4.059369300000000180e+01,-2.845948200000000128e+01,-5.188586000000000240e+02
1.342800000000000438e+01,-4.062955499999999631e+01,-2.842374999999999829e+01,-5.188583999999999605e+02
1.417400000000000482e+01,-4.065999599999999958e+01,-2.839617499999999950e+01,-5.188578999999999724e+02
1.492000000000000526e+01,-4.067533499999999691e+01,-2.838800399999999868e+01,-5.188569999999999709e+02
1.566600000000000570e+01,-4.067901599999999718e+01,-2.839372999999999791e+01,-5.188558000000000447e+02
1.641200000000000614e+01,-4.068115200000000442e+01,-2.840006999999999948e+01,-5.188542499999999791e+02
1.715800000000000480e+01,-4.068206800000000101e+01,-2.840660900000000311e+01,-5.188527000000000271e+02
1.790400000000000347e+01,-4.068207600000000213e+01,-2.841292800000000440e+01,-5.188514400000000251e+02
1.865000000000000213e+01,-4.068149000000000370e+01,-2.841860999999999748e+01,-5.188505000000000109e+02
