# Time,X,Y,Z
0.000000000000000000e+00,3.122465515136719816e+01,-3.345933914184569602e+01,-5.818071899414060226e+02
7.970000000000000417e-01,3.121260634552000113e+01,-3.347255096206660596e+01,-5.818141231103520568e+02
1.594000000000000083e+00,3.120255546401979885e+01,-3.348455848312380567e+01,-5.818195323095700360e+02
2.391000000000000014e+00,3.119450250686649895e+01,-3.349536170501709620e+01,-5.818234175390630298e+02
3.188000000000000167e+00,3.118844747406010143e+01,-3.350496062774659833e+01,-5.818257787988279688e+02
3.985000000000000320e+00,3.118439036560059918e+01,-3.351335525131229787e+01,-5.818266160888670129e+02
4.782000000000000028e+00,3.118268725319540025e+01,-3.351981166252429745e+01,-5.818248563194109693e+02
5.578999999999999737e+00,3.118333813684450107e+01,-3.352432986138279603e+01,-5.818204994904589284e+02
6.375999999999999446e+00,3.118580890898680380e+01,-3.352801071767230212e+01,-5.818151552366659871e+02
7.172999999999999154e+00,3.118956546206139890e+01,-3.353195510117760136e+01,-5.818104331926830355e+02
7.969999999999998863e+00,3.119407368850710327e+01,-3.353726388168339412e+01,-5.818079429931640334e+02
8.766999999999999460e+00,3.119883322290310446e+01,-3.354743643427939759e+01,-5.818075848897110518e+02
9.564000000000000057e+00,3.120374265753389764e+01,-3.356243478942489844e+01,-5.818086617448900597e+02
1.036100000000000065e+01,3.120886632139619721e+01,-3.357805379995880202e+01,-5.818118871098040472e+02
1.115800000000000125e+01,3.121426854348650082e+01,-3.359008831871999945e+01,-5.818179745355539580e+02
1.195500000000000185e+01,3.122001365280149798e+01,-3.359433319854739608e+01,-5.818276375732419865e+02
1.275200000000000244e+01,3.122642166989669832e+01,-3.359131407022960047e+01,-5.818412843404749992e+02
1.354900000000000304e+01,3.123349741598239859e+01,-3.358495760303489419e+01,-5.818578520842009993e+02
1.434600000000000364e+01,3.124083242103750280e+01,-3.357616020752180219e+01,-5.818758480495359890e+02
1.514300000000000423e+01,3.124801821504119914e+01,-3.356581829424840180e+01,-5.818937794815930147e+02
1.594000000000000483e+01,3.125464632797239872e+01,-3.355482827377319666e+01,-5.819101536254879647e+02
1.673700000000000543e+01,3.126017362130249921e+01,-3.354377394185880235e+01,-5.819245700295030019e+02
1.753400000000000603e+01,3.126430069556810309e+01,-3.353257458414339709e+01,-5.819376325516250290e+02
1.833100000000000662e+01,3.126698468934599973e+01,-3.352112984599839507e+01,-5.819493549015239751e+02
1.912800000000000722e+01,3.126818274121300334e+01,-3.350933937279550179e+01,-5.819597507888720429e+02
1.992500000000000782e+01,3.126785198974610225e+01,-3.349710280990600353e+01,-5.819688339233400711e+02
2.072200000000000841e+01,3.126551153258200344e+01,-3.348387960519169582e+01,-5.819650741747209395e+02
2.151900000000000901e+01,3.126094924913499895e+01,-3.346945865519329999e+01,-5.819437728432569656e+02
2.231600000000000961e+01,3.125452545064830190e+01,-3.345423377830100264e+01,-5.819151907842970104e+02
2.311300000000001020e+01,3.124660044836480211e+01,-3.343859879290479853e+01,-5.818895888531860692e+02
2.391000000000001080e+01,3.123753455352779795e+01,-3.342294751739500214e+01,-5.818772279052730028e+02
2.470700000000001140e+01,3.122686636442470132e+01,-3.340286332936209845e+01,-5.818871377539859395e+02
2.550400000000001199e+01,3.121460467522040005e+01,-3.337656500366099976e+01,-5.819137956436650256e+02
2.630100000000001259e+01,3.120181509097419692e+01,-3.334839945457829913e+01,-5.819456335760289676e+02
2.709800000000001319e+01,3.118956321674519927e+01,-3.332271359640059671e+01,-5.819710835527960171e+02
2.789500000000001378e+01,3.117891465759280223e+01,-3.330385434341430084e+01,-5.819785775756839712e+02
2.869200000000001438e+01,3.116933012933330005e+01,-3.330232122464669686e+01,-5.819638709719879444e+02
2.948900000000001498e+01,3.116031949056590022e+01,-3.331910363710360201e+01,-5.819364327839670068e+02
3.028600000000001558e+01,3.115302206052350087e+01,-3.334428329703929705e+01,-5.819052655857819900e+02
3.108300000000001617e+01,3.114857715843930208e+01,-3.336794192070839671e+01,-5.818793719515949761e+02
3.188000000000001677e+01,3.114812410354609895e+01,-3.338016122436520305e+01,-5.818677544555660006e+02
3.267700000000001381e+01,3.115022066645780185e+01,-3.337452646959069824e+01,-5.818692826379329972e+02
3.347400000000001086e+01,3.115256562666160178e+01,-3.335712224388360170e+01,-5.818747509269400098e+02
3.427100000000000790e+01,3.115500981670100344e+01,-3.333677925237530104e+01,-5.818810492287690295e+02
3.506800000000000495e+01,3.115740406911969984e+01,-3.332232820019709862e+01,-5.818850674495979547e+02
3.586500000000000199e+01,3.115959921646119923e+01,-3.332259979248050286e+01,-5.818836954956050249e+02
3.666199999999999903e+01,3.116165436626969765e+01,-3.334579080150039943e+01,-5.818778434685390266e+02
3.745899999999999608e+01,3.116371732586230436e+01,-3.338670315097169805e+01,-5.818709868947810264e+02
3.825599999999999312e+01,3.116577197744219774e+01,-3.343407527318530015e+01,-5.818638638174669495e+02
3.905299999999999017e+01,3.116780220321239980e+01,-3.347664560043190107e+01,-5.818572122797299926e+02
3.984999999999998721e+01,3.116979188537600010e+01,-3.350315256500239514e+01,-5.818517703247069903e+02
4.064699999999998425e+01,3.117168837867659903e+01,-3.351684180706680394e+01,-5.818485971827980165e+02
4.144399999999998130e+01,3.117348243057839952e+01,-3.352758675079390116e+01,-5.818472667893579455e+02
4.224099999999997834e+01,3.117522301236489923e+01,-3.353406750447329898e+01,-5.818462892449490482e+02
4.303799999999997539e+01,3.117695909531959941e+01,-3.353496417639460248e+01,-5.818441746501320040e+02
4.383499999999997243e+01,3.117873965072629971e+01,-3.352895687484739540e+01,-5.818394331054689701e+02
4.463199999999996948e+01,3.118097306469719854e+01,-3.351521644670999223e+01,-5.818297788463739835e+02
4.542899999999996652e+01,3.118373501446900065e+01,-3.349638955023500131e+01,-5.818155721503300128e+02
4.622599999999996356e+01,3.118657540801219952e+01,-3.347637001077290364e+01,-5.817992921810019880e+02
4.702299999999996061e+01,3.118904415329729929e+01,-3.345905165367459944e+01,-5.817834181020530195e+02
4.781999999999995765e+01,3.119069115829470107e+01,-3.344832830429079706e+01,-5.817704290771479236e+02
4.861699999999995470e+01,3.119042304689739709e+01,-3.344274382925569711e+01,-5.817605592506409948e+02
4.941399999999995174e+01,3.118809942712999828e+01,-3.343826239245520071e+01,-5.817523142520800548e+02
5.021099999999994878e+01,3.118469968316020058e+01,-3.343490826511749958e+01,-5.817455804729249849e+02
5.100799999999994583e+01,3.118120319915539795e+01,-3.343270571847060069e+01,-5.817402443046349845e+02
5.180499999999994287e+01,3.117858935928340003e+01,-3.343167902374270284e+01,-5.817361921386719814e+02
5.260199999999993992e+01,3.117731786348350198e+01,-3.343383192791760194e+01,-5.817353674243120167e+02
5.339899999999993696e+01,3.117682910198569601e+01,-3.343918005704269802e+01,-5.817393355781770197e+02
5.419599999999993400e+01,3.117657349439370051e+01,-3.344476550094140066e+01,-5.817474159427359837e+02
5.499299999999993105e+01,3.117600146031130137e+01,-3.344763034943679969e+01,-5.817589278604630181e+02
5.578999999999992809e+01,3.117456341934199671e+01,-3.344481669235229759e+01,-5.817731906738280259e+02
5.658699999999992514e+01,3.116848280294350104e+01,-3.343634561485430368e+01,-5.817976965516010068e+02
5.738399999999992218e+01,3.115688184786069925e+01,-3.342519606762149920e+01,-5.818341324350579953e+02
5.818099999999991923e+01,3.114355918162910086e+01,-3.341284693874590062e+01,-5.818731098254299923e+02
5.897799999999991627e+01,3.113231343178389920e+01,-3.340077711631939650e+01,-5.819052402239450430e+02
5.977499999999991331e+01,3.112694322586060025e+01,-3.339046548843379725e+01,-5.819211351318359675e+02
6.057199999999991036e+01,3.112633513683280029e+01,-3.338171854831570329e+01,-5.819256663703509957e+02
