# Time,X,Y,Z
0.000000000000000000e+00,4.371310424804689632e+01,-3.300700378417969461e+01,-5.858458862304689774e+02
7.970000000000000417e-01,4.370498801055909865e+01,-3.303093564239500068e+01,-5.858625285449220428e+02
1.594000000000000083e+00,4.369724981750490400e+01,-3.305182281707759984e+01,-5.858757105175779998e+02
2.391000000000000014e+00,4.368988966888429815e+01,-3.306966530822749917e+01,-5.858854321484379852e+02
3.188000000000000167e+00,4.368290756469729530e+01,-3.308446311584469868e+01,-5.858916934374999528e+02
3.985000000000000320e+00,4.367630350494380309e+01,-3.309621623992919837e+01,-5.858944943847660625e+02
4.782000000000000028e+00,4.367027904805820526e+01,-3.310628781550050093e+01,-5.858920399318350292e+02
5.578999999999999737e+00,4.366483419404029576e+01,-3.311467784255869873e+01,-5.858843300787079897e+02
6.375999999999999446e+00,4.365966660523900345e+01,-3.311934161857440273e+01,-5.858740574129840297e+02
7.172999999999999154e+00,4.365447394400280245e+01,-3.311823444101820257e+01,-5.858639145222620073e+02
7.969999999999998863e+00,4.364895387268069982e+01,-3.310931160736080159e+01,-5.858565939941410079e+02
8.766999999999999460e+00,4.364160229910210376e+01,-3.308387432770549452e+01,-5.858548535988260255e+02
9.564000000000000057e+00,4.363206736211299841e+01,-3.304066096643580153e+01,-5.858578213423710395e+02
1.036100000000000065e+01,4.362177507058630255e+01,-3.298878255244319746e+01,-5.858627451661419627e+02
1.115800000000000125e+01,4.361215143339489941e+01,-3.293735011461889428e+01,-5.858668730115040262e+02
1.195500000000000185e+01,4.360462245941160120e+01,-3.289547468185420342e+01,-5.858674528198239386e+02
1.275200000000000244e+01,4.360329432249260151e+01,-3.286534328567329766e+01,-5.858417105129279889e+02
1.354900000000000304e+01,4.360977522625100278e+01,-3.284292065060009946e+01,-5.857835153387940181e+02
1.434600000000000364e+01,4.362174422419509767e+01,-3.282798434502610263e+01,-5.857150802280210655e+02
1.514300000000000423e+01,4.363688036983360519e+01,-3.282031193734270147e+01,-5.856586181112049871e+02
1.594000000000000483e+01,4.365286271667479667e+01,-3.281968099594119792e+01,-5.856363419189450497e+02
1.673700000000000543e+01,4.367801657720939801e+01,-3.286664701566940039e+01,-5.856654002548790459e+02
1.753400000000000603e+01,4.371521380687510572e+01,-3.297387249295299938e+01,-5.857316925020670624e+02
1.833100000000000662e+01,4.375395327360150333e+01,-3.309929549854989972e+01,-5.858105577602440235e+02
1.912800000000000722e+01,4.378373384531789725e+01,-3.320085410321830466e+01,-5.858773351291420113e+02
1.992500000000000782e+01,4.379405438995360100e+01,-3.323648637771610481e+01,-5.859073637084960637e+02
2.072200000000000841e+01,4.378895127848850422e+01,-3.321015079472599751e+01,-5.859107383926599368e+02
2.151900000000000901e+01,4.378008335209000279e+01,-3.316303013552949608e+01,-5.859138218994010003e+02
2.231600000000000961e+01,4.376838318396929850e+01,-3.310889893378270443e+01,-5.859163550635729507e+02
2.311300000000001020e+01,4.375478334733740127e+01,-3.306153172314149913e+01,-5.859180787200259601e+02
2.391000000000001080e+01,4.374021641540529259e+01,-3.303470303726199830e+01,-5.859187337036129293e+02
2.470700000000001140e+01,4.372474229728049977e+01,-3.302249854148499963e+01,-5.859187927797599968e+02
2.550400000000001199e+01,4.370839013446670407e+01,-3.301041392430560251e+01,-5.859188657590290177e+02
2.630100000000001259e+01,4.369204634876960114e+01,-3.299933875411149842e+01,-5.859188990439739655e+02
2.709800000000001319e+01,4.367659736199460241e+01,-3.299016259929000228e+01,-5.859188390371499509e+02
