# Time,X,Y,Z
0.000000000000000000e+00,3.443250518069460497e+01,-2.190005468101499986e+01,4.655350952148439774e+02
1.149999999999999911e+00,3.442228193481179943e+01,-2.189375008216940088e+01,4.655218684943120024e+02
2.299999999999999822e+00,3.441128610690279999e+01,-2.188787023269959775e+01,4.655117317019219740e+02
3.449999999999999734e+00,3.439980495350110345e+01,-2.188260886244979986e+01,4.655045119569640519e+02
4.599999999999999645e+00,3.438812573114069693e+01,-2.187815970126450082e+01,4.655000363787249853e+02
5.750000000000000000e+00,3.437653569635509854e+01,-2.187471647898789939e+01,4.654981320864939676e+02
6.900000000000000355e+00,3.436532210567820300e+01,-2.187247292546430089e+01,4.654986261995589985e+02
8.050000000000000711e+00,3.435477221564359951e+01,-2.187162277053809945e+01,4.655013458372080208e+02
9.200000000000001066e+00,3.434517328278509751e+01,-2.187235974405369632e+01,4.655061181187300008e+02
1.035000000000000142e+01,3.433681256363649936e+01,-2.187487757585530446e+01,4.655127701634129949e+02
1.150000000000000178e+01,3.432997731473139424e+01,-2.187936999578730024e+01,4.655211290905460260e+02
1.265000000000000213e+01,3.432495479260360582e+01,-2.188603073369399965e+01,4.655310220194159569e+02
1.380000000000000249e+01,3.432203225378680145e+01,-2.189505351941969735e+01,4.655422760693129476e+02
1.495000000000000284e+01,3.432149695481469820e+01,-2.190663208280879815e+01,4.655547183595230081e+02
1.610000000000000142e+01,3.432997803072160536e+01,-2.192802619453329882e+01,4.655722084917640018e+02
1.725000000000000000e+01,3.434214193053509945e+01,-2.195316695179329969e+01,4.655909995957710521e+02
1.839999999999999858e+01,3.435556007372369436e+01,-2.197922213311900208e+01,4.656091919262719898e+02
1.954999999999999716e+01,3.436941151344870349e+01,-2.200515072217070056e+01,4.656259079516179895e+02
2.069999999999999574e+01,3.438287530287110627e+01,-2.202991170260910181e+01,4.656402701401609647e+02
2.184999999999999432e+01,3.439513049515219478e+01,-2.205246405809469579e+01,4.656514009602519764e+02
2.299999999999999289e+01,3.440405084912949718e+01,-2.206978076400649869e+01,4.656557489949699971e+02
2.414999999999999147e+01,3.440515147599830215e+01,-2.207524610796640019e+01,4.656449311560579645e+02
2.529999999999999005e+01,3.440366041235080274e+01,-2.207702261568779889e+01,4.656304612073710132e+02
2.644999999999998863e+01,3.439965650063280123e+01,-2.207543830227509929e+01,4.656133048286139910e+02
2.759999999999998721e+01,3.439321858329029880e+01,-2.207082118283269878e+01,4.655944276994879942e+02
2.874999999999998579e+01,3.438442550276919718e+01,-2.206349927246510134e+01,4.655747954996970179e+02
2.989999999999998437e+01,3.437335610151539811e+01,-2.205380058627660134e+01,4.655553739089440342e+02
3.104999999999998295e+01,3.435837627360769631e+01,-2.204142386296939904e+01,4.655417240514460104e+02
3.219999999999998153e+01,3.434036846689990341e+01,-2.202699233373810372e+01,4.655326557193579902e+02
3.334999999999998010e+01,3.432095529211800056e+01,-2.201140113933320208e+01,4.655249930189309566e+02
3.449999999999997868e+01,3.430061210753349599e+01,-2.199512396069310327e+01,4.655186378695630083e+02
3.564999999999997726e+01,3.427981427141789794e+01,-2.197863447875589671e+01,4.655134921906520162e+02
3.679999999999997584e+01,3.425903714204250150e+01,-2.196240637445989563e+01,4.655094579015979548e+02
3.794999999999997442e+01,3.423875607768179918e+01,-2.194691332874460343e+01,4.655064369218229672e+02
3.909999999999997300e+01,3.422054414532409794e+01,-2.193505533898630233e+01,4.655026777085040521e+02
4.024999999999997158e+01,3.420362424235160148e+01,-2.192453771379479832e+01,4.654999687441089691e+02
4.139999999999997016e+01,3.418831697486609755e+01,-2.191549207821910272e+01,4.654984450489040455e+02
4.254999999999996874e+01,3.417494294896970075e+01,-2.190805005730810251e+01,4.654982416431590195e+02
4.369999999999996732e+01,3.416382277076419882e+01,-2.190234327611110388e+01,4.654994935471430040e+02
4.484999999999996589e+01,3.415527704635169925e+01,-2.189850335967690143e+01,4.655023357811250548e+02
4.599999999999996447e+01,3.414997080815349761e+01,-2.189887455224500101e+01,4.655099279980439633e+02
4.714999999999996305e+01,3.414834687807099556e+01,-2.190437360180769844e+01,4.655234784749140431e+02
4.829999999999996163e+01,3.415009256218880296e+01,-2.191106376909059961e+01,4.655375608106519962e+02
4.944999999999996021e+01,3.415540942525279888e+01,-2.191831194900710145e+01,4.655512646455729850e+02
5.059999999999995879e+01,3.416449903200920346e+01,-2.192548503647070035e+01,4.655636796199929677e+02
5.174999999999995737e+01,3.417756294720369681e+01,-2.193194992639480034e+01,4.655738953742269928e+02
5.289999999999995595e+01,3.419480273558249905e+01,-2.193707351369279834e+01,4.655810015485890290e+02
5.404999999999995453e+01,3.422052953529269814e+01,-2.193204384854730193e+01,4.655710171211189845e+02
5.519999999999995310e+01,3.425130259578470060e+01,-2.192347673671539710e+01,4.655546162613379693e+02
5.634999999999995168e+01,3.428556360392180125e+01,-2.191424156999660156e+01,4.655364859714409818e+02
5.749999999999995026e+01,3.432279600235160189e+01,-2.190513444497049633e+01,4.655179999077469688e+02
5.864999999999994884e+01,3.436248323372169722e+01,-2.189695145821630007e+01,4.655005317265780036e+02
5.979999999999994742e+01,3.440410874067960378e+01,-2.189048870631370036e+01,4.654854550842539993e+02
6.094999999999994600e+01,3.444822129531529953e+01,-2.188890901889599760e+01,4.654774522828109866e+02
6.209999999999994458e+01,3.449729470443419643e+01,-2.189965187746500064e+01,4.654871842987849959e+02
6.324999999999994316e+01,3.454587547028869920e+01,-2.191254548511199829e+01,4.655006918913080085e+02
6.439999999999994884e+01,3.459271266319710492e+01,-2.192675445882330010e+01,4.655170679406510317e+02
6.554999999999995453e+01,3.463655535347780301e+01,-2.194144341558499889e+01,4.655354053270850159e+02
6.669999999999996021e+01,3.467615261144919714e+01,-2.195577697238340065e+01,4.655547969308830147e+02
6.784999999999996589e+01,3.471025350742959859e+01,-2.196891974620470123e+01,4.655743356323169451e+02
6.899999999999997158e+01,3.472991391592410082e+01,-2.197637112486989963e+01,4.655909005025570195e+02
7.014999999999997726e+01,3.473749206083230234e+01,-2.197901521558499738e+01,4.656046229989279936e+02
7.129999999999998295e+01,3.473867038648970151e+01,-2.197931986656650238e+01,4.656165911630599794e+02
7.244999999999998863e+01,3.473397879558050505e+01,-2.197729812747860123e+01,4.656264103310439850e+02
7.359999999999999432e+01,3.472394719078869940e+01,-2.197296304798560129e+01,4.656336858389700524e+02
7.475000000000000000e+01,3.470910547479849839e+01,-2.196632767775169981e+01,4.656380230229279960e+02
7.590000000000000568e+01,3.468998355031389735e+01,-2.195740506645260481e+01,4.656390272192049906e+02
7.705000000000001137e+01,3.466234079735679785e+01,-2.194593278753239574e+01,4.656329587233070129e+02
7.820000000000001705e+01,3.463215017733740098e+01,-2.193223820279419911e+01,4.656232394869270479e+02
7.935000000000002274e+01,3.460061412902400235e+01,-2.191637319783219695e+01,4.656099464213739907e+02
8.050000000000002842e+01,3.456893509118449970e+01,-2.189838965824079864e+01,4.655931564379519614e+02
8.165000000000003411e+01,3.453831550258719574e+01,-2.187833946961429987e+01,4.655729464479679791e+02
8.280000000000003979e+01,3.450995780199999530e+01,-2.185627451754710293e+01,4.655493933627269598e+02
8.395000000000004547e+01,3.449051380032290126e+01,-2.182993755194900132e+01,4.655186253198599502e+02
8.510000000000005116e+01,3.448311958451839843e+01,-2.179856108771219780e+01,4.654793180530970176e+02
8.625000000000005684e+01,3.447895778005749889e+01,-2.176644284053080014e+01,4.654388091218990553e+02
8.740000000000006253e+01,3.447734740215760496e+01,-2.173443278436589665e+01,4.653985402210749953e+02
8.855000000000006821e+01,3.447760746603640314e+01,-2.170338089317809960e+01,4.653599530454319506e+02
8.970000000000007390e+01,3.447905698691120335e+01,-2.167413714092839783e+01,4.653244892897789668e+02
9.085000000000007958e+01,3.448101497999969922e+01,-2.164755150157780150e+01,4.652935906489240097e+02
9.200000000000008527e+01,3.447891193823119949e+01,-2.163378372234339864e+01,4.652801094118630090e+02
9.315000000000009095e+01,3.447551327447860103e+01,-2.162543252426920048e+01,4.652753740628579635e+02
9.430000000000009663e+01,3.447180321924960111e+01,-2.161936107722080180e+01,4.652759398398389976e+02
9.545000000000010232e+01,3.446778028257139681e+01,-2.161479253085009944e+01,4.652812545080380460e+02
9.660000000000010800e+01,3.446344297447109994e+01,-2.161095003480899734e+01,4.652907658326860201e+02
9.775000000000011369e+01,3.445878980497599997e+01,-2.160705673874969790e+01,4.653039215790170147e+02
9.890000000000011937e+01,3.445345164435249785e+01,-2.159836028325079837e+01,4.653203028227239884e+02
1.000500000000001251e+02,3.444639504317269996e+01,-2.157292462238139663e+01,4.653397315268250054e+02
1.012000000000001307e+02,3.443932222446169789e+01,-2.154839617495369808e+01,4.653610376735759928e+02
1.023500000000001364e+02,3.443248512639839731e+01,-2.152673856104000194e+01,4.653835771326030226e+02
1.035000000000001421e+02,3.442613568716149786e+01,-2.150991540071250085e+01,4.654067057735299500e+02
1.046500000000001478e+02,3.442052584492999756e+01,-2.149989031404330220e+01,4.654297794659829606e+02
1.058000000000001535e+02,3.441590753788260315e+01,-2.149862692110439610e+01,4.654521540795860233e+02
1.069500000000001592e+02,3.441253270419819899e+01,-2.150808884196810311e+01,4.654731854839649827e+02
1.081000000000001648e+02,3.441065328205560547e+01,-2.153023969670649862e+01,4.654922295487449446e+02
1.092500000000001705e+02,3.441052120963369987e+01,-2.156704310539189962e+01,4.655086421435520379e+02
1.104000000000001762e+02,3.441238842511119600e+01,-2.162046268809610439e+01,4.655217791380090375e+02
1.115500000000001819e+02,3.441650686666699954e+01,-2.169246206489150097e+01,4.655309964017430389e+02
1.127000000000001876e+02,3.442312847248010144e+01,-2.178500485585020030e+01,4.655356498043779538e+02
1.138500000000001933e+02,3.443250518072910182e+01,-2.190005468104439856e+01,4.655350952155400250e+02
