# Time,X,Y,Z
0.000000000000000000e+00,2.615807300000000168e+01,-2.002887700000000049e+00,-2.624238300000000095e+02
7.389999999999999902e-01,2.615187799999999996e+01,-1.998479200000000233e+00,-2.624218399999999747e+02
1.477999999999999980e+00,2.614458699999999780e+01,-1.993561300000000092e+00,-2.624191999999999894e+02
2.217000000000000082e+00,2.613619599999999821e+01,-1.988133799999999951e+00,-2.624157999999999902e+02
2.955999999999999961e+00,2.612670699999999968e+01,-1.982196700000000034e+00,-2.624116999999999962e+02
3.694999999999999840e+00,2.611612099999999970e+01,-1.975749999999999895e+00,-2.624069499999999948e+02
4.434000000000000163e+00,2.610443900000000284e+01,-1.968793899999999875e+00,-2.624014599999999859e+02
5.173000000000000043e+00,2.609150499999999795e+01,-1.961236399999999769e+00,-2.623952299999999696e+02
5.911999999999999922e+00,2.607571799999999840e+01,-1.952116999999999880e+00,-2.623877600000000143e+02
6.650999999999999801e+00,2.605767000000000166e+01,-1.941792699999999927e+00,-2.623792399999999816e+02
7.389999999999999680e+00,2.603867100000000079e+01,-1.931045899999999982e+00,-2.623700600000000236e+02
8.128999999999999559e+00,2.602002699999999891e+01,-1.920658499999999824e+00,-2.623606299999999578e+02
8.868000000000000327e+00,2.600303800000000010e+01,-1.911412600000000017e+00,-2.623513200000000438e+02
9.607000000000001094e+00,2.598901599999999945e+01,-1.904090499999999908e+00,-2.623425599999999918e+02
1.034600000000000186e+01,2.597880400000000023e+01,-1.898965499999999862e+00,-2.623345600000000104e+02
1.108500000000000263e+01,2.597122799999999998e+01,-1.894736200000000093e+00,-2.623269700000000171e+02
1.182400000000000340e+01,2.596537400000000062e+01,-1.891146800000000017e+00,-2.623195999999999799e+02
1.256300000000000416e+01,2.596041299999999907e+01,-1.888051600000000052e+00,-2.623123199999999997e+02
1.330200000000000493e+01,2.595550499999999872e+01,-1.885304699999999833e+00,-2.623050499999999943e+02
1.404100000000000570e+01,2.594982000000000255e+01,-1.882760299999999942e+00,-2.622976400000000012e+02
1.478000000000000647e+01,2.594251799999999974e+01,-1.880272499999999791e+00,-2.622899799999999573e+02
1.551900000000000723e+01,2.593270899999999912e+01,-1.877851799999999960e+00,-2.622802399999999921e+02
1.625800000000000622e+01,2.592072500000000090e+01,-1.875624699999999923e+00,-2.622676700000000096e+02
1.699700000000000699e+01,2.590757600000000238e+01,-1.873619900000000005e+00,-2.622536299999999869e+02
1.773600000000000776e+01,2.589427000000000234e+01,-1.871866299999999983e+00,-2.622395599999999831e+02
1.847500000000000853e+01,2.588181900000000013e+01,-1.870392599999999961e+00,-2.622269600000000196e+02
1.921400000000000929e+01,2.587122699999999753e+01,-1.869227200000000089e+00,-2.622171600000000353e+02
1.995300000000001006e+01,2.586358599999999797e+01,-1.868433499999999858e+00,-2.622115799999999695e+02
2.069200000000001083e+01,2.586039699999999897e+01,-1.868544100000000263e+00,-2.622097999999999729e+02
2.143100000000001160e+01,2.586139000000000010e+01,-1.869904600000000139e+00,-2.622107200000000375e+02
2.217000000000001236e+01,2.586585200000000029e+01,-1.872738000000000014e+00,-2.622132299999999532e+02
2.290900000000001313e+01,2.587308099999999911e+01,-1.877266899999999739e+00,-2.622162200000000212e+02
2.364800000000001390e+01,2.588236600000000109e+01,-1.883714099999999947e+00,-2.622187000000000126e+02
2.438700000000001467e+01,2.589300000000000068e+01,-1.892302200000000045e+00,-2.622194999999999823e+02
2.512600000000001543e+01,2.590586899999999915e+01,-1.902874399999999966e+00,-2.622180200000000241e+02
2.586500000000001620e+01,2.592457399999999978e+01,-1.914217100000000116e+00,-2.622151200000000131e+02
2.660400000000001697e+01,2.594693999999999789e+01,-1.926030200000000026e+00,-2.622115200000000073e+02
2.734300000000001774e+01,2.597035400000000038e+01,-1.938100099999999992e+00,-2.622078599999999824e+02
2.808200000000001850e+01,2.599221199999999854e+01,-1.950213300000000149e+00,-2.622047699999999963e+02
2.882100000000001927e+01,2.600990099999999927e+01,-1.962156399999999801e+00,-2.622029400000000123e+02
2.956000000000002004e+01,2.602081099999999836e+01,-1.973715899999999968e+00,-2.622029999999999745e+02
3.029900000000002080e+01,2.602512999999999721e+01,-1.984989400000000126e+00,-2.622047400000000152e+02
3.103800000000002157e+01,2.602577799999999897e+01,-1.996165199999999862e+00,-2.622074299999999880e+02
3.177700000000002234e+01,2.602425799999999967e+01,-2.007165999999999784e+00,-2.622109700000000316e+02
3.251600000000001955e+01,2.602207000000000292e+01,-2.017913800000000091e+00,-2.622152700000000323e+02
3.325500000000001677e+01,2.602071600000000018e+01,-2.028331999999999802e+00,-2.622201999999999771e+02
3.399400000000001398e+01,2.602169400000000010e+01,-2.038342499999999724e+00,-2.622257000000000176e+02
3.473300000000001120e+01,2.602641900000000064e+01,-2.047481300000000282e+00,-2.622316600000000335e+02
3.547200000000000841e+01,2.603442799999999835e+01,-2.051267100000000010e+00,-2.622379999999999995e+02
3.621100000000000563e+01,2.604425600000000074e+01,-2.050021000000000093e+00,-2.622446299999999724e+02
3.695000000000000284e+01,2.605457900000000038e+01,-2.045765999999999973e+00,-2.622514299999999707e+02
3.768900000000000006e+01,2.606407000000000096e+01,-2.040525399999999934e+00,-2.622581999999999880e+02
3.842799999999999727e+01,2.607140700000000066e+01,-2.036322600000000094e+00,-2.622648599999999988e+02
3.916699999999999449e+01,2.607526400000000066e+01,-2.035180800000000012e+00,-2.622712700000000154e+02
3.990599999999999170e+01,2.607553900000000269e+01,-2.038828399999999874e+00,-2.622772499999999809e+02
4.064499999999998892e+01,2.607549699999999859e+01,-2.046619999999999884e+00,-2.622828700000000026e+02
4.138399999999998613e+01,2.607543199999999928e+01,-2.056874499999999717e+00,-2.622881199999999922e+02
4.212299999999998334e+01,2.607535199999999875e+01,-2.067917299999999958e+00,-2.622930000000000064e+02
4.286199999999998056e+01,2.607526999999999973e+01,-2.078072999999999837e+00,-2.622975200000000200e+02
4.360099999999997777e+01,2.607519299999999873e+01,-2.085666199999999915e+00,-2.623016399999999635e+02
4.433999999999997499e+01,2.607513799999999904e+01,-2.089021699999999981e+00,-2.623054200000000264e+02
4.507899999999997220e+01,2.607509800000000055e+01,-2.086736999999999842e+00,-2.623072200000000294e+02
4.581799999999996942e+01,2.607506599999999963e+01,-2.079849000000000281e+00,-2.623061200000000213e+02
4.655699999999996663e+01,2.607504300000000086e+01,-2.070341999999999683e+00,-2.623032200000000103e+02
4.729599999999996385e+01,2.607503499999999974e+01,-2.060200699999999774e+00,-2.622996499999999855e+02
4.803499999999996106e+01,2.607504500000000291e+01,-2.051409200000000155e+00,-2.622965399999999931e+02
4.877399999999995828e+01,2.607507499999999823e+01,-2.045951800000000098e+00,-2.622949499999999716e+02
4.951299999999995549e+01,2.607580600000000004e+01,-2.045529000000000153e+00,-2.622961000000000240e+02
5.025199999999995271e+01,2.608500000000000085e+01,-2.047673200000000193e+00,-2.623011000000000195e+02
5.099099999999994992e+01,2.610216499999999940e+01,-2.050869199999999726e+00,-2.623087499999999750e+02
