# Time,X,Y,Z
0.000000000000000000e+00,2.683755499999999827e+01,-8.532124000000001374e+00,-2.622832000000000221e+02
7.389999999999999902e-01,2.683194699999999600e+01,-8.534167000000000058e+00,-2.622847600000000057e+02
1.477999999999999980e+00,2.682725999999999900e+01,-8.536617999999998929e+00,-2.622859799999999950e+02
2.217000000000000082e+00,2.682348599999999905e+01,-8.539477999999999014e+00,-2.622869299999999839e+02
2.955999999999999961e+00,2.682063300000000083e+01,-8.542746000000001061e+00,-2.622875399999999786e+02
3.694999999999999840e+00,2.681869699999999668e+01,-8.546421999999999741e+00,-2.622878699999999981e+02
4.434000000000000163e+00,2.681767700000000332e+01,-8.550506000000000384e+00,-2.622878699999999981e+02
5.173000000000000043e+00,2.681755399999999767e+01,-8.555018999999999707e+00,-2.622875999999999976e+02
5.911999999999999922e+00,2.681810000000000116e+01,-8.560182000000001068e+00,-2.622870500000000220e+02
6.650999999999999801e+00,2.681940000000000168e+01,-8.565911999999999082e+00,-2.622862000000000080e+02
7.389999999999999680e+00,2.682163800000000009e+01,-8.572030999999999068e+00,-2.622850599999999872e+02
8.128999999999999559e+00,2.682499899999999826e+01,-8.578358999999998957e+00,-2.622835999999999785e+02
8.868000000000000327e+00,2.682966799999999807e+01,-8.584714999999999208e+00,-2.622817400000000134e+02
9.607000000000001094e+00,2.683582899999999682e+01,-8.590920999999999808e+00,-2.622794999999999845e+02
1.034600000000000186e+01,2.684334199999999981e+01,-8.596916000000000224e+00,-2.622767299999999864e+02
1.108500000000000263e+01,2.685123600000000010e+01,-8.602971999999999397e+00,-2.622732200000000375e+02
1.182400000000000340e+01,2.685939000000000121e+01,-8.609083000000000041e+00,-2.622692000000000121e+02
1.256300000000000416e+01,2.686776400000000109e+01,-8.615213999999999928e+00,-2.622648599999999988e+02
1.330200000000000493e+01,2.687631599999999921e+01,-8.621332999999999913e+00,-2.622604699999999980e+02
1.404100000000000570e+01,2.688500800000000268e+01,-8.627403999999998518e+00,-2.622562299999999595e+02
1.478000000000000647e+01,2.689379500000000078e+01,-8.633394000000000901e+00,-2.622524399999999787e+02
1.551900000000000723e+01,2.690322899999999962e+01,-8.637793999999999528e+00,-2.622491999999999734e+02
1.625800000000000622e+01,2.691351900000000086e+01,-8.639089000000000240e+00,-2.622465200000000323e+02
1.699700000000000699e+01,2.692411599999999794e+01,-8.637233000000000160e+00,-2.622443999999999846e+02
1.773600000000000776e+01,2.693446500000000299e+01,-8.632182999999999495e+00,-2.622427700000000073e+02
1.847500000000000853e+01,2.694401599999999775e+01,-8.623894999999999200e+00,-2.622416699999999992e+02
1.921400000000000929e+01,2.695221300000000042e+01,-8.612324000000000979e+00,-2.622410600000000045e+02
1.995300000000001006e+01,2.695854600000000190e+01,-8.597568499999999503e+00,-2.622413999999999987e+02
2.069200000000001083e+01,2.696321899999999872e+01,-8.581514999999999560e+00,-2.622475600000000213e+02
2.143100000000001160e+01,2.696667100000000161e+01,-8.564939999999999998e+00,-2.622588799999999765e+02
2.217000000000001236e+01,2.696926099999999948e+01,-8.548066000000000386e+00,-2.622726700000000051e+02
2.290900000000001313e+01,2.697134600000000049e+01,-8.531119000000000341e+00,-2.622863200000000461e+02
2.364800000000001390e+01,2.697327999999999903e+01,-8.514322999999999197e+00,-2.622971499999999878e+02
2.438700000000001467e+01,2.697542199999999823e+01,-8.497902999999999096e+00,-2.623025499999999965e+02
2.512600000000001543e+01,2.697795300000000296e+01,-8.481729500000000144e+00,-2.623018200000000206e+02
2.586500000000001620e+01,2.698046300000000031e+01,-8.465013000000000787e+00,-2.622999599999999987e+02
2.660400000000001697e+01,2.698284000000000304e+01,-8.448159000000000418e+00,-2.622975200000000200e+02
2.734300000000001774e+01,2.698500999999999905e+01,-8.431668999999999414e+00,-2.622946000000000026e+02
2.808200000000001850e+01,2.698689500000000052e+01,-8.416043000000000163e+00,-2.622912999999999784e+02
2.882100000000001927e+01,2.698842199999999636e+01,-8.401783000000000001e+00,-2.622876999999999725e+02
2.956000000000002004e+01,2.698951500000000081e+01,-8.389386999999999261e+00,-2.622839000000000169e+02
