# Time,X,Y,Z
0.000000000000000000e+00,4.402663799999999839e+01,-2.528937999999999775e+01,-2.402393600000000049e+02
8.860000000000000098e-01,4.403383000000000180e+01,-2.529985800000000040e+01,-2.402408000000000072e+02
1.772000000000000020e+00,4.404112599999999844e+01,-2.530902700000000038e+01,-2.402412099999999953e+02
2.657999999999999918e+00,4.404854000000000269e+01,-2.531688499999999920e+01,-2.402405700000000195e+02
3.544000000000000039e+00,4.405605700000000269e+01,-2.532343299999999786e+01,-2.402389000000000010e+02
4.429999999999999716e+00,4.406369000000000113e+01,-2.532866900000000143e+01,-2.402361999999999966e+02
5.315999999999999837e+00,4.407142999999999944e+01,-2.533259400000000028e+01,-2.402324700000000064e+02
6.201999999999999957e+00,4.407930000000000348e+01,-2.533504699999999943e+01,-2.402275700000000143e+02
7.088000000000000078e+00,4.408751300000000128e+01,-2.533432999999999780e+01,-2.402201499999999896e+02
7.974000000000000199e+00,4.409598499999999888e+01,-2.533107599999999948e+01,-2.402107100000000059e+02
8.859999999999999432e+00,4.410455000000000325e+01,-2.532666199999999890e+01,-2.402003499999999860e+02
9.745999999999998664e+00,4.411303300000000149e+01,-2.532247399999999971e+01,-2.401901900000000012e+02
1.063199999999999790e+01,4.412127000000000265e+01,-2.531989000000000090e+01,-2.401813399999999774e+02
1.151799999999999713e+01,4.412909000000000503e+01,-2.532028999999999996e+01,-2.401748799999999733e+02
1.240399999999999636e+01,4.413582199999999744e+01,-2.532394999999999996e+01,-2.401711700000000178e+02
1.328999999999999559e+01,4.414002199999999476e+01,-2.532801600000000164e+01,-2.401682899999999847e+02
1.417599999999999483e+01,4.414212400000000258e+01,-2.533222600000000213e+01,-2.401660600000000159e+02
1.506199999999999406e+01,4.414269600000000082e+01,-2.533656300000000172e+01,-2.401644399999999848e+02
1.594799999999999329e+01,4.414230700000000240e+01,-2.534101899999999929e+01,-2.401634200000000305e+02
1.683399999999999253e+01,4.414152999999999594e+01,-2.534557999999999822e+01,-2.401629599999999982e+02
1.771999999999999176e+01,4.414092600000000033e+01,-2.535023299999999935e+01,-2.401630600000000015e+02
1.860599999999999099e+01,4.413922000000000168e+01,-2.535506400000000227e+01,-2.401637899999999775e+02
1.949199999999999022e+01,4.413537999999999784e+01,-2.536010399999999976e+01,-2.401651299999999765e+02
2.037799999999998946e+01,4.413036699999999968e+01,-2.536525999999999925e+01,-2.401668700000000172e+02
2.126399999999998869e+01,4.412514500000000339e+01,-2.537043599999999799e+01,-2.401687600000000202e+02
2.214999999999998792e+01,4.412067800000000517e+01,-2.537553799999999882e+01,-2.401706100000000106e+02
2.303599999999998715e+01,4.411792400000000214e+01,-2.538047399999999953e+01,-2.401721799999999689e+02
2.392199999999998639e+01,4.411804199999999554e+01,-2.538496800000000064e+01,-2.401731299999999862e+02
2.480799999999998562e+01,4.412361500000000092e+01,-2.538687499999999986e+01,-2.401718999999999937e+02
2.569399999999998485e+01,4.413360600000000034e+01,-2.538637200000000149e+01,-2.401688200000000109e+02
2.657999999999998408e+01,4.414599199999999968e+01,-2.538443799999999939e+01,-2.401647799999999791e+02
2.746599999999998332e+01,4.415873700000000213e+01,-2.538205100000000058e+01,-2.401606899999999882e+02
2.835199999999998255e+01,4.416981499999999983e+01,-2.538019599999999798e+01,-2.401574399999999798e+02
2.923799999999998178e+01,4.417719699999999960e+01,-2.537984800000000263e+01,-2.401559399999999869e+02
3.012399999999998101e+01,4.417952999999999975e+01,-2.538296300000000016e+01,-2.401599399999999775e+02
3.100999999999998025e+01,4.417849999999999966e+01,-2.539197700000000069e+01,-2.401767100000000141e+02
3.189599999999997948e+01,4.417542299999999500e+01,-2.540454000000000079e+01,-2.402018299999999726e+02
3.278199999999998226e+01,4.417150999999999783e+01,-2.541798400000000058e+01,-2.402300100000000214e+02
3.366799999999998505e+01,4.416797299999999638e+01,-2.542965099999999978e+01,-2.402559799999999939e+02
