# Time,X,Y,Z
0.000000000000000000e+00,4.071178400000000153e+01,-1.891990300000000147e+01,-2.455824000000000069e+02
8.860000000000000098e-01,4.070820200000000000e+01,-1.892003599999999963e+01,-2.455745499999999879e+02
1.772000000000000020e+00,4.070544399999999996e+01,-1.892039500000000274e+01,-2.455671399999999949e+02
2.657999999999999918e+00,4.070350599999999730e+01,-1.892098200000000219e+01,-2.455601499999999930e+02
3.544000000000000039e+00,4.070239000000000118e+01,-1.892179900000000004e+01,-2.455535899999999856e+02
4.429999999999999716e+00,4.070209000000000543e+01,-1.892284200000000283e+01,-2.455474499999999978e+02
5.315999999999999837e+00,4.070261400000000407e+01,-1.892411200000000093e+01,-2.455417500000000075e+02
6.201999999999999957e+00,4.070400200000000268e+01,-1.892562699999999865e+01,-2.455364399999999989e+02
7.088000000000000078e+00,4.070673000000000030e+01,-1.892755299999999963e+01,-2.455310499999999934e+02
7.974000000000000199e+00,4.071061699999999917e+01,-1.892982699999999952e+01,-2.455257700000000227e+02
8.859999999999999432e+00,4.071528599999999898e+01,-1.893231199999999959e+01,-2.455209700000000055e+02
9.745999999999998664e+00,4.072035000000000338e+01,-1.893487500000000168e+01,-2.455169799999999896e+02
1.063199999999999790e+01,4.072541400000000067e+01,-1.893737999999999744e+01,-2.455142200000000230e+02
1.151799999999999713e+01,4.073010599999999926e+01,-1.893968999999999880e+01,-2.455130200000000116e+02
1.240399999999999636e+01,4.073422999999999661e+01,-1.894153999999999982e+01,-2.455134400000000028e+02
1.328999999999999559e+01,4.073823499999999598e+01,-1.894263499999999922e+01,-2.455147000000000048e+02
1.417599999999999483e+01,4.074218799999999874e+01,-1.894336000000000197e+01,-2.455165100000000109e+02
1.506199999999999406e+01,4.074611699999999814e+01,-1.894414100000000190e+01,-2.455187399999999798e+02
1.594799999999999329e+01,4.075005300000000119e+01,-1.894540999999999897e+01,-2.455211600000000089e+02
1.683399999999999253e+01,4.075403000000000020e+01,-1.894759200000000021e+01,-2.455236400000000003e+02
1.771999999999999176e+01,4.075807000000000357e+01,-1.895111800000000102e+01,-2.455259899999999789e+02
1.860599999999999099e+01,4.076344999999999885e+01,-1.895546000000000220e+01,-2.455285000000000082e+02
1.949199999999999022e+01,4.077106500000000011e+01,-1.895980000000000132e+01,-2.455315099999999973e+02
2.037799999999998946e+01,4.078040000000000020e+01,-1.896414200000000250e+01,-2.455348200000000247e+02
2.126399999999998869e+01,4.079092399999999685e+01,-1.896848500000000115e+01,-2.455382200000000239e+02
2.214999999999998792e+01,4.080212000000000216e+01,-1.897282799999999980e+01,-2.455415200000000198e+02
2.303599999999998715e+01,4.081347000000000236e+01,-1.897716899999999995e+01,-2.455445100000000025e+02
2.392199999999998639e+01,4.082500999999999891e+01,-1.898151000000000010e+01,-2.455462799999999675e+02
2.480799999999998562e+01,4.084284600000000154e+01,-1.898585299999999876e+01,-2.455386200000000088e+02
2.569399999999998485e+01,4.086647399999999664e+01,-1.899019399999999891e+01,-2.455222600000000170e+02
2.657999999999998408e+01,4.089294999999999902e+01,-1.899453700000000111e+01,-2.455011299999999892e+02
2.746599999999998332e+01,4.091932299999999856e+01,-1.899887800000000126e+01,-2.454791299999999694e+02
2.835199999999998255e+01,4.094265000000000043e+01,-1.900322000000000244e+01,-2.454601600000000019e+02
2.923799999999998178e+01,4.095999000000000478e+01,-1.900756000000000157e+01,-2.454481399999999951e+02
3.012399999999998101e+01,4.096599000000000501e+01,-1.901124599999999987e+01,-2.454474500000000035e+02
3.100999999999998025e+01,4.095424699999999518e+01,-1.901243799999999951e+01,-2.454594899999999882e+02
3.189599999999997948e+01,4.093050399999999911e+01,-1.901157600000000159e+01,-2.454796000000000049e+02
3.278199999999998226e+01,4.090126800000000173e+01,-1.900928000000000040e+01,-2.455029000000000110e+02
3.366799999999998505e+01,4.087305999999999528e+01,-1.900616300000000081e+01,-2.455244799999999827e+02
3.455399999999998784e+01,4.085238300000000322e+01,-1.900284599999999813e+01,-2.455394399999999848e+02
3.543999999999999062e+01,4.084575999999999851e+01,-1.899994500000000031e+01,-2.455429000000000030e+02
3.632599999999999341e+01,4.085240000000000293e+01,-1.899751900000000049e+01,-2.455349700000000155e+02
3.721199999999999619e+01,4.086533000000000015e+01,-1.899514999999999887e+01,-2.455209000000000117e+02
3.809799999999999898e+01,4.088177499999999753e+01,-1.899273699999999820e+01,-2.455033999999999992e+02
3.898400000000000176e+01,4.089895200000000131e+01,-1.899018299999999826e+01,-2.454852100000000235e+02
3.987000000000000455e+01,4.091409699999999816e+01,-1.898738900000000029e+01,-2.454690200000000289e+02
4.075600000000000733e+01,4.092442299999999733e+01,-1.898425699999999949e+01,-2.454575499999999977e+02
4.164200000000001012e+01,4.092759000000000214e+01,-1.898071500000000000e+01,-2.454530200000000093e+02
4.252800000000001290e+01,4.092719000000000307e+01,-1.897701800000000105e+01,-2.454507600000000025e+02
4.341400000000001569e+01,4.092460300000000473e+01,-1.897327200000000147e+01,-2.454493700000000160e+02
4.430000000000001847e+01,4.091967999999999961e+01,-1.896948400000000134e+01,-2.454493399999999781e+02
4.518600000000002126e+01,4.091227700000000311e+01,-1.896566400000000030e+01,-2.454511299999999778e+02
4.607200000000002404e+01,4.090223999999999904e+01,-1.896181999999999945e+01,-2.454551999999999907e+02
4.695800000000002683e+01,4.088942300000000074e+01,-1.895796199999999843e+01,-2.454620700000000113e+02
4.784400000000002962e+01,4.087193299999999851e+01,-1.895409200000000283e+01,-2.454717399999999827e+02
4.873000000000003240e+01,4.084565999999999519e+01,-1.895018200000000164e+01,-2.454828799999999944e+02
4.961600000000003519e+01,4.081367999999999796e+01,-1.894623400000000046e+01,-2.454951499999999953e+02
5.050200000000003797e+01,4.077956999999999965e+01,-1.894225000000000136e+01,-2.455083299999999724e+02
5.138800000000004076e+01,4.074691400000000385e+01,-1.893822699999999770e+01,-2.455221600000000137e+02
5.227400000000004354e+01,4.071928400000000181e+01,-1.893416799999999967e+01,-2.455363999999999862e+02
5.316000000000004633e+01,4.070026800000000122e+01,-1.893007499999999865e+01,-2.455508299999999906e+02
5.404600000000004911e+01,4.068875999999999493e+01,-1.892512500000000131e+01,-2.455676600000000178e+02
5.493200000000005190e+01,4.068113300000000265e+01,-1.891890700000000081e+01,-2.455881200000000320e+02
5.581800000000005468e+01,4.067717400000000083e+01,-1.891203299999999743e+01,-2.456104299999999796e+02
5.670400000000005747e+01,4.067667000000000144e+01,-1.890511499999999856e+01,-2.456328000000000031e+02
5.759000000000006025e+01,4.067940499999999560e+01,-1.889876600000000195e+01,-2.456534599999999955e+02
5.847600000000006304e+01,4.068516999999999939e+01,-1.889359500000000125e+01,-2.456706399999999917e+02
5.936200000000006582e+01,4.069413000000000125e+01,-1.889009700000000080e+01,-2.456818399999999940e+02
6.024800000000006861e+01,4.071015500000000031e+01,-1.888710000000000022e+01,-2.456778700000000129e+02
6.113400000000007140e+01,4.073156399999999877e+01,-1.888414599999999766e+01,-2.456609799999999950e+02
6.202000000000007418e+01,4.075488699999999653e+01,-1.888122000000000256e+01,-2.456368399999999781e+02
6.290600000000007697e+01,4.077664999999999651e+01,-1.887830399999999997e+01,-2.456111999999999966e+02
6.379200000000007975e+01,4.079337999999999909e+01,-1.887538100000000085e+01,-2.455897700000000157e+02
6.467800000000008254e+01,4.080161300000000324e+01,-1.887243699999999791e+01,-2.455782600000000002e+02
6.556400000000007822e+01,4.080087699999999984e+01,-1.886946000000000012e+01,-2.455790899999999795e+02
6.645000000000007390e+01,4.079910300000000234e+01,-1.886646799999999757e+01,-2.455839200000000062e+02
6.733600000000006958e+01,4.079699699999999751e+01,-1.886346599999999896e+01,-2.455907100000000014e+02
6.822200000000006526e+01,4.079457000000000022e+01,-1.886045499999999819e+01,-2.455981299999999692e+02
6.910800000000006094e+01,4.079184300000000007e+01,-1.885743300000000033e+01,-2.456048000000000116e+02
6.999400000000005662e+01,4.078883400000000137e+01,-1.885440400000000238e+01,-2.456093799999999874e+02
7.088000000000005230e+01,4.078555699999999717e+01,-1.885136599999999873e+01,-2.456104899999999986e+02
7.176600000000004798e+01,4.078206300000000084e+01,-1.884708200000000033e+01,-2.456089799999999741e+02
7.265200000000004366e+01,4.077844000000000335e+01,-1.884079599999999743e+01,-2.456066299999999956e+02
7.353800000000003934e+01,4.077475700000000103e+01,-1.883323100000000139e+01,-2.456034500000000094e+02
7.442400000000003502e+01,4.077109000000000094e+01,-1.882511300000000176e+01,-2.455995299999999872e+02
7.531000000000003070e+01,4.076752000000000464e+01,-1.881716700000000131e+01,-2.455948999999999955e+02
7.619600000000002638e+01,4.076412200000000041e+01,-1.881012000000000128e+01,-2.455895799999999838e+02
7.708200000000002206e+01,4.076106300000000005e+01,-1.880466300000000146e+01,-2.455832799999999736e+02
7.796800000000001774e+01,4.075950600000000179e+01,-1.880096599999999896e+01,-2.455718200000000309e+02
7.885400000000001342e+01,4.075922399999999612e+01,-1.879907399999999740e+01,-2.455560899999999833e+02
7.974000000000000909e+01,4.075953300000000468e+01,-1.879910999999999888e+01,-2.455386499999999899e+02
8.062600000000000477e+01,4.075974300000000028e+01,-1.880119299999999782e+01,-2.455220799999999883e+02
8.151200000000000045e+01,4.075917000000000456e+01,-1.880543899999999979e+01,-2.455089399999999955e+02
8.239799999999999613e+01,4.075712599999999952e+01,-1.881197200000000080e+01,-2.455018299999999840e+02
8.328399999999999181e+01,4.075330000000000297e+01,-1.882084299999999999e+01,-2.455019000000000062e+02
8.416999999999998749e+01,4.074853000000000236e+01,-1.883190499999999901e+01,-2.455059999999999718e+02
8.505599999999998317e+01,4.074289999999999878e+01,-1.884514800000000179e+01,-2.455138200000000097e+02
8.594199999999997885e+01,4.073641200000000140e+01,-1.886056900000000169e+01,-2.455253799999999842e+02
8.682799999999997453e+01,4.072905999999999693e+01,-1.887816799999999873e+01,-2.455406600000000026e+02
8.771399999999997021e+01,4.072084999999999866e+01,-1.889794699999999850e+01,-2.455596600000000080e+02
