# Time,X,Y,Z
0.000000000000000000e+00,4.476326999999999856e+01,-2.347579999999999956e+01,-2.435001799999999719e+02
8.860000000000000098e-01,4.476648000000000138e+01,-2.349115799999999865e+01,-2.434925399999999911e+02
1.772000000000000020e+00,4.476977000000000118e+01,-2.350489200000000167e+01,-2.434849399999999946e+02
2.657999999999999918e+00,4.477314799999999906e+01,-2.351700400000000002e+01,-2.434773899999999855e+02
3.544000000000000039e+00,4.477660800000000307e+01,-2.352749299999999977e+01,-2.434698600000000113e+02
4.429999999999999716e+00,4.478015500000000060e+01,-2.353635799999999989e+01,-2.434623899999999992e+02
5.315999999999999837e+00,4.478378699999999668e+01,-2.354360000000000142e+01,-2.434549599999999998e+02
6.201999999999999957e+00,4.478751799999999861e+01,-2.354909699999999972e+01,-2.434475299999999720e+02
7.088000000000000078e+00,4.479150399999999621e+01,-2.355159400000000147e+01,-2.434396700000000067e+02
7.974000000000000199e+00,4.479568499999999887e+01,-2.355155799999999999e+01,-2.434315299999999809e+02
8.859999999999999432e+00,4.479993999999999943e+01,-2.355001299999999986e+01,-2.434234999999999900e+02
9.745999999999998664e+00,4.480414000000000385e+01,-2.354797999999999902e+01,-2.434158600000000092e+02
1.063199999999999790e+01,4.480815499999999929e+01,-2.354648399999999953e+01,-2.434090100000000234e+02
1.151799999999999713e+01,4.481186300000000244e+01,-2.354654999999999987e+01,-2.434032700000000204e+02
1.240399999999999636e+01,4.481449500000000086e+01,-2.354864299999999844e+01,-2.433997200000000305e+02
1.328999999999999559e+01,4.481424299999999761e+01,-2.355146799999999985e+01,-2.434003899999999874e+02
1.417599999999999483e+01,4.481166500000000497e+01,-2.355485300000000137e+01,-2.434043000000000063e+02
1.506199999999999406e+01,4.480749999999999744e+01,-2.355874999999999986e+01,-2.434102299999999843e+02
1.594799999999999329e+01,4.480248999999999882e+01,-2.356310799999999972e+01,-2.434170000000000016e+02
1.683399999999999253e+01,4.479737000000000080e+01,-2.356787900000000135e+01,-2.434233999999999867e+02
1.771999999999999176e+01,4.479287999999999670e+01,-2.357300799999999796e+01,-2.434282200000000103e+02
1.860599999999999099e+01,4.478712500000000318e+01,-2.358126599999999939e+01,-2.434318100000000129e+02
1.949199999999999022e+01,4.477850999999999715e+01,-2.359415199999999757e+01,-2.434352700000000311e+02
2.037799999999998946e+01,4.476824000000000581e+01,-2.360970999999999975e+01,-2.434385700000000270e+02
2.126399999999998869e+01,4.475751999999999953e+01,-2.362598999999999805e+01,-2.434417100000000005e+02
2.214999999999998792e+01,4.474754000000000076e+01,-2.364103099999999813e+01,-2.434446399999999926e+02
2.303599999999998715e+01,4.473950599999999866e+01,-2.365288400000000024e+01,-2.434473399999999970e+02
2.392199999999998639e+01,4.473576400000000319e+01,-2.365935100000000091e+01,-2.434491299999999683e+02
2.480799999999998562e+01,4.474991200000000191e+01,-2.365687799999999896e+01,-2.434423799999999858e+02
2.569399999999998485e+01,4.477994499999999789e+01,-2.364734599999999887e+01,-2.434276399999999967e+02
2.657999999999998408e+01,4.481865300000000474e+01,-2.363399500000000231e+01,-2.434083600000000160e+02
2.746599999999998332e+01,4.485882000000000147e+01,-2.362005599999999816e+01,-2.433880000000000052e+02
2.835199999999998255e+01,4.489324000000000581e+01,-2.360876700000000028e+01,-2.433700100000000077e+02
2.923799999999998178e+01,4.491469599999999929e+01,-2.360336099999999959e+01,-2.433578299999999786e+02
3.012399999999998101e+01,4.491785000000000139e+01,-2.360645099999999985e+01,-2.433544200000000046e+02
3.100999999999998025e+01,4.490721500000000077e+01,-2.361639200000000116e+01,-2.433585799999999892e+02
3.189599999999997948e+01,4.488804199999999867e+01,-2.363023399999999796e+01,-2.433675399999999911e+02
3.278199999999998226e+01,4.486533000000000015e+01,-2.364505799999999880e+01,-2.433785399999999868e+02
3.366799999999998505e+01,4.484408599999999723e+01,-2.365795499999999763e+01,-2.433888700000000256e+02
3.455399999999998784e+01,4.482930999999999955e+01,-2.366601199999999849e+01,-2.433957399999999893e+02
3.543999999999999062e+01,4.482600999999999658e+01,-2.366631299999999882e+01,-2.433964100000000030e+02
3.632599999999999341e+01,4.483787999999999840e+01,-2.366153699999999915e+01,-2.433879900000000021e+02
3.721199999999999619e+01,4.486123700000000269e+01,-2.365626299999999915e+01,-2.433718399999999917e+02
3.809799999999999898e+01,4.489003799999999700e+01,-2.365043400000000062e+01,-2.433515999999999906e+02
3.898400000000000176e+01,4.491823000000000121e+01,-2.364399299999999826e+01,-2.433309299999999951e+02
3.987000000000000455e+01,4.493975999999999971e+01,-2.363687900000000042e+01,-2.433135000000000048e+02
4.075600000000000733e+01,4.494857400000000069e+01,-2.362903599999999926e+01,-2.433029500000000098e+02
4.164200000000001012e+01,4.493992999999999682e+01,-2.362045000000000172e+01,-2.433023399999999867e+02
4.252800000000001290e+01,4.492640000000000100e+01,-2.361163900000000027e+01,-2.433065600000000188e+02
4.341400000000001569e+01,4.491276599999999775e+01,-2.360279299999999836e+01,-2.433132200000000296e+02
4.430000000000001847e+01,4.489907000000000181e+01,-2.359392699999999721e+01,-2.433219499999999869e+02
4.518600000000002126e+01,4.488537000000000177e+01,-2.358506400000000269e+01,-2.433323700000000258e+02
4.607200000000002404e+01,4.487170799999999815e+01,-2.357622300000000237e+01,-2.433441299999999785e+02
4.695800000000002683e+01,4.485813499999999721e+01,-2.356742699999999857e+01,-2.433568899999999928e+02
4.784400000000002962e+01,4.484465800000000257e+01,-2.355868500000000054e+01,-2.433717299999999852e+02
4.873000000000003240e+01,4.483117700000000383e+01,-2.355000899999999930e+01,-2.433919399999999769e+02
4.961600000000003519e+01,4.481770699999999863e+01,-2.354142200000000074e+01,-2.434150700000000143e+02
5.050200000000003797e+01,4.480425999999999931e+01,-2.353295999999999921e+01,-2.434382799999999918e+02
5.138800000000004076e+01,4.479086300000000165e+01,-2.352465799999999874e+01,-2.434587200000000280e+02
5.227400000000004354e+01,4.477753400000000283e+01,-2.351654599999999817e+01,-2.434735700000000236e+02
5.316000000000004633e+01,4.476429000000000258e+01,-2.350865599999999844e+01,-2.434799500000000023e+02
5.404600000000004911e+01,4.475401300000000049e+01,-2.350423800000000085e+01,-2.434793899999999951e+02
5.493200000000005190e+01,4.474885599999999641e+01,-2.350521499999999975e+01,-2.434757700000000114e+02
5.581800000000005468e+01,4.474775000000000347e+01,-2.350962000000000174e+01,-2.434697899999999890e+02
5.670400000000005747e+01,4.474962199999999513e+01,-2.351548999999999978e+01,-2.434621600000000115e+02
5.759000000000006025e+01,4.475340999999999525e+01,-2.352086300000000207e+01,-2.434535700000000134e+02
5.847600000000006304e+01,4.475803400000000210e+01,-2.352377000000000251e+01,-2.434447200000000180e+02
5.936200000000006582e+01,4.476297800000000393e+01,-2.352245299999999872e+01,-2.434359700000000259e+02
6.024800000000006861e+01,4.477367399999999975e+01,-2.351837199999999939e+01,-2.434240700000000288e+02
6.113400000000007140e+01,4.478947399999999845e+01,-2.351282499999999942e+01,-2.434096999999999866e+02
6.202000000000007418e+01,4.480740999999999730e+01,-2.350650800000000018e+01,-2.433950499999999977e+02
6.290600000000007697e+01,4.482451199999999858e+01,-2.350010699999999986e+01,-2.433822799999999802e+02
6.379200000000007975e+01,4.483780300000000096e+01,-2.349431200000000075e+01,-2.433735700000000293e+02
6.467800000000008254e+01,4.484432000000000329e+01,-2.348981500000000011e+01,-2.433711000000000126e+02
6.556400000000007822e+01,4.484279999999999688e+01,-2.348710000000000164e+01,-2.433755999999999915e+02
6.645000000000007390e+01,4.483748599999999840e+01,-2.348583400000000054e+01,-2.433832700000000102e+02
6.733600000000006958e+01,4.482932699999999926e+01,-2.348589700000000136e+01,-2.433929700000000196e+02
6.822200000000006526e+01,4.481891599999999443e+01,-2.348720600000000047e+01,-2.434039200000000278e+02
6.910800000000006094e+01,4.480684000000000111e+01,-2.348967400000000083e+01,-2.434152399999999830e+02
6.999400000000005662e+01,4.479369000000000511e+01,-2.349322000000000088e+01,-2.434261299999999721e+02
7.088000000000005230e+01,4.478005600000000186e+01,-2.349776299999999907e+01,-2.434357600000000161e+02
7.176600000000004798e+01,4.476387400000000127e+01,-2.350684700000000049e+01,-2.434445000000000050e+02
7.265200000000004366e+01,4.474404000000000536e+01,-2.352228699999999861e+01,-2.434531700000000285e+02
7.353800000000003934e+01,4.472258800000000178e+01,-2.354139299999999935e+01,-2.434616700000000264e+02
7.442400000000003502e+01,4.470155300000000409e+01,-2.356147600000000253e+01,-2.434699200000000303e+02
7.531000000000003070e+01,4.468296399999999835e+01,-2.357984200000000286e+01,-2.434778100000000052e+02
7.619600000000002638e+01,4.466885999999999513e+01,-2.359380499999999969e+01,-2.434852400000000046e+02
7.708200000000002206e+01,4.466109999999999758e+01,-2.360099999999999909e+01,-2.434916200000000117e+02
7.796800000000001774e+01,4.465859199999999873e+01,-2.360389500000000140e+01,-2.434912099999999953e+02
7.885400000000001342e+01,4.465996599999999717e+01,-2.360390699999999953e+01,-2.434845100000000002e+02
7.974000000000000909e+01,4.466432600000000264e+01,-2.360136599999999873e+01,-2.434742099999999994e+02
8.062600000000000477e+01,4.467077000000000453e+01,-2.359660500000000027e+01,-2.434630299999999750e+02
8.151200000000000045e+01,4.467840600000000251e+01,-2.358995600000000081e+01,-2.434536099999999976e+02
8.239799999999999613e+01,4.468633300000000474e+01,-2.358174899999999852e+01,-2.434487000000000023e+02
8.328399999999999181e+01,4.469414499999999890e+01,-2.357213599999999687e+01,-2.434495100000000036e+02
8.416999999999998749e+01,4.470293800000000317e+01,-2.356070899999999924e+01,-2.434527099999999962e+02
8.505599999999998317e+01,4.471282599999999974e+01,-2.354743200000000058e+01,-2.434580200000000048e+02
