# Time,X,Y,Z
0.000000000000000000e+00,-4.453208999999999307e+00,-1.389896900000000102e+01,-2.826429400000000101e+02
1.187000000000000055e+00,-4.458452700000000490e+00,-1.389808099999999946e+01,-2.826431299999999851e+02
2.374000000000000110e+00,-4.465236700000000170e+00,-1.389630000000000010e+01,-2.826455700000000206e+02
3.560999999999999943e+00,-4.473561000000000121e+00,-1.389362600000000114e+01,-2.826502700000000345e+02
4.748000000000000220e+00,-4.483424700000000485e+00,-1.389005849999999853e+01,-2.826573000000000206e+02
5.935000000000000497e+00,-4.494829000000000185e+00,-1.388559700000000063e+01,-2.826665299999999661e+02
7.122000000000000774e+00,-4.507773999999999504e+00,-1.388024300000000011e+01,-2.826780999999999722e+02
8.309000000000001052e+00,-4.522295999999999871e+00,-1.387398100000000056e+01,-2.826920200000000136e+02
9.496000000000000441e+00,-4.538789299999999471e+00,-1.386665799999999926e+01,-2.827092000000000098e+02
1.068299999999999983e+01,-4.557107400000000474e+00,-1.385833099999999973e+01,-2.827293399999999792e+02
1.186999999999999922e+01,-4.576929999999999943e+00,-1.384912300000000052e+01,-2.827516799999999648e+02
1.305699999999999861e+01,-4.597936599999999707e+00,-1.383916199999999996e+01,-2.827754499999999780e+02
1.424399999999999800e+01,-4.619807999999999915e+00,-1.382857099999999839e+01,-2.827999299999999607e+02
1.543099999999999739e+01,-4.642223400000000666e+00,-1.381747699999999845e+01,-2.828242999999999938e+02
1.661799999999999855e+01,-4.666792400000000285e+00,-1.380378699999999981e+01,-2.828489700000000084e+02
1.780499999999999972e+01,-4.698316000000000159e+00,-1.378195499999999818e+01,-2.828765999999999963e+02
1.899200000000000088e+01,-4.734513999999999889e+00,-1.375479699999999994e+01,-2.829062200000000189e+02
2.017900000000000205e+01,-4.772579000000000349e+00,-1.372574700000000014e+01,-2.829366999999999734e+02
2.136600000000000321e+01,-4.809703999999999979e+00,-1.369823900000000094e+01,-2.829669000000000096e+02
2.255300000000000438e+01,-4.843079599999999374e+00,-1.367570499999999889e+01,-2.829955700000000434e+02
2.374000000000000554e+01,-4.869899299999999265e+00,-1.366157900000000147e+01,-2.830215799999999717e+02
2.492700000000000671e+01,-4.888692999999999955e+00,-1.365605199999999897e+01,-2.830426600000000121e+02
2.611400000000000787e+01,-4.899570500000000273e+00,-1.365674800000000033e+01,-2.830563999999999965e+02
2.730100000000000904e+01,-4.902091500000000046e+00,-1.366325100000000070e+01,-2.830611999999999853e+02
2.848800000000001020e+01,-4.895815999999999946e+00,-1.367514500000000055e+01,-2.830555400000000077e+02
2.967500000000001137e+01,-4.880303400000000735e+00,-1.369201400000000213e+01,-2.830379299999999603e+02
3.086200000000001253e+01,-4.855114500000000000e+00,-1.371344099999999955e+01,-2.830067700000000173e+02
3.204900000000001370e+01,-4.820280599999999360e+00,-1.373885300000000065e+01,-2.829612000000000194e+02
3.323600000000001131e+01,-4.781733000000000011e+00,-1.376588399999999979e+01,-2.829087200000000166e+02
3.442300000000000892e+01,-4.741644400000000203e+00,-1.379373599999999911e+01,-2.828528999999999769e+02
3.561000000000000654e+01,-4.700356000000000201e+00,-1.382225499999999840e+01,-2.827950000000000159e+02
3.679700000000000415e+01,-4.658208999999999378e+00,-1.385128299999999868e+01,-2.827363300000000095e+02
3.798400000000000176e+01,-4.615545000000000009e+00,-1.388066700000000075e+01,-2.826781599999999912e+02
3.917099999999999937e+01,-4.572704299999999833e+00,-1.391025199999999984e+01,-2.826217299999999568e+02
4.035799999999999699e+01,-4.529079400000000533e+00,-1.394064700000000023e+01,-2.825675700000000461e+02
4.154499999999999460e+01,-4.482433999999999585e+00,-1.397372399999999892e+01,-2.825140700000000038e+02
4.273199999999999221e+01,-4.433948499999999626e+00,-1.400852500000000056e+01,-2.824615200000000073e+02
