# Time,X,Y,Z
0.000000000000000000e+00,-1.064592899999999887e+01,-2.285036700000000209e+01,-2.832888800000000060e+02
8.159999999999999476e-01,-1.064946649999999906e+01,-2.286046599999999884e+01,-2.832796299999999974e+02
1.631999999999999895e+00,-1.065247199999999950e+01,-2.286924700000000144e+01,-2.832718499999999722e+02
2.447999999999999954e+00,-1.065494250000000065e+01,-2.287671500000000080e+01,-2.832654999999999745e+02
3.263999999999999790e+00,-1.065688200000000130e+01,-2.288286400000000143e+01,-2.832606000000000108e+02
4.080000000000000071e+00,-1.065828800000000065e+01,-2.288769999999999882e+01,-2.832571399999999926e+02
4.895999999999999908e+00,-1.065916099999999922e+01,-2.289121600000000001e+01,-2.832551300000000083e+02
5.711999999999999744e+00,-1.065950099999999878e+01,-2.289341700000000301e+01,-2.832545200000000136e+02
6.527999999999999581e+00,-1.065916400000000053e+01,-2.289384700000000095e+01,-2.832562299999999595e+02
7.343999999999999417e+00,-1.065801199999999938e+01,-2.289207000000000036e+01,-2.832610200000000304e+02
8.160000000000000142e+00,-1.065622800000000048e+01,-2.288866600000000062e+01,-2.832678500000000099e+02
8.976000000000000867e+00,-1.065400099999999917e+01,-2.288422999999999874e+01,-2.832755700000000161e+02
9.792000000000001592e+00,-1.065151999999999965e+01,-2.287935299999999827e+01,-2.832830999999999904e+02
1.060800000000000232e+01,-1.064897100000000130e+01,-2.287462599999999924e+01,-2.832893700000000194e+02
1.142400000000000304e+01,-1.064654299999999942e+01,-2.287064700000000173e+01,-2.832932000000000130e+02
1.224000000000000377e+01,-1.064424499999999973e+01,-2.286743200000000087e+01,-2.832944299999999771e+02
1.305600000000000449e+01,-1.064173599999999986e+01,-2.286384800000000084e+01,-2.832946999999999775e+02
1.387200000000000522e+01,-1.063909299999999902e+01,-2.286011900000000097e+01,-2.832941999999999894e+02
1.468800000000000594e+01,-1.063642399999999988e+01,-2.285655600000000121e+01,-2.832928799999999683e+02
1.550400000000000666e+01,-1.063383500000000126e+01,-2.285347000000000151e+01,-2.832907700000000091e+02
1.632000000000000739e+01,-1.063143349999999998e+01,-2.285116999999999976e+01,-2.832878699999999981e+02
1.713600000000000634e+01,-1.062932699999999997e+01,-2.284997000000000256e+01,-2.832841799999999921e+02
1.795200000000000529e+01,-1.062766700000000064e+01,-2.285017200000000059e+01,-2.832792400000000157e+02
1.876800000000000423e+01,-1.062669900000000034e+01,-2.285181199999999890e+01,-2.832714500000000157e+02
1.958400000000000318e+01,-1.062637900000000002e+01,-2.285459700000000183e+01,-2.832616600000000062e+02
2.040000000000000213e+01,-1.062663000000000046e+01,-2.285822000000000287e+01,-2.832509200000000078e+02
2.121600000000000108e+01,-1.062737399999999965e+01,-2.286237099999999955e+01,-2.832404000000000224e+02
2.203200000000000003e+01,-1.062853500000000118e+01,-2.286674299999999960e+01,-2.832311000000000263e+02
2.284799999999999898e+01,-1.063003600000000048e+01,-2.287102900000000005e+01,-2.832241799999999898e+02
2.366399999999999793e+01,-1.063178899999999949e+01,-2.287497699999999767e+01,-2.832206700000000410e+02
2.447999999999999687e+01,-1.063363200000000042e+01,-2.287884899999999888e+01,-2.832205500000000029e+02
2.529599999999999582e+01,-1.063552800000000076e+01,-2.288273599999999774e+01,-2.832227800000000002e+02
2.611199999999999477e+01,-1.063746800000000015e+01,-2.288663500000000184e+01,-2.832262999999999806e+02
2.692799999999999372e+01,-1.063944199999999896e+01,-2.289055000000000106e+01,-2.832300000000000182e+02
2.774399999999999267e+01,-1.064143999999999934e+01,-2.289448399999999850e+01,-2.832328999999999724e+02
