# Time,X,Y,Z
0.000000000000000000e+00,-8.114658999999999622e+00,-1.284638200000000019e+01,-2.830837399999999775e+02
8.159999999999999476e-01,-8.100350999999999857e+00,-1.286720799999999976e+01,-2.830533399999999915e+02
1.631999999999999895e+00,-8.087612000000000023e+00,-1.288550000000000040e+01,-2.830268599999999992e+02
2.447999999999999954e+00,-8.076442000000000121e+00,-1.290126099999999987e+01,-2.830042399999999816e+02
3.263999999999999790e+00,-8.066841000000000150e+00,-1.291449099999999994e+01,-2.829855699999999956e+02
4.080000000000000071e+00,-8.058810000000001139e+00,-1.292518800000000034e+01,-2.829707599999999843e+02
4.895999999999999908e+00,-8.052348000000000283e+00,-1.293335300000000032e+01,-2.829598700000000235e+02
5.711999999999999744e+00,-8.047455000000001135e+00,-1.293898699999999913e+01,-2.829528799999999933e+02
6.527999999999999581e+00,-8.044653000000000276e+00,-1.294139200000000045e+01,-2.829511999999999716e+02
7.343999999999999417e+00,-8.044435999999999254e+00,-1.293990800000000085e+01,-2.829561799999999607e+02
8.160000000000000142e+00,-8.046143999999999963e+00,-1.293541699999999928e+01,-2.829660000000000082e+02
8.976000000000000867e+00,-8.049096999999999724e+00,-1.292882499999999979e+01,-2.829788800000000037e+02
9.792000000000001592e+00,-8.052619999999999223e+00,-1.292103999999999964e+01,-2.829929500000000075e+02
1.060800000000000232e+01,-8.056034000000000361e+00,-1.291296300000000130e+01,-2.830063499999999976e+02
1.142400000000000304e+01,-8.058661999999999992e+00,-1.290550200000000025e+01,-2.830172699999999963e+02
1.224000000000000377e+01,-8.060271000000000186e+00,-1.289891100000000002e+01,-2.830253000000000156e+02
1.305600000000000449e+01,-8.061750999999999223e+00,-1.289195500000000116e+01,-2.830332000000000221e+02
1.387200000000000522e+01,-8.063169500000000767e+00,-1.288474700000000084e+01,-2.830410200000000032e+02
1.468800000000000594e+01,-8.064531000000000560e+00,-1.287749299999999941e+01,-2.830485199999999963e+02
1.550400000000000666e+01,-8.065844999999999487e+00,-1.287040000000000006e+01,-2.830555400000000077e+02
1.632000000000000739e+01,-8.067114000000000118e+00,-1.286367700000000092e+01,-2.830618999999999801e+02
1.713600000000000634e+01,-8.068346000000000018e+00,-1.285753000000000057e+01,-2.830673499999999763e+02
1.795200000000000529e+01,-8.067650000000000432e+00,-1.285219900000000059e+01,-2.830706799999999816e+02
1.876800000000000423e+01,-8.057800000000000296e+00,-1.284796300000000002e+01,-2.830677799999999706e+02
1.958400000000000318e+01,-8.041093000000000046e+00,-1.284487150000000000e+01,-2.830600600000000213e+02
2.040000000000000213e+01,-8.020997999999998740e+00,-1.284294700000000056e+01,-2.830496200000000044e+02
2.121600000000000108e+01,-8.000982999999999734e+00,-1.284221199999999996e+01,-2.830384799999999927e+02
2.203200000000000003e+01,-7.984518500000000074e+00,-1.284268950000000054e+01,-2.830287799999999834e+02
2.284799999999999898e+01,-7.975071999999999939e+00,-1.284440299999999979e+01,-2.830225500000000238e+02
2.366399999999999793e+01,-7.976246999999999865e+00,-1.284728899999999996e+01,-2.830217299999999909e+02
2.447999999999999687e+01,-7.990039000000000335e+00,-1.285064999999999991e+01,-2.830256299999999783e+02
2.529599999999999582e+01,-8.013041000000001191e+00,-1.285431499999999971e+01,-2.830325000000000273e+02
2.611199999999999477e+01,-8.041196000000001121e+00,-1.285826699999999967e+01,-2.830406500000000278e+02
2.692799999999999372e+01,-8.070449999999999235e+00,-1.286248800000000081e+01,-2.830483700000000340e+02
2.774399999999999267e+01,-8.096746000000001331e+00,-1.286696150000000038e+01,-2.830540500000000179e+02
2.855999999999999162e+01,-8.116030999999999551e+00,-1.287166900000000069e+01,-2.830559399999999641e+02
2.937599999999999056e+01,-8.124833000000000638e+00,-1.287659999999999982e+01,-2.830526399999999967e+02
3.019199999999998951e+01,-8.130247999999999919e+00,-1.288182700000000125e+01,-2.830473000000000070e+02
3.100799999999998846e+01,-8.135225999999999402e+00,-1.288729299999999967e+01,-2.830414999999999850e+02
3.182399999999998741e+01,-8.139357000000000397e+00,-1.289288600000000073e+01,-2.830354600000000005e+02
3.263999999999998636e+01,-8.142224000000000572e+00,-1.289849949999999978e+01,-2.830293599999999969e+02
3.345599999999998886e+01,-8.143418999999999741e+00,-1.290402399999999972e+01,-2.830234700000000316e+02
3.427199999999999136e+01,-8.142526000000000153e+00,-1.290934900000000063e+01,-2.830178999999999974e+02
3.508799999999999386e+01,-8.139162999999999926e+00,-1.291436600000000112e+01,-2.830129699999999957e+02
3.590399999999999636e+01,-8.134767999999999333e+00,-1.291881399999999935e+01,-2.830082700000000386e+02
3.671999999999999886e+01,-8.130309999999999704e+00,-1.292261799999999994e+01,-2.830035700000000247e+02
3.753600000000000136e+01,-8.125760000000001426e+00,-1.292582900000000024e+01,-2.829988700000000108e+02
3.835200000000000387e+01,-8.121088999999999558e+00,-1.292849600000000088e+01,-2.829941699999999969e+02
3.916800000000000637e+01,-8.116270000000000095e+00,-1.293067299999999875e+01,-2.829895000000000209e+02
3.998400000000000887e+01,-8.111272999999998845e+00,-1.293240800000000057e+01,-2.829848000000000070e+02
4.080000000000001137e+01,-8.106069999999998998e+00,-1.293375299999999939e+01,-2.829800999999999931e+02
4.161600000000001387e+01,-8.100585000000000591e+00,-1.293420500000000040e+01,-2.829754299999999603e+02
4.243200000000001637e+01,-8.094838000000001088e+00,-1.293335500000000060e+01,-2.829707599999999843e+02
4.324800000000001887e+01,-8.088941000000000159e+00,-1.293139299999999992e+01,-2.829661299999999642e+02
4.406400000000002137e+01,-8.083005999999999247e+00,-1.292850800000000078e+01,-2.829615000000000009e+02
4.488000000000002387e+01,-8.077146000000000825e+00,-1.292489050000000006e+01,-2.829568799999999555e+02
4.569600000000002638e+01,-8.071471000000000728e+00,-1.292073099999999997e+01,-2.829522999999999797e+02
4.651200000000002888e+01,-8.066094999999998905e+00,-1.291621799999999887e+01,-2.829477200000000039e+02
4.732800000000003138e+01,-8.061392999999998921e+00,-1.291029499999999963e+01,-2.829461999999999762e+02
4.814400000000003388e+01,-8.057838999999999530e+00,-1.290159799999999990e+01,-2.829514200000000415e+02
4.896000000000003638e+01,-8.055408999999999153e+00,-1.289124799999999915e+01,-2.829611199999999940e+02
4.977600000000003888e+01,-8.054072999999998927e+00,-1.288040599999999891e+01,-2.829730200000000195e+02
5.059200000000004138e+01,-8.053798999999999708e+00,-1.287023399999999995e+01,-2.829847399999999880e+02
5.140800000000004388e+01,-8.054555999999999827e+00,-1.286188999999999893e+01,-2.829940000000000282e+02
5.222400000000004638e+01,-8.056313000000001168e+00,-1.285653500000000093e+01,-2.829984000000000037e+02
5.304000000000004889e+01,-8.059376999999999569e+00,-1.285443000000000069e+01,-2.829977700000000027e+02
5.385600000000005139e+01,-8.064344999999999430e+00,-1.285361999999999938e+01,-2.829966400000000135e+02
5.467200000000005389e+01,-8.070622999999999436e+00,-1.285384400000000049e+01,-2.829952700000000050e+02
5.548800000000005639e+01,-8.077548000000000172e+00,-1.285497200000000007e+01,-2.829936999999999898e+02
5.630400000000005889e+01,-8.084460999999999231e+00,-1.285687200000000097e+01,-2.829919399999999996e+02
5.712000000000006139e+01,-8.090702999999999534e+00,-1.285941000000000045e+01,-2.829900000000000091e+02
5.793600000000006389e+01,-8.095613000000000170e+00,-1.286245599999999989e+01,-2.829878199999999993e+02
5.875200000000006639e+01,-8.098907999999999774e+00,-1.286603799999999964e+01,-2.829854399999999828e+02
5.956800000000006889e+01,-8.101872999999999436e+00,-1.287061799999999856e+01,-2.829827999999999975e+02
6.038400000000007140e+01,-8.104578000000000060e+00,-1.287583699999999887e+01,-2.829799499999999739e+02
