# Time,X,Y,Z
0.000000000000000000e+00,3.574023200000000511e+00,-1.454264299999999999e+01,-2.763994000000000142e+02
9.549999999999999600e-01,3.571465000000000334e+00,-1.453981499999999905e+01,-2.763882800000000088e+02
1.909999999999999920e+00,3.568693899999999974e+00,-1.453692099999999954e+01,-2.763768600000000220e+02
2.864999999999999769e+00,3.565709999999999713e+00,-1.453396000000000043e+01,-2.763651700000000346e+02
3.819999999999999840e+00,3.562513599999999947e+00,-1.453093400000000024e+01,-2.763532399999999711e+02
4.774999999999999467e+00,3.559104400000000279e+00,-1.452784249999999844e+01,-2.763410299999999893e+02
5.729999999999999538e+00,3.555482400000000265e+00,-1.452468399999999882e+01,-2.763285500000000070e+02
6.684999999999999609e+00,3.551634999999999653e+00,-1.452144800000000124e+01,-2.763157700000000432e+02
7.639999999999999680e+00,3.547428599999999932e+00,-1.451802799999999927e+01,-2.763022799999999961e+02
8.594999999999998863e+00,3.542912700000000026e+00,-1.451446300000000100e+01,-2.762882399999999734e+02
9.549999999999998934e+00,3.538196299999999628e+00,-1.451084200000000202e+01,-2.762739599999999882e+02
1.050499999999999901e+01,3.533387999999999529e+00,-1.450725300000000040e+01,-2.762597999999999843e+02
1.145999999999999908e+01,3.528596400000000077e+00,-1.450378299999999854e+01,-2.762460299999999620e+02
1.241499999999999915e+01,3.523930299999999960e+00,-1.450052399999999864e+01,-2.762330000000000041e+02
1.336999999999999922e+01,3.519476999999999745e+00,-1.449807300000000154e+01,-2.762214700000000107e+02
1.432499999999999929e+01,3.515216799999999697e+00,-1.449798700000000018e+01,-2.762128000000000156e+02
1.527999999999999936e+01,3.511129600000000295e+00,-1.450005799999999923e+01,-2.762068499999999744e+02
1.623499999999999943e+01,3.507198999999999955e+00,-1.450394599999999912e+01,-2.762034299999999689e+02
1.718999999999999773e+01,3.503408200000000416e+00,-1.450930700000000151e+01,-2.762023299999999608e+02
1.814499999999999602e+01,3.499740000000000073e+00,-1.451579800000000020e+01,-2.762032500000000255e+02
1.909999999999999432e+01,3.496178000000000008e+00,-1.452307699999999890e+01,-2.762060200000000236e+02
2.005499999999999261e+01,3.493564600000000020e+00,-1.453124400000000094e+01,-2.762101399999999671e+02
2.100999999999999091e+01,3.492924700000000104e+00,-1.454047600000000173e+01,-2.762152700000000323e+02
2.196499999999998920e+01,3.494514000000000120e+00,-1.455055100000000046e+01,-2.762214000000000169e+02
2.291999999999998749e+01,3.498588300000000206e+00,-1.456124800000000086e+01,-2.762284200000000283e+02
2.387499999999998579e+01,3.505403500000000339e+00,-1.457234200000000079e+01,-2.762363599999999906e+02
2.482999999999998408e+01,3.515215899999999838e+00,-1.458361149999999995e+01,-2.762451200000000426e+02
2.578499999999998238e+01,3.528132199999999941e+00,-1.459500700000000073e+01,-2.762547000000000139e+02
2.673999999999998067e+01,3.542381799999999803e+00,-1.460836400000000168e+01,-2.762653799999999933e+02
2.769499999999997897e+01,3.557323000000000235e+00,-1.462356199999999973e+01,-2.762769499999999994e+02
2.864999999999997726e+01,3.572883400000000265e+00,-1.463974699999999984e+01,-2.762889999999999873e+02
2.960499999999997556e+01,3.588991000000000486e+00,-1.465605899999999906e+01,-2.763011799999999880e+02
3.055999999999997385e+01,3.605573200000000256e+00,-1.467164500000000160e+01,-2.763131000000000199e+02
3.151499999999997215e+01,3.622558000000000167e+00,-1.468564599999999842e+01,-2.763243700000000445e+02
3.246999999999997044e+01,3.639838700000000316e+00,-1.469587499999999913e+01,-2.763344700000000103e+02
3.342499999999996874e+01,3.657246999999999915e+00,-1.469812800000000053e+01,-2.763427700000000300e+02
3.437999999999996703e+01,3.674738599999999966e+00,-1.469327999999999967e+01,-2.763493300000000090e+02
3.533499999999996533e+01,3.692277699999999996e+00,-1.468258299999999927e+01,-2.763543000000000234e+02
3.628999999999996362e+01,3.709828899999999763e+00,-1.466728500000000146e+01,-2.763578799999999660e+02
3.724499999999996191e+01,3.727357000000000031e+00,-1.464863599999999799e+01,-2.763602000000000203e+02
3.819999999999996021e+01,3.744826299999999719e+00,-1.462788599999999839e+01,-2.763614000000000033e+02
