# Time,X,Y,Z
0.000000000000000000e+00,-3.492665100097659803e+01,-3.899243545532230115e+01,-5.854918212890630684e+02
9.260000000000000453e-01,-3.492357743412019744e+01,-3.898956923734669999e+01,-5.854877966519159145e+02
1.852000000000000091e+00,-3.492082516845700013e+01,-3.898725406082149902e+01,-5.854838173510739807e+02
2.778000000000000025e+00,-3.491839420398710558e+01,-3.898548992574689720e+01,-5.854798833865360166e+02
3.704000000000000181e+00,-3.491628454071049958e+01,-3.898427683212279504e+01,-5.854759947583009989e+02
4.629999999999999893e+00,-3.491449617862699739e+01,-3.898361477994919966e+01,-5.854721514663700646e+02
5.556000000000000050e+00,-3.491302911773680506e+01,-3.898350376922610394e+01,-5.854683535107420767e+02
6.482000000000000206e+00,-3.491188335803990128e+01,-3.898394379995350079e+01,-5.854646008914179447e+02
7.408000000000000362e+00,-3.491105889953610131e+01,-3.898493487213129782e+01,-5.854608936083980097e+02
8.333999999999999631e+00,-3.491055574222559699e+01,-3.898647698575970111e+01,-5.854572316616819307e+02
9.259999999999999787e+00,-3.491037388610839542e+01,-3.898857014083859696e+01,-5.854536150512690256e+02
1.018599999999999994e+01,-3.491051902157700226e+01,-3.899167461226010545e+01,-5.854500436601770161e+02
1.111200000000000010e+01,-3.491099430996050046e+01,-3.899604610829759821e+01,-5.854465174234139795e+02
1.203800000000000026e+01,-3.491179595766410415e+01,-3.900137777902300229e+01,-5.854430364189689726e+02
1.296400000000000041e+01,-3.491292017109250168e+01,-3.900736277450829448e+01,-5.854396007248319620e+02
1.389000000000000057e+01,-3.491436315665089296e+01,-3.901369424482529524e+01,-5.854362104189909815e+02
1.481600000000000072e+01,-3.491612112074400187e+01,-3.902006534004610216e+01,-5.854328655794349743e+02
1.574200000000000088e+01,-3.491819026977699991e+01,-3.902616921024250018e+01,-5.854295662841540207e+02
1.666799999999999926e+01,-3.492056681015459674e+01,-3.903169900548649451e+01,-5.854263126111370639e+02
1.759399999999999764e+01,-3.492324694828199938e+01,-3.903634787584999799e+01,-5.854231046383710009e+02
1.851999999999999602e+01,-3.492622689056399565e+01,-3.903980897140500161e+01,-5.854199424438480719e+02
1.944599999999999440e+01,-3.493730958955499943e+01,-3.903014183089099731e+01,-5.854289838680409730e+02
2.037199999999999278e+01,-3.496203219876650081e+01,-3.899917934512549778e+01,-5.854589699665149283e+02
2.129799999999999116e+01,-3.499699222603889837e+01,-3.895227469229759976e+01,-5.855047756398860201e+02
2.222399999999998954e+01,-3.503878717921269725e+01,-3.889478105059620106e+01,-5.855612757887729458e+02
2.314999999999998792e+01,-3.508401456612839553e+01,-3.883205159821029895e+01,-5.856233453137940614e+02
2.407599999999998630e+01,-3.512927189462629940e+01,-3.876943951332889782e+01,-5.856858591155660179e+02
2.500199999999998468e+01,-3.517115667254689981e+01,-3.871229797414100204e+01,-5.857436920947089902e+02
2.592799999999998306e+01,-3.520626640773080140e+01,-3.866598015883560180e+01,-5.857917191518400841e+02
2.685399999999998144e+01,-3.523119860801839565e+01,-3.863583924560170146e+01,-5.858248151875779968e+02
2.777999999999997982e+01,-3.524255078125000296e+01,-3.862722841262820594e+01,-5.858378551025390379e+02
2.870599999999997820e+01,-3.523798305274240050e+01,-3.864550886728689960e+01,-5.858260083187400369e+02
2.963199999999997658e+01,-3.521959358580570409e+01,-3.868866060444389632e+01,-5.857915339574269638e+02
3.055799999999997496e+01,-3.519063694527090291e+01,-3.875096498352920804e+01,-5.857399414680660357e+02
3.148399999999997334e+01,-3.515436769596870192e+01,-3.882670336397310251e+01,-5.856767403001249477e+02
3.240999999999997527e+01,-3.511404040273010452e+01,-3.891015710520560589e+01,-5.856074399030700306e+02
3.333599999999997721e+01,-3.507290963038580145e+01,-3.899560756665690064e+01,-5.855375497263660236e+02
3.426199999999997914e+01,-3.503422994376679611e+01,-3.907733610775709820e+01,-5.854725792194809628e+02
3.518799999999998107e+01,-3.500125590770390005e+01,-3.914962408793650184e+01,-5.854180378318810654e+02
3.611399999999998300e+01,-3.497724208702799586e+01,-3.920675286662510217e+01,-5.853794350130330031e+02
3.703999999999998494e+01,-3.496544304656980273e+01,-3.924300380325320248e+01,-5.853622802124019699e+02
3.796599999999998687e+01,-3.496177519015790125e+01,-3.926534555316460029e+01,-5.853585168451120353e+02
3.889199999999998880e+01,-3.496001542549859664e+01,-3.928429972040100182e+01,-5.853565586970020149e+02
