# Time,X,Y,Z
0.000000000000000000e+00,9.623181999999999903e+00,-3.860249300000000261e+01,-4.495480999999999767e+02
7.469999999999999973e-01,9.631657000000000579e+00,-3.859770200000000528e+01,-4.495485499999999774e+02
1.493999999999999995e+00,9.638617999999999242e+00,-3.859290299999999974e+01,-4.495491000000000099e+02
2.241000000000000103e+00,9.644069000000000003e+00,-3.858809999999999718e+01,-4.495498000000000047e+02
2.987999999999999989e+00,9.648006000000000526e+00,-3.858329400000000220e+01,-4.495506299999999555e+02
3.734999999999999876e+00,9.650430999999999315e+00,-3.857847999999999900e+01,-4.495515700000000265e+02
4.482000000000000206e+00,9.651342999999998895e+00,-3.857365999999999673e+01,-4.495526400000000535e+02
5.229000000000000092e+00,9.650743499999999031e+00,-3.856884000000000157e+01,-4.495538300000000049e+02
5.975999999999999979e+00,9.648630999999999958e+00,-3.856400999999999613e+01,-4.495551800000000071e+02
6.722999999999999865e+00,9.645006000000000412e+00,-3.855917700000000536e+01,-4.495566000000000031e+02
7.469999999999999751e+00,9.639870000000000161e+00,-3.855434000000000339e+01,-4.495581700000000183e+02
8.217000000000000526e+00,9.632531000000000176e+00,-3.854948399999999964e+01,-4.495599000000000274e+02
8.964000000000000412e+00,9.622608999999998858e+00,-3.854460999999999871e+01,-4.495617400000000430e+02
9.711000000000000298e+00,9.610561000000000575e+00,-3.853971500000000106e+01,-4.495637500000000273e+02
1.045800000000000018e+01,9.596849000000000629e+00,-3.853481299999999976e+01,-4.495658999999999992e+02
1.120500000000000007e+01,9.581929999999999836e+00,-3.852991500000000258e+01,-4.495681000000000154e+02
1.195199999999999996e+01,9.566264000000000323e+00,-3.852501999999999782e+01,-4.495704700000000003e+02
1.269899999999999984e+01,9.550311000000000661e+00,-3.852014499999999941e+01,-4.495729400000000169e+02
1.344599999999999973e+01,9.534528999999999144e+00,-3.851529000000000025e+01,-4.495754699999999957e+02
1.419299999999999962e+01,9.519377000000000422e+00,-3.851046399999999892e+01,-4.495781000000000063e+02
1.493999999999999950e+01,9.505316000000000543e+00,-3.850567600000000112e+01,-4.495808000000000106e+02
1.568699999999999939e+01,9.491839999999999833e+00,-3.850428400000000551e+01,-4.495856999999999744e+02
1.643400000000000105e+01,9.478199000000000041e+00,-3.850882700000000369e+01,-4.495941799999999944e+02
1.718100000000000094e+01,9.464474000000000942e+00,-3.851809300000000036e+01,-4.496051299999999742e+02
1.792800000000000082e+01,9.450749999999999318e+00,-3.853086500000000569e+01,-4.496175499999999943e+02
1.867500000000000071e+01,9.437110999999999805e+00,-3.854593700000000212e+01,-4.496303700000000276e+02
1.942200000000000060e+01,9.423638999999999655e+00,-3.856209000000000486e+01,-4.496424599999999714e+02
2.016900000000000048e+01,9.410419000000000977e+00,-3.857811699999999888e+01,-4.496528000000000134e+02
2.091600000000000037e+01,9.397534000000000276e+00,-3.859279999999999688e+01,-4.496603000000000065e+02
2.166300000000000026e+01,9.385069999999998913e+00,-3.860492700000000355e+01,-4.496639000000000124e+02
2.241000000000000014e+01,9.373107000000000966e+00,-3.861328499999999764e+01,-4.496625700000000165e+02
2.315700000000000003e+01,9.365446999999999633e+00,-3.861910000000000309e+01,-4.496580000000000155e+02
2.390399999999999991e+01,9.365021999999999736e+00,-3.862437399999999599e+01,-4.496528000000000134e+02
2.465099999999999980e+01,9.370614999999999029e+00,-3.862907799999999980e+01,-4.496471000000000231e+02
2.539799999999999969e+01,9.381013000000001156e+00,-3.863316999999999979e+01,-4.496409299999999689e+02
2.614499999999999957e+01,9.394997999999999294e+00,-3.863662000000000063e+01,-4.496344000000000278e+02
