# Time,X,Y,Z
0.000000000000000000e+00,-4.546973067626949927e+01,-3.723650829711910148e+01,-5.245980300903320312e+02
5.889999999999999680e-01,-4.547764298631660296e+01,-3.723031510496739571e+01,-5.246044896321130864e+02
1.177999999999999936e+00,-4.548504985660100175e+01,-3.722458853972499782e+01,-5.246104213794490079e+02
1.766999999999999904e+00,-4.549195128712270986e+01,-3.721932860139209964e+01,-5.246158253323419558e+02
2.355999999999999872e+00,-4.549834727788169886e+01,-3.721453528996850224e+01,-5.246207014907899975e+02
2.944999999999999840e+00,-4.550423782887800428e+01,-3.721020860545439746e+01,-5.246250498547949519e+02
3.533999999999999808e+00,-4.550962294011170428e+01,-3.720634854784960055e+01,-5.246288704243550001e+02
4.122999999999999332e+00,-4.551450261158259991e+01,-3.720295511715420389e+01,-5.246321631994709378e+02
4.711999999999999744e+00,-4.551887684329090433e+01,-3.720002831336820037e+01,-5.246349281801429925e+02
5.301000000000000156e+00,-4.552274563523650386e+01,-3.719756813649170368e+01,-5.246371653663700272e+02
5.890000000000000568e+00,-4.552610898741939849e+01,-3.719557458652450066e+01,-5.246388747581539747e+02
6.479000000000000981e+00,-4.552831242819199531e+01,-3.719372190092590102e+01,-5.246404023568239836e+02
7.068000000000001393e+00,-4.552899236219439416e+01,-3.719182910050679425e+01,-5.246419403853420818e+02
7.657000000000001805e+00,-4.552858510385839708e+01,-3.719011336029410586e+01,-5.246432581761549727e+02
8.246000000000002217e+00,-4.552752696761589846e+01,-3.718879185531520193e+01,-5.246441250617069727e+02
8.835000000000002629e+00,-4.552625426789850138e+01,-3.718808176059710036e+01,-5.246443103744470591e+02
9.424000000000003041e+00,-4.552520331913800078e+01,-3.718820025116689720e+01,-5.246435834468189796e+02
1.001300000000000345e+01,-4.552481043576619868e+01,-3.718936450205189459e+01,-5.246417136112710295e+02
1.060200000000000387e+01,-4.552551193221489712e+01,-3.719179168827920279e+01,-5.246384702002479798e+02
1.119100000000000428e+01,-4.552774412291579154e+01,-3.719569898487599602e+01,-5.246336225461959657e+02
1.178000000000000469e+01,-4.553194332230069818e+01,-3.720130356686929929e+01,-5.246269399815630550e+02
1.236900000000000510e+01,-4.553918640257970196e+01,-3.720795348233450284e+01,-5.246180098053320080e+02
1.295800000000000551e+01,-4.554975866698430309e+01,-3.721484023523079543e+01,-5.246067808579409757e+02
1.354700000000000593e+01,-4.556290907647829869e+01,-3.722194618441120184e+01,-5.245935647840119600e+02
1.413600000000000634e+01,-4.557788659202560666e+01,-3.722925368872890317e+01,-5.245786732281679861e+02
1.472500000000000675e+01,-4.559394017458990334e+01,-3.723674510703710183e+01,-5.245624178350319653e+02
1.531400000000000716e+01,-4.561031878513490057e+01,-3.724440279818889366e+01,-5.245451102492279460e+02
1.590300000000000757e+01,-4.562627138462460863e+01,-3.725220912103739579e+01,-5.245270621153780439e+02
1.649200000000000799e+01,-4.564104693402270385e+01,-3.726014643443570407e+01,-5.245085850781050567e+02
1.708100000000000662e+01,-4.565389439429300467e+01,-3.726819709723709906e+01,-5.244899907820320095e+02
1.767000000000000526e+01,-4.566406272639930108e+01,-3.727634346829459844e+01,-5.244715908717829507e+02
1.825900000000000389e+01,-4.567250113518310428e+01,-3.728454357402079467e+01,-5.244521656341239577e+02
1.884800000000000253e+01,-4.568055441906900427e+01,-3.729276564480760214e+01,-5.244306667486199558e+02
1.943700000000000117e+01,-4.568806492939550168e+01,-3.730100734547709607e+01,-5.244076629490870118e+02
2.002599999999999980e+01,-4.569487501750089820e+01,-3.730926634085150084e+01,-5.243837229693409654e+02
2.061499999999999844e+01,-4.570082703472360919e+01,-3.731754029575300535e+01,-5.243594155431979971e+02
2.120399999999999707e+01,-4.570576333240210687e+01,-3.732582687500359953e+01,-5.243353094044749696e+02
2.179299999999999571e+01,-4.570952626187470713e+01,-3.733412374342550066e+01,-5.243119732869860172e+02
2.238199999999999434e+01,-4.571195817447979692e+01,-3.734242856584079817e+01,-5.242899759245500491e+02
2.297099999999999298e+01,-4.571290142155569924e+01,-3.735073900707170225e+01,-5.242698860509819951e+02
2.355999999999999162e+01,-4.571219835444100710e+01,-3.735905273194039466e+01,-5.242522724000970129e+02
2.414899999999999025e+01,-4.570963124817440359e+01,-3.736761277937049641e+01,-5.242380328811840400e+02
2.473799999999998889e+01,-4.570535479509319998e+01,-3.737658988402689886e+01,-5.242274589865940015e+02
2.532699999999998752e+01,-4.569976997248380002e+01,-3.738587325434350106e+01,-5.242202098247389586e+02
2.591599999999998616e+01,-4.569327775763250088e+01,-3.739535209875429445e+01,-5.242159445040309720e+02
2.650499999999998479e+01,-4.568627912782550027e+01,-3.740491562569289385e+01,-5.242143221328830123e+02
2.709399999999998343e+01,-4.567917506034929431e+01,-3.741445304359339730e+01,-5.242150018197060035e+02
2.768299999999998207e+01,-4.567236653249000256e+01,-3.742385356088960435e+01,-5.242176426729130299e+02
2.827199999999998070e+01,-4.566625452153409981e+01,-3.743300638601529329e+01,-5.242219038009160386e+02
2.886099999999997934e+01,-4.566124000476779798e+01,-3.744180072740449816e+01,-5.242274443121269769e+02
2.944999999999997797e+01,-4.565772395947739426e+01,-3.745012579349100434e+01,-5.242339233149590427e+02
