# Time,X,Y,Z
0.000000000000000000e+00,-4.137085305175779837e+01,-3.477718386474610668e+01,-5.285778350830079262e+02
5.889999999999999680e-01,-4.137201409704739774e+01,-3.477647244667809900e+01,-5.285833278478460215e+02
1.177999999999999936e+00,-4.137340304017989467e+01,-3.477596411067450077e+01,-5.285885600339430539e+02
1.766999999999999904e+00,-4.137501988115540286e+01,-3.477565885673529777e+01,-5.285935316412999327e+02
2.355999999999999872e+00,-4.137686461997370202e+01,-3.477555668486050422e+01,-5.285982426699169991e+02
2.944999999999999840e+00,-4.137893725663499822e+01,-3.477565759504999932e+01,-5.286026931197940257e+02
3.533999999999999808e+00,-4.138123779113919909e+01,-3.477596158730390385e+01,-5.286068829909310125e+02
4.122999999999999332e+00,-4.138376622348629752e+01,-3.477646866162219652e+01,-5.286108122833270500e+02
4.711999999999999744e+00,-4.138652255367629351e+01,-3.477717881800489863e+01,-5.286144809969840708e+02
5.301000000000000156e+00,-4.138950678170920128e+01,-3.477809205645199597e+01,-5.286178891319000286e+02
5.890000000000000568e+00,-4.139271890758509898e+01,-3.477920837696339618e+01,-5.286210366880750371e+02
6.479000000000000981e+00,-4.139638490905020518e+01,-3.478069652905310249e+01,-5.286237914133760114e+02
7.068000000000001393e+00,-4.140063032929710118e+01,-3.478265026245099989e+01,-5.286260798343950000e+02
7.657000000000001805e+00,-4.140530451649470223e+01,-3.478495707748119514e+01,-5.286279901192200441e+02
8.246000000000002217e+00,-4.141025681881220066e+01,-3.478750447446780214e+01,-5.286296104359420269e+02
8.835000000000002629e+00,-4.141533658441870358e+01,-3.479017995373479977e+01,-5.286310289526500128e+02
9.424000000000003041e+00,-4.142039316148329675e+01,-3.479287101560619533e+01,-5.286323338374330660e+02
1.001300000000000345e+01,-4.142527589817500200e+01,-3.479546516040630166e+01,-5.286336132583829794e+02
1.060200000000000387e+01,-4.142983414266300457e+01,-3.479784988845889870e+01,-5.286349553835880215e+02
1.119100000000000428e+01,-4.143391724311639734e+01,-3.479991270008829929e+01,-5.286364483811370292e+02
1.178000000000000469e+01,-4.143737454770410267e+01,-3.480154109561850362e+01,-5.286381804191220226e+02
1.236900000000000510e+01,-4.143997909798689960e+01,-3.480193667584649830e+01,-5.286403077741099423e+02
1.295800000000000551e+01,-4.144173481942650028e+01,-3.480065707633950467e+01,-5.286428424239779815e+02
1.354700000000000593e+01,-4.144283738604369915e+01,-3.479812384957730131e+01,-5.286456560887760361e+02
1.413600000000000634e+01,-4.144348247185939726e+01,-3.479475854803939683e+01,-5.286486204885540019e+02
1.472500000000000675e+01,-4.144386575089420433e+01,-3.479098272420539928e+01,-5.286516073433620022e+02
1.531400000000000716e+01,-4.144418289716900006e+01,-3.478721793055480305e+01,-5.286544883732490234e+02
1.590300000000000757e+01,-4.144462958470460023e+01,-3.478388571956730146e+01,-5.286571352982659846e+02
1.649200000000000799e+01,-4.144540148752179931e+01,-3.478140764372250260e+01,-5.286594198384630090e+02
1.708100000000000662e+01,-4.144669427964139885e+01,-3.478020525549989372e+01,-5.286612137138889693e+02
1.767000000000000526e+01,-4.144870363508420752e+01,-3.478070010737910422e+01,-5.286623886445939888e+02
1.825900000000000389e+01,-4.145194381378010462e+01,-3.478346492793239975e+01,-5.286617542347470362e+02
1.884800000000000253e+01,-4.145652690071550239e+01,-3.478842664777729965e+01,-5.286585488856990196e+02
1.943700000000000117e+01,-4.146204530749599826e+01,-3.479503812246060335e+01,-5.286532875132729714e+02
2.002599999999999980e+01,-4.146809144572689831e+01,-3.480275220752920262e+01,-5.286464850332920378e+02
2.061499999999999844e+01,-4.147425772701370050e+01,-3.481102175853010294e+01,-5.286386563615799332e+02
2.120399999999999707e+01,-4.148013656296199514e+01,-3.481929963101019609e+01,-5.286303164139590081e+02
2.179299999999999571e+01,-4.148532036517710253e+01,-3.482703868051650176e+01,-5.286219801062519537e+02
2.238199999999999434e+01,-4.148940154526449930e+01,-3.483369176259579802e+01,-5.286141623542829393e+02
2.297099999999999298e+01,-4.149197251482979709e+01,-3.483871173279519695e+01,-5.286073780738749974e+02
