# Time,X,Y,Z
0.000000000000000000e+00,-4.490613437805179586e+01,-3.215694515625000349e+01,-5.298040161132810226e+02
5.889999999999999680e-01,-4.490250133519589326e+01,-3.215697968067620138e+01,-5.298033394315870055e+02
1.177999999999999936e+00,-4.489917005153420604e+01,-3.215698283664399781e+01,-5.298025416478109264e+02
1.766999999999999904e+00,-4.489614052706679104e+01,-3.215695462415349937e+01,-5.298016227619530127e+02
2.355999999999999872e+00,-4.489341276179349904e+01,-3.215689504320469894e+01,-5.298005827740120139e+02
2.944999999999999840e+00,-4.489098675571450059e+01,-3.215680409379749705e+01,-5.297994216839890669e+02
3.533999999999999808e+00,-4.488886250882960383e+01,-3.215668177593200028e+01,-5.297981394918840579e+02
4.122999999999999332e+00,-4.488704002113900060e+01,-3.215652808960819442e+01,-5.297967361976969869e+02
4.711999999999999744e+00,-4.488551929264249907e+01,-3.215634303482600131e+01,-5.297952118014270582e+02
5.301000000000000156e+00,-4.488430032334029818e+01,-3.215612661158549912e+01,-5.297935663030750675e+02
5.890000000000000568e+00,-4.488338311323219898e+01,-3.215587881988670205e+01,-5.297917997026410148e+02
6.479000000000000981e+00,-4.488303404505209926e+01,-3.215555851798589515e+01,-5.297898513376929941e+02
7.068000000000001393e+00,-4.488340110920760395e+01,-3.215514284935880340e+01,-5.297876875068819800e+02
7.657000000000001805e+00,-4.488430671720950471e+01,-3.215465924183460089e+01,-5.297853486518270074e+02
8.246000000000002217e+00,-4.488557328056870688e+01,-3.215413512324230538e+01,-5.297828752141499535e+02
8.835000000000002629e+00,-4.488702321079600210e+01,-3.215359792141119755e+01,-5.297803076354700806e+02
9.424000000000003041e+00,-4.488847891940219625e+01,-3.215307506417019567e+01,-5.297776863574099480e+02
1.001300000000000345e+01,-4.488976281789810230e+01,-3.215259397934839569e+01,-5.297750518215900684e+02
1.060200000000000387e+01,-4.489069731779470374e+01,-3.215218209477509959e+01,-5.297724444696299315e+02
1.119100000000000428e+01,-4.489110483060260037e+01,-3.215186683827919722e+01,-5.297699047431509598e+02
1.178000000000000469e+01,-4.489080776783279703e+01,-3.215167563768999770e+01,-5.297674730837740071e+02
1.236900000000000510e+01,-4.489008808047479704e+01,-3.215181417941180086e+01,-5.297651354323619444e+02
1.295800000000000551e+01,-4.488933581468470635e+01,-3.215240752221300369e+01,-5.297628517642569932e+02
1.354700000000000593e+01,-4.488853552472279773e+01,-3.215336215246789919e+01,-5.297606235728029560e+02
1.413600000000000634e+01,-4.488767176484979871e+01,-3.215458455655129910e+01,-5.297584523513420436e+02
