# Time,X,Y,Z
0.000000000000000000e+00,-1.567613181152339941e+01,-2.798484559295649987e+01,-5.459805068969729973e+02
5.889999999999999680e-01,-1.566816293644530056e+01,-2.797172592666189672e+01,-5.459819537284040507e+02
1.177999999999999936e+00,-1.566093208528250003e+01,-2.795965643618000129e+01,-5.459832474174279469e+02
1.766999999999999904e+00,-1.565443925803490011e+01,-2.794863712151089530e+01,-5.459843879640440036e+02
2.355999999999999872e+00,-1.564868445470259850e+01,-2.793866798265469953e+01,-5.459853753682530169e+02
2.944999999999999840e+00,-1.564366767528559876e+01,-2.792974901961130030e+01,-5.459862096300530538e+02
3.533999999999999808e+00,-1.563938891978379964e+01,-2.792188023238070116e+01,-5.459868907494470704e+02
4.122999999999999332e+00,-1.563584818819730060e+01,-2.791506162096289501e+01,-5.459874187264319971e+02
4.711999999999999744e+00,-1.563304548052599863e+01,-2.790929318535789960e+01,-5.459877935610099939e+02
5.301000000000000156e+00,-1.563098079677000030e+01,-2.790457492556570074e+01,-5.459880152531800377e+02
5.890000000000000568e+00,-1.562965413692919903e+01,-2.790090684158629841e+01,-5.459880838029420147e+02
6.479000000000000981e+00,-1.562961864227760067e+01,-2.789886894867300171e+01,-5.459878154167180355e+02
7.068000000000001393e+00,-1.563118161352269908e+01,-2.789878347752200227e+01,-5.459871079869629966e+02
7.657000000000001805e+00,-1.563397428981549986e+01,-2.790026375129769676e+01,-5.459860840427290896e+02
8.246000000000002217e+00,-1.563762791030659827e+01,-2.790292309316480157e+01,-5.459848661130710070e+02
8.835000000000002629e+00,-1.564177371414679918e+01,-2.790637482628760324e+01,-5.459835767270400311e+02
9.424000000000003041e+00,-1.564604294048680089e+01,-2.791023227383089989e+01,-5.459823384136889217e+02
1.001300000000000345e+01,-1.565006682847749886e+01,-2.791410875895889632e+01,-5.459812737020710074e+02
1.060200000000000387e+01,-1.565347661726960027e+01,-2.791761760483639776e+01,-5.459805051212390481e+02
1.119100000000000428e+01,-1.565590354601380163e+01,-2.792037213462770140e+01,-5.459801552002459175e+02
1.178000000000000469e+01,-1.565697885386079946e+01,-2.792198567149750232e+01,-5.459803464681440346e+02
1.236900000000000510e+01,-1.565638066493259828e+01,-2.792276370559680032e+01,-5.459821671539090175e+02
1.295800000000000551e+01,-1.565429386848300020e+01,-2.792330981898410158e+01,-5.459862524579459659e+02
1.354700000000000593e+01,-1.565110985136110067e+01,-2.792368447268510323e+01,-5.459920453664529987e+02
1.413600000000000634e+01,-1.564722000041589922e+01,-2.792394812772529988e+01,-5.459989888656280073e+02
1.472500000000000675e+01,-1.564301570249629947e+01,-2.792416124513039932e+01,-5.460065259416670642e+02
1.531400000000000716e+01,-1.563888834445140041e+01,-2.792438428592599919e+01,-5.460140995807679474e+02
1.590300000000000757e+01,-1.563522931313019981e+01,-2.792467771113780017e+01,-5.460211527691290030e+02
1.649200000000000799e+01,-1.563242999538180200e+01,-2.792510198179120096e+01,-5.460271284929469857e+02
1.708100000000000662e+01,-1.563088177805500045e+01,-2.792571755891210117e+01,-5.460314697384189913e+02
1.767000000000000526e+01,-1.563097604799900076e+01,-2.792658490352580003e+01,-5.460336194917430248e+02
1.825900000000000389e+01,-1.563330681014140211e+01,-2.792849502066939849e+01,-5.460340986247870205e+02
1.884800000000000253e+01,-1.563785830757240092e+01,-2.793195306076620099e+01,-5.460339132463029728e+02
1.943700000000000117e+01,-1.564410728438459941e+01,-2.793659070292209989e+01,-5.460332341978149771e+02
2.002599999999999980e+01,-1.565153048467069929e+01,-2.794203962624310122e+01,-5.460322323208459920e+02
2.061499999999999844e+01,-1.565960465252369893e+01,-2.794793150983479890e+01,-5.460310784569210227e+02
2.120399999999999707e+01,-1.566780653203609930e+01,-2.795389803280330199e+01,-5.460299434475640510e+02
2.179299999999999571e+01,-1.567561286730069803e+01,-2.795957087425430387e+01,-5.460289981342970123e+02
2.238199999999999434e+01,-1.568250040241029986e+01,-2.796458171329360098e+01,-5.460284133586450253e+02
2.297099999999999298e+01,-1.568794588145749991e+01,-2.796856222902719935e+01,-5.460283599621320718e+02
2.355999999999999162e+01,-1.569142604853519885e+01,-2.797114410056089895e+01,-5.460290087862820201e+02
2.414899999999999025e+01,-1.569337173216430159e+01,-2.797053703212460007e+01,-5.460302201578620043e+02
