# Time,X,Y,Z
0.000000000000000000e+00,-1.487159543457030075e+01,-2.335876364562989593e+01,-5.481348075866700356e+02
5.889999999999999680e-01,-1.486888514168719944e+01,-2.335515089070250028e+01,-5.481344607814639858e+02
1.177999999999999936e+00,-1.486626659848890064e+01,-2.335162858359289473e+01,-5.481341428289069881e+02
1.766999999999999904e+00,-1.486373980497550029e+01,-2.334819672430120008e+01,-5.481338537290000659e+02
2.355999999999999872e+00,-1.486130476114700016e+01,-2.334485531282730264e+01,-5.481335934817410589e+02
2.944999999999999840e+00,-1.485896146700340026e+01,-2.334160434917129834e+01,-5.481333620871320136e+02
3.533999999999999808e+00,-1.485670992254459932e+01,-2.333844383333320138e+01,-5.481331595451709973e+02
4.122999999999999332e+00,-1.485455012777069861e+01,-2.333537376531290164e+01,-5.481329858558599426e+02
4.711999999999999744e+00,-1.485248208268159864e+01,-2.333239414511039911e+01,-5.481328410191980538e+02
5.301000000000000156e+00,-1.485050578727750015e+01,-2.332950497272580037e+01,-5.481327250351839666e+02
5.890000000000000568e+00,-1.484862124155819885e+01,-2.332670624815910188e+01,-5.481326379038200685e+02
6.479000000000000981e+00,-1.484675333768250027e+01,-2.332387635682339777e+01,-5.481325801171420835e+02
7.068000000000001393e+00,-1.484486034907200036e+01,-2.332094773505960106e+01,-5.481325519485030782e+02
7.657000000000001805e+00,-1.484299234762080211e+01,-2.331800145925879875e+01,-5.481325530698790089e+02
8.246000000000002217e+00,-1.484119940522320036e+01,-2.331511860581210271e+01,-5.481325831532450366e+02
8.835000000000002629e+00,-1.483953159377310094e+01,-2.331238025111070300e+01,-5.481326418705780270e+02
9.424000000000003041e+00,-1.483803898516489994e+01,-2.330986747154570082e+01,-5.481327288938520041e+02
1.001300000000000345e+01,-1.483677165129260089e+01,-2.330766134350830043e+01,-5.481328438950440614e+02
1.060200000000000387e+01,-1.483577966405040094e+01,-2.330584294338969542e+01,-5.481329865461290183e+02
1.119100000000000428e+01,-1.483511309533250078e+01,-2.330449334758100122e+01,-5.481331565190820356e+02
1.178000000000000469e+01,-1.483482201703309933e+01,-2.330369363247330128e+01,-5.481333534858799794e+02
1.236900000000000510e+01,-1.483517931224980124e+01,-2.330360333325469924e+01,-5.481336437568979818e+02
1.295800000000000551e+01,-1.483634563144089924e+01,-2.330423521113249663e+01,-5.481340704810399984e+02
1.354700000000000593e+01,-1.483820269754090049e+01,-2.330545018152709957e+01,-5.481345985880760736e+02
1.413600000000000634e+01,-1.484063223348439919e+01,-2.330710915985880050e+01,-5.481351930077729548e+02
1.472500000000000675e+01,-1.484351596220590075e+01,-2.330907306154799841e+01,-5.481358186699000044e+02
1.531400000000000716e+01,-1.484673560664010061e+01,-2.331120280201490047e+01,-5.481364405042249928e+02
1.590300000000000757e+01,-1.485017288972140115e+01,-2.331335929667989859e+01,-5.481370234405160318e+02
1.649200000000000799e+01,-1.485370953438450137e+01,-2.331540346096339533e+01,-5.481375324085410057e+02
1.708100000000000662e+01,-1.485722726356389956e+01,-2.331719621028560141e+01,-5.481379323380690494e+02
1.767000000000000526e+01,-1.486060780019430183e+01,-2.331859846006700110e+01,-5.481381881588680471e+02
1.825900000000000389e+01,-1.486425280944619942e+01,-2.331975423281659943e+01,-5.481383235653910333e+02
1.884800000000000253e+01,-1.486853044858479933e+01,-2.332087278008610198e+01,-5.481383905366039926e+02
1.943700000000000117e+01,-1.487327217868590168e+01,-2.332191286085929960e+01,-5.481383964290400854e+02
2.002599999999999980e+01,-1.487830946082569916e+01,-2.332283323411989784e+01,-5.481383485992349733e+02
2.061499999999999844e+01,-1.488347375608010026e+01,-2.332359265885169819e+01,-5.481382544037260232e+02
2.120399999999999707e+01,-1.488859652552530122e+01,-2.332414989403860162e+01,-5.481381211990460542e+02
2.179299999999999571e+01,-1.489350923023699913e+01,-2.332446369866430302e+01,-5.481379563417319787e+02
2.238199999999999434e+01,-1.489804333129149860e+01,-2.332449283171260390e+01,-5.481377671883190033e+02
2.297099999999999298e+01,-1.490203028976469923e+01,-2.332419605216730218e+01,-5.481375610953410842e+02
2.355999999999999162e+01,-1.490530156673249884e+01,-2.332353211901219936e+01,-5.481373454193350199e+02
2.414899999999999025e+01,-1.490683674158339933e+01,-2.332114559418719679e+01,-5.481371254944530165e+02
2.473799999999998889e+01,-1.490608355477109903e+01,-2.331610571719950187e+01,-5.481368934720729840e+02
2.532699999999998752e+01,-1.490357570897069905e+01,-2.330900826338410425e+01,-5.481366369345749945e+02
2.591599999999998616e+01,-1.489984690685680135e+01,-2.330044900807590125e+01,-5.481363434643329811e+02
2.650499999999998479e+01,-1.489543085110419973e+01,-2.329102372661000331e+01,-5.481360006437249694e+02
2.709399999999998343e+01,-1.489086124438769865e+01,-2.328132819432119760e+01,-5.481355960551280759e+02
2.768299999999998207e+01,-1.488667178938210078e+01,-2.327195818654470116e+01,-5.481351172809179388e+02
2.827199999999998070e+01,-1.488339618876219994e+01,-2.326350947861530472e+01,-5.481345519034729250e+02
2.886099999999997934e+01,-1.488156814520269933e+01,-2.325657784586789489e+01,-5.481338875051690138e+02
2.944999999999997797e+01,-1.488172136137839985e+01,-2.325175906363769940e+01,-5.481331116683829805e+02
3.003899999999997661e+01,-1.488378036389709891e+01,-2.324825284794999902e+01,-5.481321708803029651e+02
3.062799999999997524e+01,-1.488709452157609903e+01,-2.324488218060389855e+01,-5.481310461946450232e+02
3.121699999999997388e+01,-1.489133480040410085e+01,-2.324167773559519645e+01,-5.481297770435759276e+02
3.180599999999997252e+01,-1.489617216636979968e+01,-2.323867018691949937e+01,-5.481284028592669983e+02
3.239499999999997470e+01,-1.490127758546219816e+01,-2.323589020857260223e+01,-5.481269630738879641e+02
3.298399999999997334e+01,-1.490632202366990100e+01,-2.323336847455010101e+01,-5.481254971196050292e+02
3.357299999999997198e+01,-1.491097644698169944e+01,-2.323113565884769827e+01,-5.481240444285899684e+02
3.416199999999997061e+01,-1.491491182138650018e+01,-2.322922243546110010e+01,-5.481226444330110326e+02
3.475099999999996925e+01,-1.491779911287290084e+01,-2.322765947838610145e+01,-5.481213365650379501e+02
3.533999999999996788e+01,-1.491930928742979923e+01,-2.322647746161819882e+01,-5.481201602568379485e+02
3.592899999999996652e+01,-1.491990132207510023e+01,-2.322553157176819738e+01,-5.481191089473550164e+02
3.651799999999996515e+01,-1.492024129308449965e+01,-2.322466975409289702e+01,-5.481181373142510438e+02
3.710699999999996379e+01,-1.492031081533400005e+01,-2.322391182055660153e+01,-5.481172266477809671e+02
3.769599999999996243e+01,-1.492009150369950099e+01,-2.322327758312369994e+01,-5.481163582381969945e+02
3.828499999999996106e+01,-1.491956497305700147e+01,-2.322278685375880158e+01,-5.481155133757520161e+02
3.887399999999995970e+01,-1.491871283828240102e+01,-2.322245944442630261e+01,-5.481146733507009685e+02
3.946299999999995833e+01,-1.491751671425159920e+01,-2.322231516709060273e+01,-5.481138194532950365e+02
4.005199999999995697e+01,-1.491595821584060033e+01,-2.322237383371619757e+01,-5.481129329737900662e+02
4.064099999999995561e+01,-1.491401895792530041e+01,-2.322265525626750104e+01,-5.481119952024370150e+02
4.122999999999995424e+01,-1.491168055538159898e+01,-2.322317924670910472e+01,-5.481109874294900237e+02
4.181899999999995288e+01,-1.490871934812640021e+01,-2.322395507744699827e+01,-5.481097825077780499e+02
4.240799999999995151e+01,-1.490505688679309770e+01,-2.322496712015210107e+01,-5.481083056257440376e+02
4.299699999999995015e+01,-1.490089260233300017e+01,-2.322619783568570284e+01,-5.481066165770590715e+02
4.358599999999994878e+01,-1.489642592569710011e+01,-2.322762968490929936e+01,-5.481047751553959415e+02
4.417499999999994742e+01,-1.489185628783640070e+01,-2.322924512868450009e+01,-5.481028411544259598e+02
4.476399999999994606e+01,-1.488738311970219819e+01,-2.323102662787249884e+01,-5.481008743678220299e+02
4.535299999999994469e+01,-1.488320585224539983e+01,-2.323295664333489796e+01,-5.480989345892560323e+02
4.594199999999994333e+01,-1.487952391641710115e+01,-2.323501763593310443e+01,-5.480970816123999612e+02
4.653099999999994196e+01,-1.487653674316849894e+01,-2.323719206652850033e+01,-5.480953752309250149e+02
4.711999999999994060e+01,-1.487444376345050046e+01,-2.323946239598259922e+01,-5.480938752385050066e+02
4.770899999999993923e+01,-1.487297305340469755e+01,-2.324186677356039965e+01,-5.480926285093679553e+02
4.829799999999993787e+01,-1.487170920764859972e+01,-2.324448095169299933e+01,-5.480916537800569586e+02
4.888699999999993651e+01,-1.487063643484800046e+01,-2.324734379599120260e+01,-5.480909686377179924e+02
4.947599999999993514e+01,-1.486973894366849969e+01,-2.325049417206570013e+01,-5.480905906694960095e+02
5.006499999999993378e+01,-1.486900094277589979e+01,-2.325397094552739574e+01,-5.480905374625359627e+02
5.065399999999993241e+01,-1.486840664083569941e+01,-2.325781298198679892e+01,-5.480908266039849650e+02
5.124299999999993105e+01,-1.486794024651369739e+01,-2.326205914705489519e+01,-5.480914756809860364e+02
5.183199999999992968e+01,-1.486758596847549896e+01,-2.326674830634230062e+01,-5.480925022806849256e+02
5.242099999999992832e+01,-1.486732801538679993e+01,-2.327191932545979824e+01,-5.480939239902279496e+02
5.300999999999992696e+01,-1.486715059591329968e+01,-2.327761107001819951e+01,-5.480957583967599476e+02
5.359899999999992559e+01,-1.486706686950030054e+01,-2.328379115200840133e+01,-5.480979908443270006e+02
5.418799999999992423e+01,-1.486710052314919928e+01,-2.329040127301439611e+01,-5.481005949522099172e+02
5.477699999999992286e+01,-1.486725155686000122e+01,-2.329744143303619808e+01,-5.481035707204090386e+02
5.536599999999992150e+01,-1.486751997063280051e+01,-2.330491163207369709e+01,-5.481069181489259563e+02
5.595499999999992013e+01,-1.486790576446759893e+01,-2.331281187012699974e+01,-5.481106372377580556e+02
5.654399999999991877e+01,-1.486840893836419752e+01,-2.332114214719610246e+01,-5.481147279869080648e+02
5.713299999999991741e+01,-1.486902949232280058e+01,-2.332990246328089867e+01,-5.481191903963730283e+02
5.772199999999991604e+01,-1.486976742634340098e+01,-2.333909281838149852e+01,-5.481240244661560155e+02
5.831099999999991468e+01,-1.487062274042590104e+01,-2.334871321249780252e+01,-5.481292301962549800e+02
