# Time,X,Y,Z
0.000000000000000000e+00,-6.970476538085929263e+00,-2.208491487548830179e+01,-5.479302062988280113e+02
5.889999999999999680e-01,-6.975237965691389874e+00,-2.208593665253380323e+01,-5.479357715114319944e+02
1.177999999999999936e+00,-6.979626941871589274e+00,-2.208692236180699808e+01,-5.479413416759720121e+02
1.766999999999999904e+00,-6.983643466626540786e+00,-2.208787200330780109e+01,-5.479469167924479507e+02
2.355999999999999872e+00,-6.987287539956230198e+00,-2.208878557703630108e+01,-5.479524968608590143e+02
2.944999999999999840e+00,-6.990559161860679716e+00,-2.208966308299239500e+01,-5.479580818812059988e+02
3.533999999999999808e+00,-6.993458332339869798e+00,-2.209050452117620011e+01,-5.479636718534890178e+02
4.122999999999999332e+00,-6.995985051393809329e+00,-2.209130989158759917e+01,-5.479692667777069346e+02
4.711999999999999744e+00,-6.998139319022500082e+00,-2.209207919422660282e+01,-5.479748666538609996e+02
5.301000000000000156e+00,-6.999921135225941171e+00,-2.209281242909339937e+01,-5.479804714819509854e+02
5.890000000000000568e+00,-7.001330500004120161e+00,-2.209350959618770105e+01,-5.479860812619770059e+02
6.479000000000000981e+00,-7.001970116921410359e+00,-2.209415630212520298e+01,-5.479916800314380225e+02
7.068000000000001393e+00,-7.001619265735769204e+00,-2.209474455058089859e+01,-5.479972589222779789e+02
7.657000000000001805e+00,-7.000542810737639954e+00,-2.209528393714460393e+01,-5.480028285761640063e+02
8.246000000000002217e+00,-6.999005616217449877e+00,-2.209578405740609952e+01,-5.480083996347640323e+02
8.835000000000002629e+00,-6.997272546465628906e+00,-2.209625450695510551e+01,-5.480139827397440513e+02
9.424000000000003041e+00,-6.995608465772599871e+00,-2.209670488138119637e+01,-5.480195885327719907e+02
1.001300000000000345e+01,-6.994278238428809580e+00,-2.209714477627429829e+01,-5.480252276555139588e+02
1.060200000000000387e+01,-6.993546728724679973e+00,-2.209758378722389693e+01,-5.480309107496379966e+02
1.119100000000000428e+01,-6.993678800950629437e+00,-2.209803150982000375e+01,-5.480366484568099850e+02
1.178000000000000469e+01,-6.994939319397110999e+00,-2.209849753965210084e+01,-5.480424514186979650e+02
1.236900000000000510e+01,-6.997018195780910332e+00,-2.209881305860539769e+01,-5.480488772748129804e+02
1.295800000000000551e+01,-6.999385959690929582e+00,-2.209885426821039545e+01,-5.480563576421189964e+02
1.354700000000000593e+01,-7.001978402225820020e+00,-2.209869829352469850e+01,-5.480647141284630379e+02
1.413600000000000634e+01,-7.004731314484209825e+00,-2.209842225960569806e+01,-5.480737683416889467e+02
1.472500000000000675e+01,-7.007580487564730731e+00,-2.209810329151130048e+01,-5.480833418896449984e+02
1.531400000000000716e+01,-7.010461712566010029e+00,-2.209781851429889699e+01,-5.480932563801760580e+02
1.590300000000000757e+01,-7.013310780586690996e+00,-2.209764505302619853e+01,-5.481033334211290367e+02
1.649200000000000799e+01,-7.016063482725400924e+00,-2.209766003275069579e+01,-5.481133946203500500e+02
1.708100000000000662e+01,-7.018655610080768881e+00,-2.209794057853019567e+01,-5.481232615856839629e+02
1.767000000000000526e+01,-7.021022953751429263e+00,-2.209856381542210002e+01,-5.481327559249780279e+02
1.825900000000000389e+01,-7.023203937742070302e+00,-2.210107412594109988e+01,-5.481421665049259673e+02
1.884800000000000253e+01,-7.025274712778799113e+00,-2.210654766864049847e+01,-5.481518541682959267e+02
1.943700000000000117e+01,-7.027227660042450808e+00,-2.211435923263649883e+01,-5.481617484870459975e+02
2.002599999999999980e+01,-7.029055160713830297e+00,-2.212388360704500201e+01,-5.481717790331349534e+02
2.061499999999999844e+01,-7.030749595973750488e+00,-2.213449558098199788e+01,-5.481818753785200897e+02
2.120399999999999707e+01,-7.032303347003019844e+00,-2.214556994356350117e+01,-5.481919670951580201e+02
2.179299999999999571e+01,-7.033708794982450385e+00,-2.215648148390550176e+01,-5.482019837550089960e+02
2.238199999999999434e+01,-7.034958321092860345e+00,-2.216660499112400018e+01,-5.482118549300289487e+02
2.297099999999999298e+01,-7.036044306515059077e+00,-2.217531525433489747e+01,-5.482215101921759697e+02
2.355999999999999162e+01,-7.036959132429861263e+00,-2.218198706265440023e+01,-5.482308791134099692e+02
2.414899999999999025e+01,-7.036579191979550174e+00,-2.218730616828889879e+01,-5.482389935314359946e+02
2.473799999999998889e+01,-7.034109907250339688e+00,-2.219235730637810278e+01,-5.482450530157420872e+02
2.532699999999998752e+01,-7.030037202838839150e+00,-2.219711374043739838e+01,-5.482492387359529857e+02
2.591599999999998616e+01,-7.024847003341709417e+00,-2.220154873398239559e+01,-5.482517318616950206e+02
2.650499999999998479e+01,-7.019025233355590032e+00,-2.220563555052849836e+01,-5.482527135625909978e+02
2.709399999999998343e+01,-7.013057817477110767e+00,-2.220934745359139839e+01,-5.482523650082679296e+02
2.768299999999998207e+01,-7.007430680302920045e+00,-2.221265770668639661e+01,-5.482508673683510096e+02
2.827199999999998070e+01,-7.002629746429651192e+00,-2.221553957332899998e+01,-5.482484018124649765e+02
2.886099999999997934e+01,-6.999140940453949966e+00,-2.221796631703489666e+01,-5.482451495102350236e+02
2.944999999999997797e+01,-6.997450186972459463e+00,-2.221991120131949771e+01,-5.482412916312870266e+02
3.003899999999997661e+01,-6.997841096758519619e+00,-2.222070562442569752e+01,-5.482355237844579960e+02
3.062799999999997524e+01,-6.999953053606730258e+00,-2.221998115277839503e+01,-5.482269255800930523e+02
3.121699999999997388e+01,-7.003305641645639845e+00,-2.221816130216609864e+01,-5.482162541900769384e+02
3.180599999999997252e+01,-7.007418445003800400e+00,-2.221566958837719952e+01,-5.482042667862949656e+02
3.239499999999997470e+01,-7.011811047809759501e+00,-2.221292952719999647e+01,-5.481917205406330140e+02
3.298399999999997334e+01,-7.016003034192049626e+00,-2.221036463442289843e+01,-5.481793726249770771e+02
3.357299999999997198e+01,-7.019513988279230787e+00,-2.220839842583430368e+01,-5.481679802112120115e+02
3.416199999999997061e+01,-7.021863494199839906e+00,-2.220745441722269931e+01,-5.481583004712219918e+02
3.475099999999996925e+01,-7.022571136082420118e+00,-2.220795612437650135e+01,-5.481510905768949442e+02
3.533999999999996788e+01,-7.021156498055530548e+00,-2.221032706308389493e+01,-5.481471077001149297e+02
3.592899999999996652e+01,-7.018520234646840272e+00,-2.221405922842700065e+01,-5.481454583250990709e+02
3.651799999999996515e+01,-7.015883321942629536e+00,-2.221829545909709935e+01,-5.481446150379680375e+02
3.710699999999996379e+01,-7.013245826409320927e+00,-2.222293553629680218e+01,-5.481443841634610408e+02
3.769599999999996243e+01,-7.010607814513339697e+00,-2.222787924122890146e+01,-5.481445720263169505e+02
3.828499999999996106e+01,-7.007969352721119982e+00,-2.223302635509589820e+01,-5.481449849512740684e+02
3.887399999999995970e+01,-7.005330507499100356e+00,-2.223827665910039997e+01,-5.481454292630729697e+02
