# Time,X,Y,Z
0.000000000000000000e+00,-1.785312652587889914e+01,-2.095524978637699931e+01,-5.520917968750000000e+02
9.989999999999999991e-01,-1.785349405096049935e+01,-2.096925815216060229e+01,-5.520911488366699587e+02
1.997999999999999998e+00,-1.785402518646239756e+01,-2.098220205825810325e+01,-5.520904993139649832e+02
2.996999999999999886e+00,-1.785471993238450139e+01,-2.099408150466920020e+01,-5.520898483068849600e+02
3.995999999999999996e+00,-1.785557828872680020e+01,-2.100489649139399972e+01,-5.520891958154300028e+02
4.995000000000000107e+00,-1.785660025548940055e+01,-2.101464701843260130e+01,-5.520885418395999977e+02
5.993999999999999773e+00,-1.785778583267210351e+01,-2.102333308578489834e+01,-5.520878863793949449e+02
6.992999999999999439e+00,-1.785913502027510091e+01,-2.103095469345089796e+01,-5.520872294348149580e+02
7.991999999999999105e+00,-1.786064781829830039e+01,-2.103751184143069963e+01,-5.520865710058590139e+02
8.990999999999999659e+00,-1.786232422674180143e+01,-2.104300452972410085e+01,-5.520859110925290452e+02
9.990000000000000213e+00,-1.786416424560550098e+01,-2.104743275833130056e+01,-5.520852496948240287e+02
1.098900000000000077e+01,-1.786628915830619846e+01,-2.105048082144989863e+01,-5.520845861461000368e+02
1.198800000000000132e+01,-1.786876634451989787e+01,-2.105197332696770118e+01,-5.520839200759990035e+02
1.298700000000000188e+01,-1.787151494863550028e+01,-2.105212074541929823e+01,-5.520832519289499487e+02
1.398600000000000243e+01,-1.787445411504180370e+01,-2.105113354733980202e+01,-5.520825821493830290e+02
1.498500000000000298e+01,-1.787750298812740013e+01,-2.104922220326379900e+01,-5.520819111817270368e+02
1.598400000000000354e+01,-1.788058071228130075e+01,-2.104659718372630195e+01,-5.520812394704120152e+02
1.698300000000000409e+01,-1.788360643189210109e+01,-2.104346895926210337e+01,-5.520805674598680071e+02
1.798200000000000287e+01,-1.788649929134880168e+01,-2.104004800040610235e+01,-5.520798955945219859e+02
1.898100000000000165e+01,-1.788917843504010108e+01,-2.103654477769299902e+01,-5.520792243188060411e+02
1.998000000000000043e+01,-1.789156300735469785e+01,-2.103316976165769958e+01,-5.520785540771479418e+02
2.097899999999999920e+01,-1.789373816236789949e+01,-2.102978775351219909e+01,-5.520778815480309731e+02
2.197799999999999798e+01,-1.789584888469589785e+01,-2.102616410549670078e+01,-5.520772039857739628e+02
2.297699999999999676e+01,-1.789790406453919758e+01,-2.102236011468860255e+01,-5.520765226985669187e+02
2.397599999999999554e+01,-1.789991259209810082e+01,-2.101843707816519924e+01,-5.520758389945970066e+02
2.497499999999999432e+01,-1.790188335757310156e+01,-2.101445629300410189e+01,-5.520751541820550301e+02
2.597399999999999309e+01,-1.790382525116469736e+01,-2.101047905628249879e+01,-5.520744695691280413e+02
2.697299999999999187e+01,-1.790574716307330050e+01,-2.100656666507780201e+01,-5.520737864640050248e+02
