# Time,X,Y,Z
0.000000000000000000e+00,-1.361482238769530007e+01,-1.927490234375000000e+01,-5.528094482421880684e+02
9.989999999999999991e-01,-1.361338480007169949e+01,-1.926999846740720201e+01,-5.528033966748049579e+02
1.997999999999999998e+00,-1.361243946273799921e+01,-1.926524968704219987e+01,-5.527980300219730907e+02
2.996999999999999886e+00,-1.361198637569430048e+01,-1.926065600265500066e+01,-5.527933482836909889e+02
3.995999999999999996e+00,-1.361202553894040079e+01,-1.925621741424560085e+01,-5.527893514599610398e+02
4.995000000000000107e+00,-1.361255695247649911e+01,-1.925193392181400043e+01,-5.527860395507809699e+02
5.993999999999999773e+00,-1.361358061630249949e+01,-1.924780552536010347e+01,-5.527834125561519159e+02
6.992999999999999439e+00,-1.361509653041840018e+01,-1.924383222488399880e+01,-5.527814704760739914e+02
7.991999999999999105e+00,-1.361710469482419938e+01,-1.924001402038570063e+01,-5.527802133105470830e+02
8.990999999999999659e+00,-1.361960510951999836e+01,-1.923635091186519830e+01,-5.527796410595700536e+02
9.990000000000000213e+00,-1.362259777450559817e+01,-1.923284289932249891e+01,-5.527797537231440401e+02
1.098900000000000077e+01,-1.362644772284889960e+01,-1.922940080040550015e+01,-5.527810204798901168e+02
1.198800000000000132e+01,-1.363135775069850020e+01,-1.922597506936299894e+01,-5.527837019845969735e+02
1.298700000000000188e+01,-1.363708450267590067e+01,-1.922262516109649866e+01,-5.527874854515180232e+02
1.398600000000000243e+01,-1.364338462340280067e+01,-1.921941053050730019e+01,-5.527920580949049736e+02
1.498500000000000298e+01,-1.365001475750059790e+01,-1.921639063249680035e+01,-5.527971071290110103e+02
1.598400000000000354e+01,-1.365673154959080016e+01,-1.921362492196639948e+01,-5.528023197680900012e+02
1.698300000000000409e+01,-1.366329164429509824e+01,-1.921117285381739848e+01,-5.528073832263929717e+02
1.798200000000000287e+01,-1.366945168623500173e+01,-1.920909388295139664e+01,-5.528119847181740170e+02
1.898100000000000165e+01,-1.367496832003200069e+01,-1.920744746426949945e+01,-5.528158114576849584e+02
1.998000000000000043e+01,-1.367959819030760116e+01,-1.920629305267330267e+01,-5.528185506591800049e+02
2.097899999999999920e+01,-1.368331185013759921e+01,-1.920660041226249959e+01,-5.528204839731680522e+02
2.197799999999999798e+01,-1.368625243045300088e+01,-1.920899027102489853e+01,-5.528221476503370013e+02
2.297699999999999676e+01,-1.368843544265880041e+01,-1.921299852969429978e+01,-5.528236108052029749e+02
2.397599999999999554e+01,-1.368987639815999913e+01,-1.921816108900419806e+01,-5.528249425522850515e+02
2.497499999999999432e+01,-1.369059080836119868e+01,-1.922401384968839722e+01,-5.528262120061000360e+02
2.597399999999999309e+01,-1.369059418466749989e+01,-1.923009271248049856e+01,-5.528274882811649604e+02
2.697299999999999187e+01,-1.368990203848369802e+01,-1.923593357811429883e+01,-5.528288404919979939e+02
2.797199999999999065e+01,-1.368852988121470027e+01,-1.924107234732329985e+01,-5.528303377531159413e+02
2.897099999999998943e+01,-1.368649322426530190e+01,-1.924504492084130192e+01,-5.528320491790369715e+02
2.996999999999998820e+01,-1.368380757904050071e+01,-1.924738719940189924e+01,-5.528340438842769800e+02
3.096899999999998698e+01,-1.367843644464860020e+01,-1.924867452553789704e+01,-5.528368125712349865e+02
3.196799999999998576e+01,-1.366903139245709831e+01,-1.924975606810719952e+01,-5.528405941729250799e+02
3.296699999999998454e+01,-1.365664004225989991e+01,-1.925057846733119860e+01,-5.528450801497940574e+02
3.396599999999998687e+01,-1.364231001385050135e+01,-1.925108836343130037e+01,-5.528499619622889441e+02
3.496499999999998920e+01,-1.362708892702270091e+01,-1.925123239662880081e+01,-5.528549310708569919e+02
3.596399999999999153e+01,-1.361202440157019922e+01,-1.925095720714499947e+01,-5.528596789359439754e+02
3.696299999999999386e+01,-1.359816405728669864e+01,-1.925020943520139838e+01,-5.528638970179960097e+02
3.796199999999999619e+01,-1.358655551396589978e+01,-1.924893572101930062e+01,-5.528672767774598924e+02
3.896099999999999852e+01,-1.357824639140150147e+01,-1.924708270482000216e+01,-5.528695096747820799e+02
3.996000000000000085e+01,-1.357428430938720076e+01,-1.924459702682499795e+01,-5.528702871704099380e+02
4.095900000000000318e+01,-1.357311716311909855e+01,-1.924136980470489888e+01,-5.528698051657549968e+02
4.195800000000000551e+01,-1.357249493704980203e+01,-1.923744033032019729e+01,-5.528685706313659693e+02
4.295700000000000784e+01,-1.357241838485830066e+01,-1.923297750517619775e+01,-5.528667416313929834e+02
4.395600000000001017e+01,-1.357288826022329964e+01,-1.922815023077849972e+01,-5.528644762299870763e+02
4.495500000000001251e+01,-1.357390531682349888e+01,-1.922312740863239711e+01,-5.528619324912980346e+02
4.595400000000001484e+01,-1.357547030833790025e+01,-1.921807794024350002e+01,-5.528592684794780325e+02
4.695300000000001717e+01,-1.357758398844530134e+01,-1.921317072711730134e+01,-5.528566422586759472e+02
4.795200000000001950e+01,-1.358024711082440206e+01,-1.920857467075910208e+01,-5.528542118930429297e+02
4.895100000000002183e+01,-1.358346042915399998e+01,-1.920445867267450168e+01,-5.528521354467300171e+02
4.995000000000002416e+01,-1.358722469711299929e+01,-1.920099163436889711e+01,-5.528505709838869961e+02
5.094900000000002649e+01,-1.359142838752169880e+01,-1.919777667439560176e+01,-5.528493043356529597e+02
5.194800000000002882e+01,-1.359590991515140068e+01,-1.919442315082619999e+01,-5.528480370855389765e+02
5.294700000000003115e+01,-1.360059494660759860e+01,-1.919110932444370121e+01,-5.528468009262539908e+02
5.394600000000003348e+01,-1.360540914849570093e+01,-1.918801345603089814e+01,-5.528456275505060376e+02
5.494500000000003581e+01,-1.361027818742119955e+01,-1.918531380637089612e+01,-5.528445486510049705e+02
5.594400000000003814e+01,-1.361512772998939980e+01,-1.918318863624670101e+01,-5.528435959204580286e+02
5.694300000000004047e+01,-1.361988344280590013e+01,-1.918181620644120144e+01,-5.528428010515750657e+02
5.794200000000004280e+01,-1.362447099247600057e+01,-1.918137477773730026e+01,-5.528421957370629798e+02
5.894100000000004513e+01,-1.362881604560509885e+01,-1.918204261091799978e+01,-5.528418116696329889e+02
5.994000000000004746e+01,-1.363284426879880229e+01,-1.918399796676639824e+01,-5.528416805419919910e+02
6.093900000000004979e+01,-1.363655729994290056e+01,-1.918667420363869880e+01,-5.528421853162869866e+02
6.193800000000005213e+01,-1.363999340260259885e+01,-1.918938171993210062e+01,-5.528435537507409663e+02
6.293700000000005446e+01,-1.364313318190209934e+01,-1.919211433649019938e+01,-5.528455847321860119e+02
6.393600000000005679e+01,-1.364595724296590085e+01,-1.919486587415649836e+01,-5.528480771474479525e+02
6.493500000000005912e+01,-1.364844619091829969e+01,-1.919763015377489879e+01,-5.528508298833579602e+02
6.593400000000005434e+01,-1.365058063088360107e+01,-1.920040099618889684e+01,-5.528536418267430008e+02
6.693300000000004957e+01,-1.365234116798619901e+01,-1.920317222224230136e+01,-5.528563118644340193e+02
6.793200000000004479e+01,-1.365370840735030100e+01,-1.920593765277860143e+01,-5.528586388832579814e+02
6.893100000000004002e+01,-1.365466295410030106e+01,-1.920869110864169826e+01,-5.528604217700440131e+02
6.993000000000003524e+01,-1.365518541336060032e+01,-1.921142641067500278e+01,-5.528614594116210128e+02
7.092900000000003047e+01,-1.365398349830720015e+01,-1.921414693875830082e+01,-5.528620398513439795e+02
7.192800000000002569e+01,-1.365020495831369907e+01,-1.921686035086489852e+01,-5.528625483155940401e+02
7.292700000000002092e+01,-1.364449045280040096e+01,-1.921956688497899890e+01,-5.528629294657449691e+02
7.392600000000001614e+01,-1.363748064118759906e+01,-1.922226677908500037e+01,-5.528631279631699726e+02
7.492500000000001137e+01,-1.362981618289590102e+01,-1.922496027116710238e+01,-5.528630884692410064e+02
7.592400000000000659e+01,-1.362213773734550060e+01,-1.922764759920960032e+01,-5.528627556453320722e+02
7.692300000000000182e+01,-1.361508596395689885e+01,-1.923032900119689970e+01,-5.528620741528150120e+02
7.792199999999999704e+01,-1.360930152215049915e+01,-1.923300471511330301e+01,-5.528609886530620088e+02
7.892099999999999227e+01,-1.360542507134660006e+01,-1.923567497894289602e+01,-5.528594438074479740e+02
7.991999999999998749e+01,-1.360409727096559962e+01,-1.923834003067019793e+01,-5.528573842773439537e+02
8.091899999999998272e+01,-1.360457090853849849e+01,-1.923890137461020089e+01,-5.528550093453369527e+02
8.191799999999997794e+01,-1.360558745082780163e+01,-1.923584877373509983e+01,-5.528525656262299890e+02
8.291699999999997317e+01,-1.360702057610090066e+01,-1.923006485401500143e+01,-5.528500687797180717e+02
8.391599999999996840e+01,-1.360874396262559927e+01,-1.922243224141980278e+01,-5.528475344654949595e+02
8.491499999999996362e+01,-1.361063128866920025e+01,-1.921383356191969938e+01,-5.528449783432579352e+02
8.591399999999995885e+01,-1.361255623249950020e+01,-1.920515144148449949e+01,-5.528424160726999617e+02
8.691299999999995407e+01,-1.361439247238389960e+01,-1.919726850608430269e+01,-5.528398633135169575e+02
8.791199999999994930e+01,-1.361601368658999966e+01,-1.919106738168910198e+01,-5.528373357254049552e+02
8.891099999999994452e+01,-1.361729355338540159e+01,-1.918743069426889747e+01,-5.528348489680580542e+02
8.990999999999993975e+01,-1.361810575103760002e+01,-1.918724106979369992e+01,-5.528324187011720596e+02
9.090899999999993497e+01,-1.361855554765700127e+01,-1.918976298662190061e+01,-5.528300318750000315e+02
9.190799999999993020e+01,-1.361883242584230125e+01,-1.919367250579830042e+01,-5.528276650000000245e+02
9.290699999999992542e+01,-1.361893638559340047e+01,-1.919896962732310186e+01,-5.528253180761720387e+02
9.390599999999992065e+01,-1.361886742691040020e+01,-1.920565435119630138e+01,-5.528229911035159603e+02
