# Time,X,Y,Z
0.000000000000000000e+00,-1.373638916015629974e+01,-1.829922103881839845e+01,-5.519169921875000000e+02
9.989999999999999991e-01,-1.373554582632060139e+01,-1.829885500867839809e+01,-5.519173171673579645e+02
1.997999999999999998e+00,-1.373450332748410041e+01,-1.829828332550049907e+01,-5.519178340136720635e+02
2.996999999999999886e+00,-1.373326166364670087e+01,-1.829750598928450245e+01,-5.519185427264400232e+02
3.995999999999999996e+00,-1.373182083480830151e+01,-1.829652300003050058e+01,-5.519194433056640037e+02
4.995000000000000107e+00,-1.373018084096909952e+01,-1.829533435773850059e+01,-5.519205357513429817e+02
5.993999999999999773e+00,-1.372834168212890127e+01,-1.829394006240839943e+01,-5.519218200634770710e+02
6.992999999999999439e+00,-1.372630335828780090e+01,-1.829234011404039961e+01,-5.519232962420650210e+02
7.991999999999999105e+00,-1.372406586944580020e+01,-1.829053451263430219e+01,-5.519249642871089918e+02
8.990999999999999659e+00,-1.372162921560290094e+01,-1.828852325819019953e+01,-5.519268241986079602e+02
9.990000000000000213e+00,-1.371899339675900009e+01,-1.828630635070799926e+01,-5.519288759765619261e+02
1.098900000000000077e+01,-1.371581641326080003e+01,-1.828358099849189600e+01,-5.519314341347879918e+02
1.198800000000000132e+01,-1.371190826530080109e+01,-1.828017898393300200e+01,-5.519346734031829556e+02
1.298700000000000188e+01,-1.370749695264800039e+01,-1.827630216816189801e+01,-5.519383841058700000e+02
1.398600000000000243e+01,-1.370281047507119965e+01,-1.827215241230919673e+01,-5.519423565669709433e+02
1.498500000000000298e+01,-1.369807683233949902e+01,-1.826793157750559971e+01,-5.519463811106089679e+02
1.598400000000000354e+01,-1.369352402422180148e+01,-1.826384152488169832e+01,-5.519502480609060058e+02
1.698300000000000409e+01,-1.368938005048709883e+01,-1.826008411556799871e+01,-5.519537477419850120e+02
1.798200000000000287e+01,-1.368587291090429936e+01,-1.825686121069530188e+01,-5.519566704779670090e+02
1.898100000000000165e+01,-1.368323060524230073e+01,-1.825437467139419923e+01,-5.519588065929759750e+02
