# Time,X,Y,Z
0.000000000000000000e+00,-3.126722710571290165e+01,-3.107155965393069863e+01,-5.449378280639649574e+02
9.989999999999999991e-01,-3.126656900390129934e+01,-3.107585504300320167e+01,-5.449333204224459450e+02
1.997999999999999998e+00,-3.126666262402999763e+01,-3.107955807441669904e+01,-5.449292504531949817e+02
2.996999999999999886e+00,-3.126750796609880112e+01,-3.108266874817120140e+01,-5.449256181562119536e+02
3.995999999999999996e+00,-3.126910503010789810e+01,-3.108518706426670164e+01,-5.449224235314979978e+02
4.995000000000000107e+00,-3.127145381605710028e+01,-3.108711302270319976e+01,-5.449196665790530005e+02
5.993999999999999773e+00,-3.127455432394659951e+01,-3.108844662348059984e+01,-5.449173472988760523e+02
6.992999999999999439e+00,-3.127840655377619683e+01,-3.108918786659910083e+01,-5.449154656909670393e+02
7.991999999999999105e+00,-3.128301050554610185e+01,-3.108933675205850022e+01,-5.449140217553269849e+02
8.990999999999999659e+00,-3.128836617925610142e+01,-3.108889327985900053e+01,-5.449130154919549796e+02
9.990000000000000213e+00,-3.129447357490639803e+01,-3.108785745000039924e+01,-5.449124469008519327e+02
1.098900000000000077e+01,-3.130200872891439801e+01,-3.108566835038239873e+01,-5.449124601236080707e+02
1.198800000000000132e+01,-3.131134721706790103e+01,-3.108201436317130018e+01,-5.449131352388830010e+02
1.298700000000000188e+01,-3.132203834842160362e+01,-3.107726942976749740e+01,-5.449143761522850582e+02
1.398600000000000243e+01,-3.133363143203060019e+01,-3.107180749157119592e+01,-5.449160867694199624e+02
1.498500000000000298e+01,-3.134567577694970097e+01,-3.106600248998280023e+01,-5.449181709958940019e+02
1.598400000000000354e+01,-3.135772069223389735e+01,-3.106022836640250162e+01,-5.449205327373140335e+02
1.698300000000000409e+01,-3.136931548693809901e+01,-3.105485906223070103e+01,-5.449230758992870278e+02
1.798200000000000287e+01,-3.138000947011719788e+01,-3.105026851886769634e+01,-5.449257043874180226e+02
1.898100000000000165e+01,-3.138935195082620311e+01,-3.104683067771379967e+01,-5.449283221073150116e+02
1.998000000000000043e+01,-3.139689223812000307e+01,-3.104491948016930181e+01,-5.449308329645850790e+02
2.097899999999999920e+01,-3.140327470715890001e+01,-3.104426931533210166e+01,-5.449334294170570274e+02
2.197799999999999798e+01,-3.140937602831800035e+01,-3.104433171147379866e+01,-5.449363119535739770e+02
2.297699999999999676e+01,-3.141509395347460298e+01,-3.104505631875460026e+01,-5.449393965262549955e+02
2.397599999999999554e+01,-3.142032623450610274e+01,-3.104639278733489860e+01,-5.449425990872209695e+02
2.497499999999999432e+01,-3.142497062328979851e+01,-3.104829076737519600e+01,-5.449458355885909668e+02
2.597399999999999309e+01,-3.142892487170309934e+01,-3.105069990903560040e+01,-5.449490219824849646e+02
2.697299999999999187e+01,-3.143208673162320110e+01,-3.105356986247680240e+01,-5.449520742210239632e+02
2.797199999999999065e+01,-3.143435395492750217e+01,-3.105685027785889574e+01,-5.449549082563279399e+02
2.897099999999998943e+01,-3.143562429349329790e+01,-3.106049080534249640e+01,-5.449574400405159622e+02
2.996999999999998820e+01,-3.143579549919789784e+01,-3.106444109508780116e+01,-5.449595855257090307e+02
3.096899999999998698e+01,-3.143527285288489992e+01,-3.106965245796850184e+01,-5.449611669949459838e+02
3.196799999999998576e+01,-3.143453867331150065e+01,-3.107675523709290033e+01,-5.449621082753250221e+02
3.296699999999998454e+01,-3.143360626922610379e+01,-3.108521763097279944e+01,-5.449624776350530055e+02
