# Time,X,Y,Z
0.000000000000000000e+00,-3.472896575927730112e+01,-1.646813964843750000e+01,-4.392599487304689774e+02
8.980000000000000204e-01,-3.473676035493850378e+01,-1.647147237060550040e+01,-4.392556510649109782e+02
1.796000000000000041e+00,-3.474387889495849890e+01,-1.647434389144899924e+01,-4.392516251794429536e+02
2.693999999999999950e+00,-3.475032137933730070e+01,-1.647675421096800008e+01,-4.392478710740659835e+02
3.592000000000000082e+00,-3.475608780807500153e+01,-1.647870332916259883e+01,-4.392443887487789880e+02
4.490000000000000213e+00,-3.476117818117139535e+01,-1.648019124603269958e+01,-4.392411782035829901e+02
5.387999999999999901e+00,-3.476559249862670242e+01,-1.648121796157840180e+01,-4.392382394384770237e+02
6.285999999999999588e+00,-3.476933076044080195e+01,-1.648178347579959890e+01,-4.392355724534609749e+02
7.183999999999999275e+00,-3.477239296661380052e+01,-1.648188778869630156e+01,-4.392331772485350143e+02
8.081999999999998963e+00,-3.477477911714549919e+01,-1.648153090026859857e+01,-4.392310538237000515e+02
8.979999999999998650e+00,-3.477648921203609689e+01,-1.648071281051640113e+01,-4.392292021789550063e+02
9.877999999999998337e+00,-3.477701537092740125e+01,-1.647880314762329945e+01,-4.392277779522879655e+02
1.077599999999999802e+01,-3.477607543806490042e+01,-1.647545170502460010e+01,-4.392268676092489841e+02
1.167399999999999771e+01,-3.477400800035400152e+01,-1.647107873059790251e+01,-4.392263673911779733e+02
1.257199999999999740e+01,-3.477115164470010455e+01,-1.646610447222089846e+01,-4.392261735394159814e+02
1.346999999999999709e+01,-3.476784495800870189e+01,-1.646094917777119804e+01,-4.392261822953059891e+02
1.436799999999999677e+01,-3.476442652718510118e+01,-1.645603309512640067e+01,-4.392262899001889878e+02
1.526599999999999646e+01,-3.476123493913469531e+01,-1.645177647216419814e+01,-4.392263925954049455e+02
1.616399999999999793e+01,-3.475860878076310456e+01,-1.644859955676209751e+01,-4.392263866222979800e+02
1.706199999999999761e+01,-3.475688663897550157e+01,-1.644692259679780122e+01,-4.392261682222070363e+02
1.795999999999999730e+01,-3.475640710067749950e+01,-1.644716584014889804e+01,-4.392256336364749814e+02
1.885799999999999699e+01,-3.475772476371420083e+01,-1.644853964046080108e+01,-4.392244685245229903e+02
1.975599999999999667e+01,-3.476081209162289554e+01,-1.644997383481180364e+01,-4.392225579157209836e+02
2.065399999999999636e+01,-3.476513446984660050e+01,-1.645146789622920025e+01,-4.392200971063319912e+02
2.155199999999999605e+01,-3.477015728382869497e+01,-1.645302129774039912e+01,-4.392172813926209756e+02
2.244999999999999574e+01,-3.477534591901229533e+01,-1.645463351237269833e+01,-4.392143060708489770e+02
2.334799999999999542e+01,-3.478016576084060318e+01,-1.645630401315339952e+01,-4.392113664372810149e+02
2.424599999999999511e+01,-3.478408219475689833e+01,-1.645803227310990025e+01,-4.392086577881800054e+02
2.514399999999999480e+01,-3.478656060620429713e+01,-1.645981776526929963e+01,-4.392063754198090351e+02
2.604199999999999449e+01,-3.478706638062610068e+01,-1.646165996265909826e+01,-4.392047146284310202e+02
2.693999999999999417e+01,-3.478506490346549640e+01,-1.646355833830659776e+01,-4.392038707103099568e+02
2.783799999999999386e+01,-3.478127122984219710e+01,-1.646548500139190097e+01,-4.392056110866409995e+02
2.873599999999999355e+01,-3.477685022635460399e+01,-1.646741239557130143e+01,-4.392110271323799680e+02
2.963399999999999324e+01,-3.477194199566319810e+01,-1.646934049558599966e+01,-4.392193000744300093e+02
3.053199999999999292e+01,-3.476668664042880152e+01,-1.647126927617730274e+01,-4.392296111396939864e+02
3.142999999999999261e+01,-3.476122426331220083e+01,-1.647319871208640052e+01,-4.392411415550749894e+02
3.232799999999999585e+01,-3.475569496697399785e+01,-1.647512877805450060e+01,-4.392530725474759947e+02
3.322599999999999909e+01,-3.475023885407509994e+01,-1.647705944882290297e+01,-4.392645853437999790e+02
3.412400000000000233e+01,-3.474499602727600234e+01,-1.647899069913290049e+01,-4.392748611709500324e+02
3.502200000000000557e+01,-3.474010658923749872e+01,-1.648092250372550183e+01,-4.392830812558290177e+02
3.592000000000000881e+01,-3.473571064262039698e+01,-1.648285483734219881e+01,-4.392884268253410482e+02
3.681800000000001205e+01,-3.473170083958350318e+01,-1.648480970096469989e+01,-4.392909489739759579e+02
3.771600000000001529e+01,-3.472784986985860201e+01,-1.648680168096640131e+01,-4.392915584449790458e+02
3.861400000000001853e+01,-3.472411789246559977e+01,-1.648881963017580077e+01,-4.392907259383830478e+02
3.951200000000002177e+01,-3.472046506642460173e+01,-1.649085240142169795e+01,-4.392889221542220071e+02
4.041000000000002501e+01,-3.471685155075550000e+01,-1.649288884753270068e+01,-4.392866177925290003e+02
4.130800000000002825e+01,-3.471323750447839984e+01,-1.649491782133739903e+01,-4.392842835533360244e+02
4.220600000000003149e+01,-3.470958308661339942e+01,-1.649692817566440084e+01,-4.392823901366789983e+02
4.310400000000003473e+01,-3.470584845618029846e+01,-1.649890876334230327e+01,-4.392814082425879860e+02
4.400200000000003797e+01,-3.470199377219930170e+01,-1.650084843719989891e+01,-4.392818085710990204e+02
4.490000000000004121e+01,-3.469797919369030126e+01,-1.650273605006569966e+01,-4.392840618222440412e+02
4.579800000000004445e+01,-3.469301251944519748e+01,-1.650346984403260109e+01,-4.392894519983950090e+02
4.669600000000004769e+01,-3.468658760198930224e+01,-1.650221706857180237e+01,-4.392982680823110400e+02
4.759400000000005093e+01,-3.467909368094310452e+01,-1.649937008757889956e+01,-4.393094882446040401e+02
4.849200000000005417e+01,-3.467091999592710039e+01,-1.649532126494990081e+01,-4.393220906558869956e+02
4.939000000000005741e+01,-3.466245578656170068e+01,-1.649046296458050165e+01,-4.393350534867730062e+02
5.028800000000006065e+01,-3.465409029246740147e+01,-1.648518755036650063e+01,-4.393473549078739779e+02
5.118600000000006389e+01,-3.464621275326460648e+01,-1.647988738620360039e+01,-4.393579730898039770e+02
5.208400000000006713e+01,-3.463921240857389705e+01,-1.647495483598759947e+01,-4.393658862031740000e+02
5.298200000000007037e+01,-3.463347849801559875e+01,-1.647078226361439945e+01,-4.393700724185990225e+02
5.388000000000007361e+01,-3.462940026121020054e+01,-1.646776203297980246e+01,-4.393695099066899843e+02
5.477800000000007685e+01,-3.462773218935860342e+01,-1.646552035362859812e+01,-4.393661703472660065e+02
5.567600000000008009e+01,-3.462858208149760486e+01,-1.646344425598999806e+01,-4.393627141444280255e+02
5.657400000000008333e+01,-3.463136913900169844e+01,-1.646156733528519922e+01,-4.393591525552130292e+02
