# Time,X,Y,Z
0.000000000000000000e+00,-3.575883102416990056e+01,-3.044464874267579901e+01,-5.433654174804689774e+02
7.970000000000000417e-01,-3.575407025268550143e+01,-3.044596583747859952e+01,-5.433579534619140077e+02
1.594000000000000083e+00,-3.575145555450439616e+01,-3.044711795997620030e+01,-5.433510117236329506e+02
2.391000000000000014e+00,-3.575098692962649949e+01,-3.044810511016849830e+01,-5.433445922656250104e+02
3.188000000000000167e+00,-3.575266437805179720e+01,-3.044892728805539761e+01,-5.433386950878909829e+02
3.985000000000000320e+00,-3.575648789978029640e+01,-3.044958449363710073e+01,-5.433333201904299585e+02
4.782000000000000028e+00,-3.576490659497800095e+01,-3.044989336836619742e+01,-5.433288779098879786e+02
5.578999999999999737e+00,-3.577792046364490375e+01,-3.044985391224279780e+01,-5.433253682462650431e+02
6.375999999999999446e+00,-3.579185585553199900e+01,-3.044974116308769752e+01,-5.433221756945929428e+02
7.172999999999999154e+00,-3.580303912039050118e+01,-3.044983015872179877e+01,-5.433186847499030137e+02
7.969999999999998863e+00,-3.580779660797119845e+01,-3.045039593696590075e+01,-5.433142799072270464e+02
8.766999999999999460e+00,-3.580767305388960153e+01,-3.045307677821260128e+01,-5.433044691673869693e+02
9.564000000000000057e+00,-3.580674888248770316e+01,-3.045836510708119960e+01,-5.432883849806170247e+02
1.036100000000000065e+01,-3.580515397660619925e+01,-3.046481717773349729e+01,-5.432708485160619603e+02
1.115800000000000125e+01,-3.580301821908579996e+01,-3.047098924433100109e+01,-5.432566809428659553e+02
1.195500000000000185e+01,-3.580047149276729357e+01,-3.047543756103519996e+01,-5.432507034301760314e+02
1.275200000000000244e+01,-3.579759354802759930e+01,-3.047807001889279732e+01,-5.432519881174609964e+02
1.354900000000000304e+01,-3.579441001736089589e+01,-3.047968550207449923e+01,-5.432555180032969702e+02
1.434600000000000364e+01,-3.579096960678439387e+01,-3.048017675442769914e+01,-5.432599805454919988e+02
1.514300000000000423e+01,-3.578732102231529666e+01,-3.047943651979969815e+01,-5.432640632018490123e+02
1.594000000000000483e+01,-3.578351296997070108e+01,-3.047735754203800340e+01,-5.432664534301760568e+02
1.673700000000000543e+01,-3.577606354128440103e+01,-3.047279382605649900e+01,-5.432672515041590486e+02
1.753400000000000603e+01,-3.576384481155370310e+01,-3.046569829193010293e+01,-5.432676593147200492e+02
1.833100000000000662e+01,-3.575043646244120055e+01,-3.045761205624690149e+01,-5.432680167455170022e+02
1.912800000000000722e+01,-3.573941817560940137e+01,-3.045007623559530430e+01,-5.432686636802050089e+02
1.992500000000000782e+01,-3.573436963272089884e+01,-3.044463194656369609e+01,-5.432699400024409897e+02
2.072200000000000841e+01,-3.574030707407279550e+01,-3.044248753342189673e+01,-5.432722181415959994e+02
2.151900000000000901e+01,-3.575604456431550204e+01,-3.044264942200830149e+01,-5.432755040763320267e+02
2.231600000000000961e+01,-3.577585852164170177e+01,-3.044335585126439980e+01,-5.432795880142440410e+02
2.311300000000001020e+01,-3.579402536424399983e+01,-3.044284506013180192e+01,-5.432842601629289447e+02
