# Time,X,Y,Z
0.000000000000000000e+00,2.794501113891600141e+01,-1.848747253417969816e+01,-5.328867187500000000e+02
1.012000000000000011e+00,2.795202282043460329e+01,-1.849467449691769971e+01,-5.328810588110350182e+02
2.024000000000000021e+00,2.795721634353640184e+01,-1.850068306152340014e+01,-5.328775309838870271e+02
3.036000000000000032e+00,2.796059170822139706e+01,-1.850549822799679944e+01,-5.328761352685550037e+02
4.048000000000000043e+00,2.796214891448969908e+01,-1.850911999633789762e+01,-5.328768716650389479e+02
5.060000000000000497e+00,2.796188796234130081e+01,-1.851154836654660230e+01,-5.328797401733401102e+02
6.072000000000000952e+00,2.795942753588230190e+01,-1.851274388536520021e+01,-5.328861266362380320e+02
7.084000000000001407e+00,2.795476763511280183e+01,-1.851270655279369848e+01,-5.328960310537329406e+02
8.096000000000001862e+00,2.794848023387350011e+01,-1.851149554871869896e+01,-5.329073746616539893e+02
9.108000000000002316e+00,2.794113730600489731e+01,-1.850917005302710194e+01,-5.329180786958299905e+02
1.012000000000000277e+01,2.793331082534789900e+01,-1.850578924560549865e+01,-5.329260643920900975e+02
1.113200000000000323e+01,2.792451203938160020e+01,-1.849972569180289739e+01,-5.329313498944509320e+02
1.214400000000000368e+01,2.791447130814550093e+01,-1.849067491208959879e+01,-5.329353043977629341e+02
1.315600000000000414e+01,2.790408927432069675e+01,-1.848068051903399933e+01,-5.329378757141040523e+02
1.416800000000000459e+01,2.789426658058810204e+01,-1.847178612520469798e+01,-5.329390116555499617e+02
1.518000000000000504e+01,2.788590386962889767e+01,-1.846603534317019779e+01,-5.329386600341799749e+02
1.619200000000000372e+01,2.788070877142930115e+01,-1.846345075785630030e+01,-5.329354887500790028e+02
1.720400000000000418e+01,2.787856992321110283e+01,-1.846265996337039894e+01,-5.329287999778809990e+02
1.821600000000000463e+01,2.787765947850860115e+01,-1.846361408605310217e+01,-5.329194929414840090e+02
1.922800000000000509e+01,2.787614959085610522e+01,-1.846626425224519963e+01,-5.329084668647850549e+02
2.024000000000000554e+01,2.787221241378779979e+01,-1.847056158828739925e+01,-5.328966209716800222e+02
2.125200000000000600e+01,2.786427302747289758e+01,-1.847682387009150062e+01,-5.328799821067279936e+02
2.226400000000000645e+01,2.785314843156249864e+01,-1.848474845463260152e+01,-5.328566602254959435e+02
2.327600000000000691e+01,2.784059865881450335e+01,-1.849335583984570164e+01,-5.328306792183900598e+02
2.428800000000000736e+01,2.782838374198660247e+01,-1.850166652366589659e+01,-5.328060629758169853e+02
2.530000000000000782e+01,2.781826371383669994e+01,-1.850870100402829976e+01,-5.327868353881839312e+02
2.631200000000000827e+01,2.781210897082529954e+01,-1.851300621386819856e+01,-5.327839799116039785e+02
2.732400000000000873e+01,2.781006932581280111e+01,-1.851479410417130111e+01,-5.327982676054920148e+02
2.833600000000000918e+01,2.781132393615609999e+01,-1.851558269994889727e+01,-5.328184037652099505e+02
2.934800000000000963e+01,2.781505195921199913e+01,-1.851689002621180080e+01,-5.328330936861169675e+02
3.036000000000001009e+01,2.782043255233760348e+01,-1.852023410797119851e+01,-5.328310426635739532e+02
3.137200000000001054e+01,2.784101191151260224e+01,-1.853386621165019932e+01,-5.328030778266120251e+02
3.238400000000000745e+01,2.788137197014619773e+01,-1.855899719619320010e+01,-5.327563132534470469e+02
3.339600000000000790e+01,2.792724549174000259e+01,-1.858658447539330183e+01,-5.327038846632169680e+02
3.440800000000000836e+01,2.796436523979529909e+01,-1.860758546304349892e+01,-5.326589277750570091e+02
3.542000000000000881e+01,2.797846397781369632e+01,-1.861295757293699893e+01,-5.326345783081050058e+02
3.643200000000000927e+01,2.796742023915109954e+01,-1.860557871718839706e+01,-5.326254485579570428e+02
3.744400000000000972e+01,2.794377620678750063e+01,-1.859539634289039967e+01,-5.326176468285019610e+02
3.845600000000001017e+01,2.791526011866060131e+01,-1.858397216630310211e+01,-5.326115528513179243e+02
3.946800000000001063e+01,2.788960021270809975e+01,-1.857286790368669926e+01,-5.326075463579840061e+02
4.048000000000001108e+01,2.787452472686770122e+01,-1.856364527130130071e+01,-5.326060070800779158e+02
4.149200000000001154e+01,2.786776472319549924e+01,-1.855573844721510213e+01,-5.326062575511930390e+02
4.250400000000001199e+01,2.786217301897580256e+01,-1.854786197017289950e+01,-5.326071150627369661e+02
4.351600000000001245e+01,2.785816048498819697e+01,-1.854049809744989830e+01,-5.326082014830099070e+02
4.452800000000001290e+01,2.785613799201230023e+01,-1.853412908632100198e+01,-5.326091386803140040e+02
4.554000000000001336e+01,2.785651641082760221e+01,-1.852923719406130232e+01,-5.326095485229490123e+02
4.655200000000001381e+01,2.786377718109829971e+01,-1.852938633150930059e+01,-5.326068979876770300e+02
4.756400000000001427e+01,2.787830141907880233e+01,-1.853547779181380051e+01,-5.326006377812150276e+02
4.857600000000001472e+01,2.789434951043410393e+01,-1.854399990571469914e+01,-5.325933653668039369e+02
4.958800000000001518e+01,2.790618184082909892e+01,-1.855144100395230211e+01,-5.325876782076829841e+02
5.060000000000001563e+01,2.790805879592899785e+01,-1.855428941726680137e+01,-5.325861737670900311e+02
5.161200000000001609e+01,2.789738427989639646e+01,-1.855289173718869833e+01,-5.326059425688059719e+02
5.262400000000001654e+01,2.787855936794739620e+01,-1.854998282271319709e+01,-5.326515655393209272e+02
5.363600000000001700e+01,2.785634020232639685e+01,-1.854563340577810138e+01,-5.327068757459420567e+02
5.464800000000001745e+01,2.783548292527800072e+01,-1.853991421832089870e+01,-5.327557062559729957e+02
5.566000000000001791e+01,2.782074367904660050e+01,-1.853289599227910145e+01,-5.327818901367189710e+02
5.667200000000001836e+01,2.781097090070860389e+01,-1.852265198913569932e+01,-5.327896044256430059e+02
5.768400000000001882e+01,2.780230688903670000e+01,-1.850893469031580096e+01,-5.327948734473419563e+02
5.869600000000001927e+01,2.779544857882019926e+01,-1.849433365767029969e+01,-5.327993011998220254e+02
5.970800000000001972e+01,2.779109290484829842e+01,-1.848143845304999999e+01,-5.328044916810929408e+02
6.072000000000002018e+01,2.778993680191040028e+01,-1.847283863830569928e+01,-5.328120488891598825e+02
6.173200000000002063e+01,2.779486033079599849e+01,-1.846851791472450088e+01,-5.328241095957749849e+02
6.274400000000002109e+01,2.780562906497180009e+01,-1.846659174646499935e+01,-5.328393230433799772e+02
6.375600000000002154e+01,2.781826820824310431e+01,-1.846684733968480074e+01,-5.328540619360170467e+02
