# Time,X,Y,Z
0.000000000000000000e+00,-3.754873700000000269e+01,-3.361550499999999886e+01,-4.780573699999999917e+02
7.510000000000000009e-01,-3.754289599999999893e+01,-3.361517700000000275e+01,-4.780595400000000268e+02
1.502000000000000002e+00,-3.753804799999999631e+01,-3.361364400000000074e+01,-4.780608200000000352e+02
2.253000000000000114e+00,-3.753419500000000397e+01,-3.361090499999999537e+01,-4.780612199999999916e+02
3.004000000000000004e+00,-3.753133400000000108e+01,-3.360695599999999672e+01,-4.780607599999999593e+02
3.754999999999999893e+00,-3.752946500000000185e+01,-3.360180700000000087e+01,-4.780593999999999824e+02
4.506000000000000227e+00,-3.752904000000000195e+01,-3.359463499999999669e+01,-4.780568999999999846e+02
5.257000000000000561e+00,-3.753005999999999887e+01,-3.358544499999999999e+01,-4.780532499999999914e+02
6.008000000000000895e+00,-3.753184999999999860e+01,-3.357545499999999805e+01,-4.780488599999999906e+02
6.759000000000001229e+00,-3.753372600000000148e+01,-3.356588699999999648e+01,-4.780441000000000145e+02
7.510000000000001563e+00,-3.753502000000000294e+01,-3.355795999999999424e+01,-4.780393400000000383e+02
8.261000000000001009e+00,-3.753571999999999775e+01,-3.355174300000000187e+01,-4.780332599999999843e+02
9.012000000000000455e+00,-3.753628499999999946e+01,-3.354656599999999855e+01,-4.780251999999999839e+02
9.762999999999999901e+00,-3.753672399999999953e+01,-3.354256399999999871e+01,-4.780165000000000077e+02
1.051399999999999935e+01,-3.753705000000000069e+01,-3.353985999999999734e+01,-4.780084499999999821e+02
1.126499999999999879e+01,-3.753726599999999536e+01,-3.353857999999999606e+01,-4.780024000000000228e+02
1.201599999999999824e+01,-3.753531999999999869e+01,-3.354047399999999612e+01,-4.780050700000000461e+02
1.276699999999999768e+01,-3.753037299999999732e+01,-3.354575300000000482e+01,-4.780183000000000106e+02
1.351799999999999713e+01,-3.752424600000000510e+01,-3.355225999999999686e+01,-4.780362000000000080e+02
1.426899999999999658e+01,-3.751877199999999846e+01,-3.355782700000000318e+01,-4.780527000000000157e+02
1.501999999999999602e+01,-3.751578500000000105e+01,-3.356029500000000354e+01,-4.780619200000000433e+02
1.577099999999999547e+01,-3.751903499999999525e+01,-3.355891400000000147e+01,-4.780587799999999561e+02
1.652199999999999491e+01,-3.752814500000000209e+01,-3.355537400000000048e+01,-4.780465400000000500e+02
1.727299999999999613e+01,-3.753873000000000104e+01,-3.355114000000000374e+01,-4.780317400000000134e+02
1.802399999999999736e+01,-3.754641699999999815e+01,-3.354768800000000084e+01,-4.780208999999999833e+02
1.877499999999999858e+01,-3.754682499999999834e+01,-3.354649400000000270e+01,-4.780205400000000395e+02
1.952599999999999980e+01,-3.754207000000000249e+01,-3.354828300000000496e+01,-4.780341999999999985e+02
2.027700000000000102e+01,-3.753721999999999781e+01,-3.355197000000000429e+01,-4.780569199999999910e+02
2.102800000000000225e+01,-3.753233699999999828e+01,-3.355630999999999631e+01,-4.780822999999999752e+02
2.177900000000000347e+01,-3.752747700000000464e+01,-3.356005499999999842e+01,-4.781040599999999472e+02
