# Time,X,Y,Z
0.000000000000000000e+00,3.322924041748050428e+01,-3.237252807617189632e+01,-5.392601318359380684e+02
1.056999999999999940e+00,3.319123301712039620e+01,-3.240989255310059747e+01,-5.392696304248049728e+02
2.113999999999999879e+00,3.316058487915039876e+01,-3.243879914764399786e+01,-5.392781629345699912e+02
3.170999999999999819e+00,3.313729600357059724e+01,-3.245924785980219696e+01,-5.392857293652340331e+02
4.227999999999999758e+00,3.312136639038089925e+01,-3.247123868957520187e+01,-5.392923297167969849e+02
5.285000000000000142e+00,3.311279603958129769e+01,-3.247477163696289892e+01,-5.392979639892579371e+02
6.342000000000000526e+00,3.311369029212399795e+01,-3.246805035924260352e+01,-5.393019534551119705e+02
7.399000000000000909e+00,3.312404914800890054e+01,-3.245107485641430145e+01,-5.393042981143589714e+02
8.456000000000001293e+00,3.314071459580789991e+01,-3.242653964256210486e+01,-5.393060160582570006e+02
9.513000000000001677e+00,3.316052862409280522e+01,-3.239713923177009747e+01,-5.393081253780650286e+02
1.057000000000000206e+01,3.318033322143549668e+01,-3.236556813812260458e+01,-5.393116441650389561e+02
1.162700000000000244e+01,3.320172023276919759e+01,-3.230995373258630110e+01,-5.393440104644849953e+02
1.268400000000000283e+01,3.322638695820069898e+01,-3.222192366955349740e+01,-5.394147122377040660e+02
1.374100000000000321e+01,3.325133356906280113e+01,-3.212442288824560421e+01,-5.394978424499490757e+02
1.479800000000000360e+01,3.327356023668819773e+01,-3.204039632788419567e+01,-5.395674940664739552e+02
1.585500000000000398e+01,3.329006713240950432e+01,-3.199278892769110172e+01,-5.395977600525330899e+02
1.691200000000000259e+01,3.329626201754689419e+01,-3.203594187951370031e+01,-5.395567907427470118e+02
1.796900000000000119e+01,3.329337086781330157e+01,-3.216993459140270062e+01,-5.394561238149429983e+02
1.902599999999999980e+01,3.328712117613130061e+01,-3.233631932688410160e+01,-5.393349332491800396e+02
2.008299999999999841e+01,3.328324043542300359e+01,-3.247664834948430013e+01,-5.392323930255209916e+02
2.113999999999999702e+01,3.328745613861079988e+01,-3.253247392272950123e+01,-5.391876771240230255e+02
2.219699999999999562e+01,3.329819422123190265e+01,-3.251696363560110115e+01,-5.391871355783180206e+02
2.325399999999999423e+01,3.330974841980380319e+01,-3.248872842809460337e+01,-5.391894923565270119e+02
2.431099999999999284e+01,3.332164792871910208e+01,-3.245748559025700075e+01,-5.391924823404499421e+02
2.536799999999999145e+01,3.333342194237069833e+01,-3.243295241213539981e+01,-5.391938404118859580e+02
2.642499999999999005e+01,3.334459965515139857e+01,-3.242484618377689998e+01,-5.391913014526370489e+02
2.748199999999998866e+01,3.335528511288590181e+01,-3.242818435696089807e+01,-5.391858954393329668e+02
2.853899999999998727e+01,3.336554705022209788e+01,-3.243154668251649753e+01,-5.391803001717030384e+02
2.959599999999998587e+01,3.337486169478719944e+01,-3.243499389906489938e+01,-5.391747222661939531e+02
3.065299999999998448e+01,3.338270527420849731e+01,-3.243858674522739705e+01,-5.391693683392520597e+02
3.170999999999998309e+01,3.338855401611330365e+01,-3.244238595962519867e+01,-5.391644450073239341e+02
3.276699999999998170e+01,3.338045093195000135e+01,-3.244655252767910270e+01,-5.391599797658129773e+02
3.382399999999998386e+01,3.335385156068169721e+01,-3.245104832486710222e+01,-5.391558991290789891e+02
3.488099999999998602e+01,3.331935092120750141e+01,-3.245563542489649933e+01,-5.391522582420069511e+02
3.593799999999998818e+01,3.328754403242670179e+01,-3.246007590147439714e+01,-5.391491122494809360e+02
3.699499999999999034e+01,3.326902591323850089e+01,-3.246413182830809774e+01,-5.391465162963870625e+02
3.805199999999999250e+01,3.326244369355659813e+01,-3.245648825772870083e+01,-5.391473726191779861e+02
3.910899999999999466e+01,3.325817378887759901e+01,-3.243238009668859689e+01,-5.391528854679739879e+02
4.016599999999999682e+01,3.325440514647490176e+01,-3.240139420082710586e+01,-5.391605630081580784e+02
4.122299999999999898e+01,3.324932671362169856e+01,-3.237311742578359741e+01,-5.391679134051120172e+02
4.228000000000000114e+01,3.324112743759160082e+01,-3.235713662719729911e+01,-5.391724448242189283e+02
4.333700000000000330e+01,3.323046352633170386e+01,-3.236453988083560063e+01,-5.391691280531299526e+02
4.439400000000000546e+01,3.321929516704390295e+01,-3.239053247946739589e+01,-5.391586981024089482e+02
4.545100000000000762e+01,3.320776727588289390e+01,-3.242087710423420077e+01,-5.391473094718020320e+02
4.650800000000000978e+01,3.319602476900369936e+01,-3.244133643627729668e+01,-5.391411166610579357e+02
4.756500000000001194e+01,3.318421256256100094e+01,-3.243767315673829899e+01,-5.391462741699219805e+02
4.862200000000001410e+01,3.316979432134559858e+01,-3.241573029979699783e+01,-5.391611512272800155e+02
4.967900000000001626e+01,3.315205854878429648e+01,-3.239169610218809936e+01,-5.391789586927239952e+02
5.073600000000001842e+01,3.313388741898650380e+01,-3.236685104888550057e+01,-5.391981135120560111e+02
5.179300000000002058e+01,3.311816310606160130e+01,-3.234247562486289951e+01,-5.392170326310820201e+02
5.285000000000002274e+01,3.310776778411860022e+01,-3.231985031509400130e+01,-5.392341329956050231e+02
5.390700000000002490e+01,3.311760942549099695e+01,-3.229839377864409755e+01,-5.392497210751480452e+02
5.496400000000002706e+01,3.315210209492170179e+01,-3.227699045524510524e+01,-5.392650764567309807e+02
5.602100000000002922e+01,3.319838710513469948e+01,-3.225611950087070312e+01,-5.392800757624099788e+02
5.707800000000003138e+01,3.324360576885410268e+01,-3.223626007149429995e+01,-5.392945956142400519e+02
5.813500000000003354e+01,3.327489939880370429e+01,-3.221789132308960291e+01,-5.393085126342770081e+02
5.919200000000003570e+01,3.329547682706339629e+01,-3.220329968673770082e+01,-5.393204376414969374e+02
6.024900000000003786e+01,3.331557699395810346e+01,-3.219429273860799867e+01,-5.393290916610510521e+02
6.130600000000004002e+01,3.333288637457930292e+01,-3.219063135230659611e+01,-5.393345166242610276e+02
6.236300000000004218e+01,3.334509144401880576e+01,-3.219207640143959992e+01,-5.393367544624479706e+02
6.342000000000004434e+01,3.334987867736819567e+01,-3.219838875961299607e+01,-5.393358471069340112e+02
6.447700000000004650e+01,3.334838564564839913e+01,-3.220805726928750090e+01,-5.393286391847940422e+02
6.553400000000004866e+01,3.334435397614839758e+01,-3.221915391341460122e+01,-5.393149170616060246e+02
6.659100000000005082e+01,3.333937622836160131e+01,-3.223081427633729845e+01,-5.392991352764410067e+02
6.764800000000005298e+01,3.333504496178129983e+01,-3.224217394239850165e+01,-5.392857483683700366e+02
6.870500000000005514e+01,3.333295273590089636e+01,-3.225236849594119803e+01,-5.392792108764649583e+02
6.976200000000005730e+01,3.333264993656919728e+01,-3.226147282952680229e+01,-5.392777727969320267e+02
7.081900000000005946e+01,3.333282410298129861e+01,-3.227009311448150441e+01,-5.392766867521798986e+02
7.187600000000006162e+01,3.333377352464999888e+01,-3.227816185329459842e+01,-5.392759112205829979e+02
7.293300000000006378e+01,3.333579649108830267e+01,-3.228561154845549908e+01,-5.392754046805159760e+02
7.399000000000006594e+01,3.333919129180910090e+01,-3.229237470245360697e+01,-5.392751256103520063e+02
7.504700000000006810e+01,3.334684313688929791e+01,-3.229301049233619381e+01,-5.392753715425719747e+02
7.610400000000007026e+01,3.335949044671580310e+01,-3.228556461347140072e+01,-5.392761958129390223e+02
7.716100000000007242e+01,3.337421132626590037e+01,-3.227519934582989691e+01,-5.392771906047440780e+02
7.821800000000007458e+01,3.338808388051720044e+01,-3.226707696938220238e+01,-5.392779481012800034e+02
7.927500000000007674e+01,3.339818621444699431e+01,-3.226635976409910000e+01,-5.392780604858401148e+02
8.033200000000007890e+01,3.340392303998999779e+01,-3.227635559667550069e+01,-5.392712250161370093e+02
8.138900000000008106e+01,3.340665720701479557e+01,-3.229370200392399681e+01,-5.392555620580549203e+02
8.244600000000008322e+01,3.340640402739960280e+01,-3.231355577099210308e+01,-5.392372984571389907e+02
8.350300000000008538e+01,3.340317881302289749e+01,-3.233107368302729867e+01,-5.392226610589340225e+02
8.456000000000008754e+01,3.339699687576289477e+01,-3.234141252517699883e+01,-5.392178767089840221e+02
8.561700000000008970e+01,3.338405876069069933e+01,-3.234576039300210226e+01,-5.392209943488060162e+02
8.667400000000009186e+01,3.336385586311379825e+01,-3.234855016489569834e+01,-5.392256791496349706e+02
8.773100000000009402e+01,3.334133977026539952e+01,-3.234980580025349894e+01,-5.392315823015959495e+02
8.878800000000009618e+01,3.332146206937890298e+01,-3.234955125847140067e+01,-5.392383549948140171e+02
8.984500000000009834e+01,3.330917434768750240e+01,-3.234781049894499461e+01,-5.392456484194150335e+02
9.090200000000010050e+01,3.330528025212090171e+01,-3.234241626194859975e+01,-5.392543222158019489e+02
9.195900000000010266e+01,3.330540597316160500e+01,-3.233327655189769700e+01,-5.392644466183940040e+02
9.301600000000010482e+01,3.330673691337219822e+01,-3.232352822440019935e+01,-5.392744887083409822e+02
