# Time,X,Y,Z
0.000000000000000000e+00,3.597632980346679688e+01,-3.271235275268549714e+01,-5.408713378906250000e+02
1.056999999999999940e+00,3.597889199295039475e+01,-3.271630574905400124e+01,-5.408590439184570187e+02
2.113999999999999879e+00,3.598176868057250033e+01,-3.272006126068109921e+01,-5.408480380761719744e+02
3.170999999999999819e+00,3.598495986633299992e+01,-3.272361928756710370e+01,-5.408383203637699808e+02
4.227999999999999758e+00,3.598846555023190064e+01,-3.272697982971190100e+01,-5.408298907812500147e+02
5.285000000000000142e+00,3.599228573226929484e+01,-3.273014288711550535e+01,-5.408227493286129857e+02
6.342000000000000526e+00,3.599675267088809960e+01,-3.273311060224810376e+01,-5.408168522295909497e+02
7.399000000000000909e+00,3.600186636608829360e+01,-3.273588297510970335e+01,-5.408121994841840205e+02
8.456000000000001293e+00,3.600712843020539822e+01,-3.273845679199499870e+01,-5.408088567567939435e+02
9.513000000000001677e+00,3.601204047557499877e+01,-3.274082883919860620e+01,-5.408068897118220093e+02
1.057000000000000206e+01,3.601610411453249583e+01,-3.274299590301510676e+01,-5.408063640136720096e+02
1.162700000000000244e+01,3.601177904469059854e+01,-3.271732678847219944e+01,-5.408247541105599794e+02
1.268400000000000283e+01,3.599667420649870309e+01,-3.265319307917589953e+01,-5.408671439970939900e+02
1.374100000000000321e+01,3.597801507654749997e+01,-3.257609572928889463e+01,-5.409150136572660585e+02
1.479800000000000360e+01,3.596302713142749496e+01,-3.251153569297370183e+01,-5.409498430750639955e+02
1.585500000000000398e+01,3.595893584772910145e+01,-3.248501392439300162e+01,-5.409531122344769756e+02
1.691200000000000259e+01,3.596414120419770200e+01,-3.251146228215650069e+01,-5.409327378456019915e+02
1.796900000000000119e+01,3.597137976973770179e+01,-3.257373968429160271e+01,-5.409095395840589617e+02
1.902599999999999980e+01,3.597938190617849585e+01,-3.264923767408689770e+01,-5.408843518821289535e+02
2.008299999999999841e+01,3.598687797534969945e+01,-3.271534779483120303e+01,-5.408580091720929204e+02
2.113999999999999702e+01,3.599259833908079287e+01,-3.274946158981320110e+01,-5.408313458862299967e+02
2.219699999999999562e+01,3.599747508108289651e+01,-3.275904054021989964e+01,-5.408032348662890172e+02
2.325399999999999423e+01,3.600265154669909862e+01,-3.276539221818150338e+01,-5.407732265680999717e+02
2.431099999999999284e+01,3.600717499020640133e+01,-3.276667730340119533e+01,-5.407431718450669678e+02
2.536799999999999145e+01,3.601009266588189917e+01,-3.276105647558249956e+01,-5.407149215505950224e+02
2.642499999999999005e+01,3.601045182800289979e+01,-3.274669041442869855e+01,-5.406903265380859693e+02
