# Time,X,Y,Z
0.000000000000000000e+00,-5.731290817260739523e+00,-8.331256866455079901e+00,-5.674092407226560226e+02
1.181000000000000050e+00,-5.720466947937008939e+00,-8.338026805725100132e+00,-5.674050178076170141e+02
2.362000000000000099e+00,-5.711763877105710208e+00,-8.344110581359860390e+00,-5.674014803613280264e+02
3.543000000000000149e+00,-5.705181604766849546e+00,-8.349508193359369557e+00,-5.673986283837889459e+02
4.724000000000000199e+00,-5.700720130920410078e+00,-8.354219641723631185e+00,-5.673964618750000000e+02
5.905000000000000249e+00,-5.698379455566409568e+00,-8.358244926452639945e+00,-5.673949808349609611e+02
7.086000000000000298e+00,-5.698460661165839269e+00,-8.361087764215291429e+00,-5.673941833644989856e+02
8.266999999999999460e+00,-5.700963747718719610e+00,-8.362748155011610507e+00,-5.673940694636149829e+02
9.448000000000000398e+00,-5.705437091533519300e+00,-8.363970523838210269e+00,-5.673946419810670250e+02
1.062900000000000134e+01,-5.711429068918740803e+00,-8.365499295691749992e+00,-5.673959037656139799e+02
1.181000000000000227e+01,-5.718488056182859935e+00,-8.368078895568849873e+00,-5.673978576660159661e+02
1.299100000000000321e+01,-5.731135459228509532e+00,-8.373194127006780008e+00,-5.674080134406240177e+02
1.417200000000000415e+01,-5.750659896838910434e+00,-8.380874690393831372e+00,-5.674291072230950022e+02
1.535300000000000509e+01,-5.771760564643400926e+00,-8.389682356003209662e+00,-5.674539814251479584e+02
1.653400000000000603e+01,-5.789136658271330838e+00,-8.398178894108099257e+00,-5.674754784584979461e+02
1.771500000000000696e+01,-5.797487373352050000e+00,-8.404926074981689865e+00,-5.674864407348629811e+02
1.889600000000000790e+01,-5.793690565147379345e+00,-8.406535032283040110e+00,-5.674813074786460447e+02
2.007700000000000884e+01,-5.781589082449879236e+00,-8.402767311947028972e+00,-5.674644895817310726e+02
2.125800000000000978e+01,-5.766329611185049941e+00,-8.396910302660620218e+00,-5.674437869570580233e+02
2.243900000000001071e+01,-5.753058837278349102e+00,-8.392251393110770508e+00,-5.674269995175679924e+02
2.362000000000001165e+01,-5.746923446655269885e+00,-8.392077971984429396e+00,-5.674219271762000290e+02
2.480100000000001259e+01,-5.746065503635860772e+00,-8.404875345291369371e+00,-5.674271002966650030e+02
2.598200000000001353e+01,-5.745440175168429420e+00,-8.430511487166690188e+00,-5.674346613279369649e+02
2.716300000000001447e+01,-5.745413801120860420e+00,-8.459347788485390041e+00,-5.674428283108489950e+02
2.834400000000001540e+01,-5.746352721361030369e+00,-8.481745640122460017e+00,-5.674498192862320138e+02
