# Time,X,Y,Z
0.000000000000000000e+00,3.896616363525389914e+01,-2.204747009277339842e+01,-4.822943420410160229e+02
6.959999999999999520e-01,3.896044009620670323e+01,-2.204730865875169599e+01,-4.822960971151519516e+02
1.391999999999999904e+00,3.895519264755250077e+01,-2.204636164031679968e+01,-4.822972997228150120e+02
2.088000000000000078e+00,3.895042128929139835e+01,-2.204462903746869884e+01,-4.822979498640049769e+02
2.783999999999999808e+00,3.894612602142329649e+01,-2.204211085020750005e+01,-4.822980475387209935e+02
3.479999999999999538e+00,3.894230684394839415e+01,-2.203880707853319976e+01,-4.822975927469629482e+02
4.175999999999999268e+00,3.893896375686649947e+01,-2.203471772244569848e+01,-4.822965854887330011e+02
4.871999999999998998e+00,3.893609676017760535e+01,-2.202984278194499979e+01,-4.822950257640289919e+02
5.567999999999998728e+00,3.893370585388179705e+01,-2.202418225703119603e+01,-4.822929135728520009e+02
6.263999999999998458e+00,3.893179103797910301e+01,-2.201773614770430143e+01,-4.822902489152010617e+02
6.959999999999998188e+00,3.893068255315199622e+01,-2.201024180740260050e+01,-4.822869032793900033e+02
7.655999999999997918e+00,3.893066803903499817e+01,-2.200147047097089725e+01,-4.822827647317410538e+02
8.351999999999998536e+00,3.893145816809679616e+01,-2.199165224598020174e+01,-4.822779458627690019e+02
9.047999999999998266e+00,3.893275990677179976e+01,-2.198102018747950126e+01,-4.822725607051779662e+02
9.743999999999997996e+00,3.893428022149420542e+01,-2.196980735051780087e+01,-4.822667232916709850e+02
1.043999999999999773e+01,3.893572607869850088e+01,-2.195824679014420155e+01,-4.822605476549510399e+02
1.113599999999999746e+01,3.893680444481900338e+01,-2.194657156140759824e+01,-4.822541478277220222e+02
1.183199999999999719e+01,3.893722228629010118e+01,-2.193501471935719849e+01,-4.822476378426850374e+02
1.252799999999999692e+01,3.893668656954610441e+01,-2.192380931904190078e+01,-4.822411317325440336e+02
1.322399999999999665e+01,3.893362227303839518e+01,-2.191258255008630229e+01,-4.822327344737499857e+02
1.391999999999999638e+01,3.892619390782499522e+01,-2.190044549401629936e+01,-4.822195661164060425e+02
1.461599999999999611e+01,3.891574613817139294e+01,-2.188769579319689740e+01,-4.822032661865000023e+02
1.531199999999999584e+01,3.890369636024679778e+01,-2.187466153285560111e+01,-4.821855824238140258e+02
1.600799999999999557e+01,3.889146197022029838e+01,-2.186167079821990100e+01,-4.821682625681289664e+02
1.670399999999999707e+01,3.888046036426139551e+01,-2.184905167451739771e+01,-4.821530543592260187e+02
1.739999999999999858e+01,3.887210893853920624e+01,-2.183713224697560307e+01,-4.821417055368879687e+02
1.809600000000000009e+01,3.886782508922299684e+01,-2.182624060082200046e+01,-4.821359638408960109e+02
1.879200000000000159e+01,3.886902621248199807e+01,-2.181670482128410171e+01,-4.821375770110320218e+02
1.948800000000000310e+01,3.887511706614149887e+01,-2.180993343099319759e+01,-4.821462705889539961e+02
2.018400000000000460e+01,3.888149426138819820e+01,-2.180850536500999937e+01,-4.821573640890799766e+02
