# Time,X,Y,Z
0.000000000000000000e+00,4.000334167480470171e+01,-2.198918914794920099e+01,-4.829627990722660229e+02
6.959999999999999520e-01,3.999658758315199947e+01,-2.198574340289230022e+01,-4.829621048141369783e+02
1.391999999999999904e+00,3.999046090740660020e+01,-2.198190556713560184e+01,-4.829613279641299641e+02
2.088000000000000078e+00,3.998496164756849680e+01,-2.197767564067919821e+01,-4.829604685222429907e+02
2.783999999999999808e+00,3.998008980363770348e+01,-2.197305362352289748e+01,-4.829595264884770245e+02
3.479999999999999538e+00,3.997584537561420603e+01,-2.196803951566699808e+01,-4.829585018628309854e+02
4.175999999999999268e+00,3.997222836349789787e+01,-2.196263331711120159e+01,-4.829573946453060103e+02
4.871999999999998998e+00,3.996923876728899927e+01,-2.195683502785569985e+01,-4.829562048359020423e+02
5.567999999999998728e+00,3.996687658698729706e+01,-2.195064464790040049e+01,-4.829549324346189678e+02
6.263999999999998458e+00,3.996514182259289782e+01,-2.194406217724530350e+01,-4.829535774414569573e+02
6.959999999999998188e+00,3.996450150440729487e+01,-2.193700481262389701e+01,-4.829521314097190157e+02
7.655999999999997918e+00,3.996536241582289506e+01,-2.192940043239099879e+01,-4.829505869823349826e+02
8.351999999999998536e+00,3.996731538640349868e+01,-2.192132158140839948e+01,-4.829489515595480498e+02
9.047999999999998266e+00,3.996994600459489533e+01,-2.191284173377480116e+01,-4.829472326363929824e+02
9.743999999999997996e+00,3.997283985884300250e+01,-2.190403436358850087e+01,-4.829454377079039773e+02
1.043999999999999773e+01,3.997558253759360269e+01,-2.189497294494820068e+01,-4.829435742691159703e+02
1.113599999999999746e+01,3.997775962929259919e+01,-2.188573095195249962e+01,-4.829416498150630446e+02
1.183199999999999719e+01,3.997895672238589526e+01,-2.187638185869979779e+01,-4.829396718407799654e+02
1.252799999999999692e+01,3.997875940531920236e+01,-2.186699913928860184e+01,-4.829376478413009863e+02
1.322399999999999665e+01,3.997595790628499657e+01,-2.185529179929010368e+01,-4.829328217358120128e+02
1.391999999999999638e+01,3.996942311104860579e+01,-2.183783518022339720e+01,-4.829210739203369940e+02
1.461599999999999611e+01,3.996019392434079975e+01,-2.181654414588780000e+01,-4.829044945951940235e+02
1.531199999999999584e+01,3.994935679715670318e+01,-2.179346117245719938e+01,-4.828853227281970248e+02
1.600799999999999557e+01,3.993799818049159711e+01,-2.177062873610529792e+01,-4.828657972871610013e+02
1.670399999999999707e+01,3.992720452534099707e+01,-2.175008931300559922e+01,-4.828481572399009565e+02
1.739999999999999858e+01,3.991806228269989987e+01,-2.173388537933210429e+01,-4.828346415542299610e+02
1.809600000000000009e+01,3.991165790356379262e+01,-2.172405941125820306e+01,-4.828274891979650079e+02
1.879200000000000159e+01,3.990907783892789951e+01,-2.172265388495780059e+01,-4.828289391389179741e+02
1.948800000000000310e+01,3.991026236461809873e+01,-2.172933306990540103e+01,-4.828387393052839798e+02
2.018400000000000460e+01,3.991267747929320109e+01,-2.173865390636419903e+01,-4.828511875757109806e+02
2.088000000000000611e+01,3.991606901084600167e+01,-2.174992996533569922e+01,-4.828654651209599251e+02
2.157600000000000762e+01,3.992032916333879200e+01,-2.176277919703169772e+01,-4.828810694289459775e+02
2.227200000000000912e+01,3.992535014083350120e+01,-2.177681955166379879e+01,-4.828974979875869735e+02
2.296800000000001063e+01,3.993102414739220052e+01,-2.179166897944380210e+01,-4.829142482847989868e+02
2.366400000000001214e+01,3.993724338707710331e+01,-2.180694543058340074e+01,-4.829308178084999668e+02
2.436000000000001364e+01,3.994390006395029502e+01,-2.182226685529419896e+01,-4.829467040466059871e+02
2.505600000000001515e+01,3.995088638207379717e+01,-2.183725120378819895e+01,-4.829614044870359635e+02
2.575200000000001666e+01,3.995843024381849773e+01,-2.185194877213449871e+01,-4.829749670969380304e+02
2.644800000000001816e+01,3.996745475895860267e+01,-2.186754588213379691e+01,-4.829889531171720023e+02
2.714400000000001967e+01,3.997756353639940130e+01,-2.188381619227230246e+01,-4.830032047650489631e+02
2.784000000000002117e+01,3.998824159550479607e+01,-2.190039251440770229e+01,-4.830173882274449966e+02
2.853600000000002268e+01,3.999897395563829861e+01,-2.191690766039800309e+01,-4.830311696912330035e+02
2.923200000000002419e+01,4.000924563616379714e+01,-2.193299444210100191e+01,-4.830442153432890109e+02
2.992800000000002569e+01,4.001854165644499517e+01,-2.194828567137469832e+01,-4.830561913704869994e+02
3.062400000000002720e+01,4.002634703584539722e+01,-2.196241416007690006e+01,-4.830667639597010066e+02
3.132000000000002871e+01,4.003214679372899809e+01,-2.197501272006550010e+01,-4.830755992978060362e+02
3.201600000000002666e+01,4.003555518650900069e+01,-2.198520309081769852e+01,-4.830819569983869997e+02
3.271200000000002461e+01,4.003707896551300394e+01,-2.199063235732510080e+01,-4.830839942312489939e+02
3.340800000000002257e+01,4.003719511852250434e+01,-2.199199456496830152e+01,-4.830823928867150130e+02
3.410400000000002052e+01,4.003632306156129772e+01,-2.199038917495809997e+01,-4.830781634903240160e+02
3.480000000000001847e+01,4.003488221065340014e+01,-2.198691564850480162e+01,-4.830723165676180315e+02
3.549600000000001643e+01,4.003329198182260029e+01,-2.198267344681920221e+01,-4.830658626441349952e+02
3.619200000000001438e+01,4.003197179109279347e+01,-2.197876203111169957e+01,-4.830598122454139798e+02
3.688800000000001234e+01,4.003134105448779678e+01,-2.197628086259280167e+01,-4.830551758969970138e+02
3.758400000000001029e+01,4.003181918803149841e+01,-2.197632940247319766e+01,-4.830529641244219761e+02
3.828000000000000824e+01,4.003364519856079795e+01,-2.197965241100569855e+01,-4.830537724358280229e+02
3.897600000000000620e+01,4.003578631092020856e+01,-2.198431041896649774e+01,-4.830552406425119898e+02
3.967200000000000415e+01,4.003800855901980071e+01,-2.198962290765910055e+01,-4.830567951922160432e+02
4.036800000000000210e+01,4.004031723071820181e+01,-2.199535390808640045e+01,-4.830584086906369521e+02
4.106400000000000006e+01,4.004271761387410322e+01,-2.200126745125119854e+01,-4.830600537434769990e+02
4.175999999999999801e+01,4.004521499634610393e+01,-2.200712756815629945e+01,-4.830617029564330096e+02
