# Time,X,Y,Z
0.000000000000000000e+00,4.313171386718750000e+01,-1.697864532470699928e+01,-4.790475158691410229e+02
6.959999999999999520e-01,4.313171919524540243e+01,-1.697987951970520015e+01,-4.790435489761979397e+02
1.391999999999999904e+00,4.313196291043700370e+01,-1.698079914129030143e+01,-4.790397018059750280e+02
2.088000000000000078e+00,4.313244501276249565e+01,-1.698140418946230312e+01,-4.790359743584729699e+02
2.783999999999999808e+00,4.313316550222170065e+01,-1.698169466422119811e+01,-4.790323666336910264e+02
3.479999999999999538e+00,4.313412437881470396e+01,-1.698167056556700061e+01,-4.790288786316299365e+02
4.175999999999999268e+00,4.313532164254150558e+01,-1.698133189349979943e+01,-4.790255103522889613e+02
4.871999999999998998e+00,4.313675729340209841e+01,-1.698067864801939919e+01,-4.790222617956680438e+02
5.567999999999998728e+00,4.313843133139650377e+01,-1.697971082912599883e+01,-4.790191329617680367e+02
6.263999999999998458e+00,4.314034375652470743e+01,-1.697842843681950242e+01,-4.790161238505870074e+02
6.959999999999998188e+00,4.314276844314350257e+01,-1.697664188244680261e+01,-4.790132465060019626e+02
7.655999999999997918e+00,4.314594393581779741e+01,-1.697418603429110107e+01,-4.790105114182250077e+02
8.351999999999998536e+00,4.314963029018050378e+01,-1.697122699307800175e+01,-4.790079080354840357e+02
9.047999999999998266e+00,4.315358448838560435e+01,-1.696793298713880205e+01,-4.790054256708500020e+02
9.743999999999997996e+00,4.315756351258709600e+01,-1.696447224480520077e+01,-4.790030536373900532e+02
1.043999999999999773e+01,4.316132434493909642e+01,-1.696101299440849886e+01,-4.790007812481749738e+02
1.113599999999999746e+01,4.316462396759539644e+01,-1.695772346428039867e+01,-4.789985978162729907e+02
1.183199999999999719e+01,4.316721936271010662e+01,-1.695477188275219760e+01,-4.789964926547530126e+02
1.252799999999999692e+01,4.316886751243729492e+01,-1.695232647815550209e+01,-4.789944550766850284e+02
1.322399999999999665e+01,4.316940943004929210e+01,-1.695024549483110121e+01,-4.789925580736810389e+02
1.391999999999999638e+01,4.316902438879859716e+01,-1.694808174273919832e+01,-4.789909413702649772e+02
1.461599999999999611e+01,4.316794176634490299e+01,-1.694596181606560137e+01,-4.789895771483570002e+02
1.531199999999999584e+01,4.316638938482320498e+01,-1.694402747099579898e+01,-4.789884333398010199e+02
1.600799999999999557e+01,4.316459506636820009e+01,-1.694242046371509858e+01,-4.789874778764389589e+02
1.670399999999999707e+01,4.316278663311460662e+01,-1.694128255040870101e+01,-4.789866786901170599e+02
1.739999999999999858e+01,4.316119190719719967e+01,-1.694075548726200253e+01,-4.789860037126759948e+02
1.809600000000000009e+01,4.316003871075079701e+01,-1.694098103046039938e+01,-4.789854208759609833e+02
1.879200000000000159e+01,4.315955486591020929e+01,-1.694210093618909951e+01,-4.789848981118139477e+02
1.948800000000000310e+01,4.315982550464219969e+01,-1.694398434521690078e+01,-4.789845714815339761e+02
2.018400000000000460e+01,4.316052764643569617e+01,-1.694597756712460068e+01,-4.789848370771729833e+02
2.088000000000000611e+01,4.316152343490880128e+01,-1.694803392521059848e+01,-4.789856550794480086e+02
2.157600000000000762e+01,4.316269074124979710e+01,-1.695014319526210045e+01,-4.789869616317999999e+02
2.227200000000000912e+01,4.316390743664660334e+01,-1.695229515306600021e+01,-4.789886928776679724e+02
2.296800000000001063e+01,4.316505139228739552e+01,-1.695447957440930153e+01,-4.789907849604940111e+02
2.366400000000001214e+01,4.316600047936029227e+01,-1.695668623507910056e+01,-4.789931740237190070e+02
2.436000000000001364e+01,4.316663256905349755e+01,-1.695890491086230156e+01,-4.789957962107820322e+02
2.505600000000001515e+01,4.316682553255499499e+01,-1.696112537754600069e+01,-4.789985876651239778e+02
2.575200000000001666e+01,4.316646093213689994e+01,-1.696334874467889975e+01,-4.790020839700520128e+02
2.644800000000001816e+01,4.316554608485489553e+01,-1.696560573595900223e+01,-4.790080837905999829e+02
2.714400000000001967e+01,4.316421451179490276e+01,-1.696788984462100203e+01,-4.790160554580799612e+02
2.784000000000002117e+01,4.316260426275460560e+01,-1.697019086345400041e+01,-4.790252566151499991e+02
2.853600000000002268e+01,4.316085338753179457e+01,-1.697249858524719812e+01,-4.790349449044690004e+02
2.923200000000002419e+01,4.315909993592439520e+01,-1.697480280278989895e+01,-4.790443779686969492e+02
2.992800000000002569e+01,4.315748195773010565e+01,-1.697709330887120061e+01,-4.790528134504920104e+02
3.062400000000002720e+01,4.315613750274670934e+01,-1.697935989628039977e+01,-4.790595089925150205e+02
3.132000000000002871e+01,4.315520462077210340e+01,-1.698159235780659770e+01,-4.790637222374230078e+02
3.201600000000002666e+01,4.315480901294320404e+01,-1.698368022374680208e+01,-4.790651117341449776e+02
3.271200000000002461e+01,4.315492076698249946e+01,-1.698515058512700193e+01,-4.790652915997450236e+02
3.340800000000002257e+01,4.315541254441610164e+01,-1.698602401780780013e+01,-4.790646245468100233e+02
3.410400000000002052e+01,4.315615642342689284e+01,-1.698639430532909955e+01,-4.790632243623529689e+02
3.480000000000001847e+01,4.315702448219789744e+01,-1.698635523123100199e+01,-4.790612048333860002e+02
3.549600000000001643e+01,4.315788879891189822e+01,-1.698600057905370164e+01,-4.790586797469200064e+02
3.619200000000001438e+01,4.315862145175200482e+01,-1.698542413233700188e+01,-4.790557628899690030e+02
3.688800000000001234e+01,4.315909451890090054e+01,-1.698471967462110044e+01,-4.790525680495430265e+02
3.758400000000001029e+01,4.315918007854160265e+01,-1.698398098944590018e+01,-4.790492090126550124e+02
3.828000000000000824e+01,4.315879451725350435e+01,-1.698311456497419769e+01,-4.790456802610759723e+02
3.897600000000000620e+01,4.315816635263950474e+01,-1.698095455595739978e+01,-4.790412936855639714e+02
3.967200000000000415e+01,4.315732754577999941e+01,-1.697758484107500010e+01,-4.790361580425170018e+02
4.036800000000000210e+01,4.315625126647210408e+01,-1.697337255915769916e+01,-4.790305625888670420e+02
4.106400000000000006e+01,4.315491068451279943e+01,-1.696868484903620100e+01,-4.790247965815470366e+02
4.175999999999999801e+01,4.315327896969910881e+01,-1.696388884954130205e+01,-4.790191492774870312e+02
4.245599999999999596e+01,4.315132929182809818e+01,-1.695935169950369925e+01,-4.790139099336219601e+02
4.315199999999999392e+01,4.314903482069679086e+01,-1.695544053775410021e+01,-4.790093678068820395e+02
4.384799999999999187e+01,4.314636872610220308e+01,-1.695252250312319831e+01,-4.790058121541999867e+02
4.454399999999998983e+01,4.314331356341229196e+01,-1.695108004842449745e+01,-4.790036286742540028e+02
4.523999999999998778e+01,4.313996735471329913e+01,-1.695241494595639864e+01,-4.790038937415849887e+02
4.593599999999998573e+01,4.313639527322590084e+01,-1.695622136987179829e+01,-4.790063501715590064e+02
4.663199999999998369e+01,4.313263832750820370e+01,-1.696176607704810024e+01,-4.790103844991840560e+02
4.732799999999998164e+01,4.312873752611889699e+01,-1.696831582436249874e+01,-4.790153832594680239e+02
4.802399999999997959e+01,4.312473387761610155e+01,-1.697513736869269962e+01,-4.790207329874210131e+02
4.871999999999997755e+01,4.312066839055830059e+01,-1.698149746691590067e+01,-4.790258202180509670e+02
4.941599999999997550e+01,4.311658207350379968e+01,-1.698666287590960167e+01,-4.790300314863670224e+02
5.011199999999997345e+01,4.311251593501110335e+01,-1.698990035255129882e+01,-4.790327533273770086e+02
5.080799999999997141e+01,4.310848309865500738e+01,-1.699046519534130084e+01,-4.790333973991110383e+02
5.150399999999996936e+01,4.310403360201510736e+01,-1.698783225619390080e+01,-4.790321128831220108e+02
5.219999999999996732e+01,4.309912042749349581e+01,-1.698261638532439832e+01,-4.790294474696819975e+02
5.289599999999996527e+01,4.309390551096759481e+01,-1.697565212139900126e+01,-4.790258651816130282e+02
5.359199999999996322e+01,4.308855078831500407e+01,-1.696777400308409867e+01,-4.790218300417400314e+02
5.428799999999996118e+01,4.308321819541340147e+01,-1.695981656904580248e+01,-4.790178060728869696e+02
5.498399999999995913e+01,4.307806966814029437e+01,-1.695261435795049820e+01,-4.790142572978769522e+02
5.567999999999995708e+01,4.307326714237329668e+01,-1.694700190846430132e+01,-4.790116477395339984e+02
5.637599999999995504e+01,4.306897255398989444e+01,-1.694381375925360089e+01,-4.790104414206829802e+02
5.707199999999995299e+01,4.306542375674189316e+01,-1.694384411055780149e+01,-4.790110914153900126e+02
5.776799999999995094e+01,4.306548418831589942e+01,-1.694607329291310194e+01,-4.790134442001900652e+02
5.846399999999994890e+01,4.306979106700270421e+01,-1.694948498860430064e+01,-4.790170253051629743e+02
5.915999999999994685e+01,4.307731089984820017e+01,-1.695374988148819995e+01,-4.790214919584259974e+02
5.985599999999994481e+01,4.308701019389840070e+01,-1.695853865542169814e+01,-4.790265013880999732e+02
6.055199999999994276e+01,4.309785545619939739e+01,-1.696352199426150165e+01,-4.790317108223030118e+02
6.124799999999994071e+01,4.310881319379720367e+01,-1.696837058186470060e+01,-4.790367774891539625e+02
6.194399999999993867e+01,4.311884991373779030e+01,-1.697275510208800142e+01,-4.790413586167740050e+02
6.263999999999993662e+01,4.312693212306720625e+01,-1.697634623878819937e+01,-4.790451114332799420e+02
6.333599999999993457e+01,4.313203939955369748e+01,-1.697881884072719672e+01,-4.790476975018739836e+02
6.403199999999993963e+01,4.313518621242679529e+01,-1.698049616225589986e+01,-4.790494532849610323e+02
6.472799999999993759e+01,4.313753727951579720e+01,-1.698174933351290150e+01,-4.790507650769229713e+02
6.542399999999993554e+01,4.313909260082089503e+01,-1.698257835449830111e+01,-4.790516328777590047e+02
6.611999999999993349e+01,4.313985217634200353e+01,-1.698298322521209869e+01,-4.790520566874690189e+02
6.681599999999993145e+01,4.313981600607910138e+01,-1.698296394565430134e+01,-4.790520365060550034e+02
6.751199999999992940e+01,4.313898409003220280e+01,-1.698252051582489841e+01,-4.790515723335140024e+02
6.820799999999992735e+01,4.313735642820129357e+01,-1.698165293572390055e+01,-4.790506641698490284e+02
6.890399999999992531e+01,4.313493302058639500e+01,-1.698036120535130067e+01,-4.790493120150570121e+02
