# Time,X,Y,Z
0.000000000000000000e+00,4.133082580566409803e+01,-1.703211975097660158e+01,-4.775832824707029545e+02
6.959999999999999520e-01,4.132981446003950055e+01,-1.703052463492740287e+01,-4.775791804746949651e+02
1.391999999999999904e+00,4.132923168125299895e+01,-1.702893095014039915e+01,-4.775752673846189964e+02
2.088000000000000078e+00,4.132907746930470694e+01,-1.702733869661560107e+01,-4.775715432004760146e+02
2.783999999999999808e+00,4.132935182419429765e+01,-1.702574787435300152e+01,-4.775680079222660197e+02
3.479999999999999538e+00,4.133005474592210504e+01,-1.702415848335269999e+01,-4.775646615499880454e+02
4.175999999999999268e+00,4.133118623448790174e+01,-1.702257052361450107e+01,-4.775615040836430580e+02
4.871999999999998998e+00,4.133274628989179433e+01,-1.702098399513860016e+01,-4.775585355232299776e+02
5.567999999999998728e+00,4.133473491213379702e+01,-1.701939889792479832e+01,-4.775557558687499977e+02
6.263999999999998458e+00,4.133715210121379613e+01,-1.701781523197330159e+01,-4.775531651202030048e+02
6.959999999999998188e+00,4.134054877199969980e+01,-1.701623357417150117e+01,-4.775508282963519946e+02
7.655999999999997918e+00,4.134540477134110148e+01,-1.701465442698849984e+01,-4.775488020285420134e+02
8.351999999999998536e+00,4.135123743660120255e+01,-1.701307728500680128e+01,-4.775470293531099628e+02
9.047999999999998266e+00,4.135755792265410236e+01,-1.701150163633469958e+01,-4.775454525767410132e+02
9.743999999999997996e+00,4.136387738437370132e+01,-1.700992696908069846e+01,-4.775440140061160150e+02
1.043999999999999773e+01,4.136970697663420538e+01,-1.700835277135329804e+01,-4.775426559479200250e+02
1.113599999999999746e+01,4.137455785430950073e+01,-1.700677853126100203e+01,-4.775413207088359968e+02
1.183199999999999719e+01,4.137794117227370094e+01,-1.700520373691200149e+01,-4.775399505955470545e+02
1.252799999999999692e+01,4.137936808540079880e+01,-1.700362787641499906e+01,-4.775384879147350148e+02
1.322399999999999665e+01,4.137836943674499679e+01,-1.700209804561389859e+01,-4.775369079058830266e+02
1.391999999999999638e+01,4.137507816749359790e+01,-1.700067099278480143e+01,-4.775352768876470009e+02
1.461599999999999611e+01,4.137005984839429829e+01,-1.699928535215400061e+01,-4.775336474165980007e+02
1.531199999999999584e+01,4.136388491419189961e+01,-1.699787705678330241e+01,-4.775320710247889906e+02
1.600799999999999557e+01,4.135712379963109697e+01,-1.699638203973409745e+01,-4.775305992442740148e+02
1.670399999999999707e+01,4.135034693945639361e+01,-1.699473623406809963e+01,-4.775292836071060378e+02
1.739999999999999858e+01,4.134412476841259831e+01,-1.699287557284690209e+01,-4.775281756453379671e+02
1.809600000000000009e+01,4.133902772124429958e+01,-1.699073598913209793e+01,-4.775273268910240176e+02
1.879200000000000159e+01,4.133562623269629199e+01,-1.698825341598540106e+01,-4.775267888762169832e+02
1.948800000000000310e+01,4.133381134585679462e+01,-1.698514481103909901e+01,-4.775273493794500155e+02
2.018400000000000460e+01,4.133210423930500355e+01,-1.698091268900619966e+01,-4.775306797008190074e+02
2.088000000000000611e+01,4.133047286833470224e+01,-1.697574981108670045e+01,-4.775362906342400606e+02
2.157600000000000762e+01,4.132897436442779338e+01,-1.696988334221330064e+01,-4.775435813518599844e+02
2.227200000000000912e+01,4.132766585906610146e+01,-1.696354044731819855e+01,-4.775519510258280320e+02
2.296800000000001063e+01,4.132660448373160023e+01,-1.695694829133400106e+01,-4.775607988282900465e+02
2.366400000000001214e+01,4.132584736990600049e+01,-1.695033403919309833e+01,-4.775695239313960201e+02
2.436000000000001364e+01,4.132545164907129731e+01,-1.694392485582790187e+01,-4.775775255072920231e+02
2.505600000000001515e+01,4.132547445270930098e+01,-1.693794790617079826e+01,-4.775842027281260016e+02
2.575200000000001666e+01,4.132589526334789554e+01,-1.693245218982490030e+01,-4.775894301749220290e+02
2.644800000000001816e+01,4.132646589797089831e+01,-1.692694149856779973e+01,-4.775945473113310413e+02
2.714400000000001967e+01,4.132716372744690148e+01,-1.692140995851989871e+01,-4.775995972139869536e+02
2.784000000000002117e+01,4.132799025135739868e+01,-1.691590593167549983e+01,-4.776044787362320108e+02
2.853600000000002268e+01,4.132894696928420331e+01,-1.691047778002840118e+01,-4.776090907314060132e+02
2.923200000000002419e+01,4.133003538080879480e+01,-1.690517386557290180e+01,-4.776133320528500121e+02
2.992800000000002569e+01,4.133125698551279470e+01,-1.690004255030290281e+01,-4.776171015539040354e+02
3.062400000000002720e+01,4.133261328297790271e+01,-1.689513219621260021e+01,-4.776202980879110100e+02
3.132000000000002871e+01,4.133410577278559828e+01,-1.689049116529599814e+01,-4.776228205082089744e+02
3.201600000000002666e+01,4.133582062723839812e+01,-1.688626293314009885e+01,-4.776245788500520462e+02
3.271200000000002461e+01,4.133811396168079710e+01,-1.688289476738649952e+01,-4.776255924384340119e+02
3.340800000000002257e+01,4.134087361597949695e+01,-1.688030872003849936e+01,-4.776259237406910074e+02
3.410400000000002052e+01,4.134392247899349826e+01,-1.687835393175399901e+01,-4.776256330170299407e+02
3.480000000000001847e+01,4.134708343958190113e+01,-1.687687954319109807e+01,-4.776247805276580038e+02
3.549600000000001643e+01,4.135017938660379855e+01,-1.687573469500780021e+01,-4.776234265327809680e+02
3.619200000000001438e+01,4.135303320891829770e+01,-1.687476852786219794e+01,-4.776216312926059686e+02
3.688800000000001234e+01,4.135546779538439921e+01,-1.687383018241219901e+01,-4.776194550673409935e+02
3.758400000000001029e+01,4.135730603486120316e+01,-1.687276879931609841e+01,-4.776169581171919845e+02
3.828000000000000824e+01,4.135838109964669940e+01,-1.687148450886149931e+01,-4.776141553437460061e+02
3.897600000000000620e+01,4.135870705336879638e+01,-1.687025788255539993e+01,-4.776108132118340563e+02
3.967200000000000415e+01,4.135843619711199892e+01,-1.686917931226290079e+01,-4.776070199258260232e+02
4.036800000000000210e+01,4.135772243793449832e+01,-1.686827452092870061e+01,-4.776029338722740363e+02
4.106400000000000006e+01,4.135671968289429401e+01,-1.686756923149750165e+01,-4.775987134377299412e+02
4.175999999999999801e+01,4.135558183904949914e+01,-1.686708916691410209e+01,-4.775945170087460383e+02
