# Time,X,Y,Z
0.000000000000000000e+00,4.376620483398439632e+01,-2.050811767578129974e+01,-4.797478027343750000e+02
6.959999999999999520e-01,4.376677968263629737e+01,-2.051522744450990032e+01,-4.797472710382900232e+02
1.391999999999999904e+00,4.376736234580990015e+01,-2.052158240484010321e+01,-4.797467366000610127e+02
2.088000000000000078e+00,4.376795282350540361e+01,-2.052718255677189774e+01,-4.797461994196869455e+02
2.783999999999999808e+00,4.376855111572270118e+01,-2.053202790030519864e+01,-4.797456594971679920e+02
3.479999999999999538e+00,4.376915722246170048e+01,-2.053611843544010185e+01,-4.797451168325039816e+02
4.175999999999999268e+00,4.376977114372249389e+01,-2.053945416217650077e+01,-4.797445714256960514e+02
4.871999999999998998e+00,4.377039287950520219e+01,-2.054203508051449845e+01,-4.797440232767430075e+02
5.567999999999998728e+00,4.377102242980959801e+01,-2.054386119045410197e+01,-4.797434723856449637e+02
6.263999999999998458e+00,4.377165979463580214e+01,-2.054493249199519767e+01,-4.797429187524019767e+02
6.959999999999998188e+00,4.377231763212829918e+01,-2.054471627419080093e+01,-4.797423563852970005e+02
7.655999999999997918e+00,4.377300696753089682e+01,-2.054274854580570064e+01,-4.797417800655460383e+02
8.351999999999998536e+00,4.377371671090269700e+01,-2.053949602081980075e+01,-4.797411950425579903e+02
9.047999999999998266e+00,4.377443563024999662e+01,-2.053543139141359930e+01,-4.797406066329820078e+02
9.743999999999997996e+00,4.377515249357929150e+01,-2.053102734976760146e+01,-4.797400201534700273e+02
1.043999999999999773e+01,4.377585606889710590e+01,-2.052675658806219872e+01,-4.797394409206700061e+02
1.113599999999999746e+01,4.377653512420970117e+01,-2.052309179847780030e+01,-4.797388742512329713e+02
1.183199999999999719e+01,4.377717842752370103e+01,-2.052050567319510321e+01,-4.797383254618080173e+02
1.252799999999999692e+01,4.377777474684539527e+01,-2.051947090439429999e+01,-4.797377998690470235e+02
1.322399999999999665e+01,4.377816941808730178e+01,-2.052058395522289658e+01,-4.797375651604659765e+02
1.391999999999999638e+01,4.377813043142950278e+01,-2.052392625072580046e+01,-4.797380480923840196e+02
1.461599999999999611e+01,4.377774277652639512e+01,-2.052883733539069766e+01,-4.797391097110980240e+02
1.531199999999999584e+01,4.377709909842410241e+01,-2.053464432987000166e+01,-4.797405972352530057e+02
1.600799999999999557e+01,4.377629204216879799e+01,-2.054067435481569959e+01,-4.797423578834989826e+02
1.670399999999999707e+01,4.377541425280660548e+01,-2.054625453088030085e+01,-4.797442388744819368e+02
1.739999999999999858e+01,4.377455837538369821e+01,-2.055071197871610167e+01,-4.797460874268489874e+02
1.809600000000000009e+01,4.377381705494610031e+01,-2.055337381897519933e+01,-4.797477507592489587e+02
1.879200000000000159e+01,4.377328293653999935e+01,-2.055356717231000019e+01,-4.797490760903280034e+02
1.948800000000000310e+01,4.377298536054400557e+01,-2.055126561618489589e+01,-4.797500475091619592e+02
2.018400000000000460e+01,4.377280165595229988e+01,-2.054795409463200073e+01,-4.797509424933230093e+02
2.088000000000000611e+01,4.377271992819040491e+01,-2.054394593961569981e+01,-4.797517642263559878e+02
2.157600000000000762e+01,4.377273598443340319e+01,-2.053947481322810020e+01,-4.797524983605200077e+02
2.227200000000000912e+01,4.377284563185619959e+01,-2.053477437756110291e+01,-4.797531305480760011e+02
2.296800000000001063e+01,4.377304467763379847e+01,-2.053007829470680079e+01,-4.797536464412850137e+02
2.366400000000001214e+01,4.377332892894109762e+01,-2.052562022675739684e+01,-4.797540316924050217e+02
2.436000000000001364e+01,4.377369419295320796e+01,-2.052163383580480271e+01,-4.797542719536979803e+02
2.505600000000001515e+01,4.377413627684499886e+01,-2.051835278394129958e+01,-4.797543528774240258e+02
2.575200000000001666e+01,4.377487371155199725e+01,-2.051579895532780284e+01,-4.797541091526949799e+02
2.644800000000001816e+01,4.377660057683429784e+01,-2.051335144293619805e+01,-4.797530705758949807e+02
2.714400000000001967e+01,4.377915255188850097e+01,-2.051097846517510348e+01,-4.797513695440609922e+02
2.784000000000002117e+01,4.378228734236889608e+01,-2.050871296895569884e+01,-4.797491921660959520e+02
2.853600000000002268e+01,4.378576265393009948e+01,-2.050658790118909991e+01,-4.797467245509039913e+02
2.923200000000002419e+01,4.378933619222629403e+01,-2.050463620878650062e+01,-4.797441528073879908e+02
2.992800000000002569e+01,4.379276566291199657e+01,-2.050289083865889950e+01,-4.797416630444510020e+02
3.062400000000002720e+01,4.379580877164150365e+01,-2.050138473771739811e+01,-4.797394413709950527e+02
3.132000000000002871e+01,4.379822322406929658e+01,-2.050015085287330052e+01,-4.797376738959250133e+02
3.201600000000002666e+01,4.379967312771650256e+01,-2.049935761608080043e+01,-4.797365565315239451e+02
3.271200000000002461e+01,4.379969324217749715e+01,-2.049959182777060107e+01,-4.797361799940209721e+02
3.340800000000002257e+01,4.379857696240549814e+01,-2.050067165679750048e+01,-4.797363862590070198e+02
