# Time,X,Y,Z
0.000000000000000000e+00,9.253620910644569930e-01,-4.024374476574710258e+01,-5.533000439990180439e+02
9.759999999999999787e-01,9.369638998573001087e-01,-4.024126521833299819e+01,-5.533120580592919850e+02
1.951999999999999957e+00,9.450441187417120137e-01,-4.024068910299120461e+01,-5.533208053109390221e+02
2.927999999999999936e+00,9.500714059539391299e-01,-4.024154259354249774e+01,-5.533267405016720204e+02
3.903999999999999915e+00,9.525144197302248816e-01,-4.024335186380739771e+01,-5.533303183791999800e+02
4.879999999999999893e+00,9.528418183068190217e-01,-4.024564308760660225e+01,-5.533319936912359935e+02
5.855999999999999872e+00,9.515222599199649745e-01,-4.024794243876070254e+01,-5.533322211854909938e+02
6.831999999999999851e+00,9.490244028059099390e-01,-4.024977609109029686e+01,-5.533314556096750039e+02
7.807999999999999829e+00,9.458169052009008926e-01,-4.025067021841609716e+01,-5.533301517114999797e+02
8.783999999999998920e+00,9.423684253411829248e-01,-4.025015099455870171e+01,-5.533287642386779908e+02
9.759999999999998010e+00,9.394035449451271225e-01,-4.024700595820129934e+01,-5.533280475828120188e+02
1.073599999999999710e+01,9.393003825785629646e-01,-4.023525028244989699e+01,-5.533306921525279449e+02
1.171199999999999619e+01,9.396725750292049817e-01,-4.022265017889889549e+01,-5.533338099395950849e+02
1.268799999999999528e+01,9.403618372270969861e-01,-4.021054127766129227e+01,-5.533371216452380850e+02
1.366399999999999437e+01,9.412098841022809026e-01,-4.020025920885039739e+01,-5.533403479706829557e+02
1.463999999999999346e+01,9.419398819578720383e-01,-4.019481426623720211e+01,-5.533429183546970762e+02
1.561599999999999255e+01,9.418885841025189665e-01,-4.020267536268769959e+01,-5.533433128568749453e+02
1.659199999999999164e+01,9.417439786573430505e-01,-4.021322334659949860e+01,-5.533433313894320236e+02
1.756799999999999073e+01,9.415414874591300221e-01,-4.022505746956010597e+01,-5.533431705726370637e+02
1.854399999999998983e+01,9.413165323446679444e-01,-4.023677698315670170e+01,-5.533430270267620017e+02
1.951999999999998892e+01,9.408693862618600079e-01,-4.024522983935029430e+01,-5.533430957764679761e+02
2.049599999999998801e+01,9.396107704478220413e-01,-4.024436275688550069e+01,-5.533435692029800066e+02
2.147199999999998710e+01,9.387820108012550069e-01,-4.024175610286929583e+01,-5.533446521094249420e+02
2.244799999999998619e+01,9.387069079700799401e-01,-4.023815686476410036e+01,-5.533465430729070249e+02
2.342399999999998528e+01,9.397092626022180983e-01,-4.023431203003249834e+01,-5.533494406705309530e+02
2.439999999999998437e+01,9.430170666397219570e-01,-4.023193619755119954e+01,-5.533542874173770088e+02
2.537599999999998346e+01,9.504850305403790278e-01,-4.023341464285299907e+01,-5.533625414713500277e+02
2.635199999999998255e+01,9.588919627341708773e-01,-4.023570071486270194e+01,-5.533714847099420240e+02
2.732799999999998164e+01,9.676737509778658985e-01,-4.023859120979989967e+01,-5.533805851655879451e+02
2.830399999999998073e+01,9.762662830282350379e-01,-4.024188292388470245e+01,-5.533893108707230795e+02
2.927999999999997982e+01,9.831300322459020080e-01,-4.024470961768220434e+01,-5.533964227801500328e+02
3.025599999999997891e+01,9.866773588730600730e-01,-4.024617234698470014e+01,-5.534006469715409366e+02
3.123199999999997800e+01,9.893819363785500975e-01,-4.024813283573620026e+01,-5.534036535672969421e+02
3.220799999999997709e+01,9.914787631355649333e-01,-4.025093107372740064e+01,-5.534054898749050153e+02
3.318399999999997618e+01,9.932028375172969881e-01,-4.025490705074869879e+01,-5.534062032018559876e+02
3.415999999999997527e+01,9.953653517899649916e-01,-4.026203037726450162e+01,-5.534052587728830304e+02
3.513599999999997436e+01,9.985402141065239379e-01,-4.027359956482499825e+01,-5.534023615218840177e+02
3.611199999999997345e+01,1.001500363754959988e+00,-4.028581953386139958e+01,-5.533990357581659509e+02
3.708799999999997254e+01,1.004075646951130052e+00,-4.029788440236700353e+01,-5.533957380821580045e+02
3.806399999999997164e+01,1.006095909910859953e+00,-4.030898828833510095e+01,-5.533929250942900353e+02
3.903999999999997073e+01,1.006841654795959995e+00,-4.031687594469340041e+01,-5.533922627578870106e+02
4.001599999999996982e+01,1.006010229670469824e+00,-4.032039191219010377e+01,-5.533944993641549672e+02
4.099199999999996891e+01,1.004587235870900042e+00,-4.032177960200410638e+01,-5.533975471559609787e+02
4.196799999999996800e+01,1.002741028837949910e+00,-4.032112623989640099e+01,-5.534011175166699559e+02
4.294399999999996709e+01,1.000639964012330019e+00,-4.031851905162800165e+01,-5.534049218296449908e+02
4.391999999999996618e+01,9.987109492113860343e-01,-4.031299327766300422e+01,-5.534080166713609970e+02
4.489599999999996527e+01,9.971146554191708811e-01,-4.030466740986960161e+01,-5.534101328862569744e+02
4.587199999999996436e+01,9.955628631905020232e-01,-4.029548636368050296e+01,-5.534121381749019974e+02
4.684799999999996345e+01,9.940820610930479750e-01,-4.028611458587860028e+01,-5.534141032112760286e+02
4.782399999999996254e+01,9.926987376944749197e-01,-4.027721652324720480e+01,-5.534160986693569839e+02
4.879999999999996163e+01,9.918964054293599730e-01,-4.027099937566050158e+01,-5.534184301300359721e+02
4.977599999999996072e+01,9.915884864520880804e-01,-4.026774591714590201e+01,-5.534211101523940215e+02
5.075199999999995981e+01,9.911183126349779604e-01,-4.026581449587820316e+01,-5.534238582722999809e+02
5.172799999999995890e+01,9.902862397178789911e-01,-4.026510621312529281e+01,-5.534266289330030304e+02
5.270399999999995799e+01,9.888926234406409943e-01,-4.026552217015520085e+01,-5.534293765777520093e+02
5.367999999999995708e+01,9.854734882677820273e-01,-4.026701499557929509e+01,-5.534324318141880212e+02
5.465599999999995617e+01,9.803682643183291301e-01,-4.026946382089730037e+01,-5.534355886993280365e+02
5.563199999999995526e+01,9.749859812726741071e-01,-4.027270418647179895e+01,-5.534383230638969735e+02
5.660799999999995435e+01,9.696969413509390900e-01,-4.027661396561570228e+01,-5.534404197805870353e+02
5.758399999999995345e+01,9.648714467732160127e-01,-4.028107103164210656e+01,-5.534416637220909934e+02
5.855999999999995254e+01,9.624289583752909660e-01,-4.028655815884690128e+01,-5.534403554984729681e+02
5.953599999999995163e+01,9.618469441153859600e-01,-4.029260459495439761e+01,-5.534371354152669937e+02
6.051199999999995072e+01,9.618127053410890914e-01,-4.029843105083200072e+01,-5.534334008426509399e+02
6.148799999999994981e+01,9.620548714483230235e-01,-4.030366484538560456e+01,-5.534295514456259752e+02
6.246399999999994890e+01,9.623020718329940992e-01,-4.030793329752120258e+01,-5.534259868891970200e+02
6.343999999999994799e+01,9.622203690941300014e-01,-4.030907537061179369e+01,-5.534249156653829687e+02
6.441599999999995418e+01,9.615824396205749913e-01,-4.030797738498739591e+01,-5.534254640262380462e+02
6.539199999999995327e+01,9.601750065509619958e-01,-4.030592716108429840e+01,-5.534263521267299666e+02
6.636799999999995237e+01,9.577506834865451291e-01,-4.030323756170000138e+01,-5.534272862403660156e+02
