# Time,X,Y,Z
0.000000000000000000e+00,-2.992234802246089398e+00,-4.343757435559080449e+01,-5.527909889716739826e+02
9.759999999999999787e-01,-2.989190538834689992e+00,-4.343904253869760623e+01,-5.527883856861819822e+02
1.951999999999999957e+00,-2.988359482542159995e+00,-4.344078248322079361e+01,-5.527848706277060273e+02
2.927999999999999936e+00,-2.989422071278089899e+00,-4.344266784604160136e+01,-5.527807494522669458e+02
3.903999999999999915e+00,-2.992058742952080408e+00,-4.344457228404100135e+01,-5.527763278158849971e+02
4.879999999999999893e+00,-2.995949935473720238e+00,-4.344636945410010043e+01,-5.527719113745810091e+02
5.855999999999999872e+00,-3.000776086752590111e+00,-4.344793301310009781e+01,-5.527678057843760371e+02
6.831999999999999851e+00,-3.006217634698299612e+00,-4.344913661792219983e+01,-5.527643167012899994e+02
7.807999999999999829e+00,-3.011955017220430353e+00,-4.344985392544729308e+01,-5.527617497813430418e+02
8.783999999999998920e+00,-3.017668672228570159e+00,-4.344995859255659809e+01,-5.527604106805580386e+02
9.759999999999998010e+00,-3.022967090767839426e+00,-4.344921083227160352e+01,-5.527610192663689759e+02
1.073599999999999710e+01,-3.026993910910589669e+00,-4.344663789008460242e+01,-5.527669716508139572e+02
1.171199999999999619e+01,-3.030232192660810231e+00,-4.344337897557330308e+01,-5.527739526459610033e+02
1.268799999999999528e+01,-3.032538624285069595e+00,-4.343958565238949632e+01,-5.527812532019059972e+02
1.366399999999999437e+01,-3.033769894049940241e+00,-4.343540948418529268e+01,-5.527881642687419799e+02
1.463999999999999346e+01,-3.033419425009869830e+00,-4.343092743253450294e+01,-5.527932735989420507e+02
1.561599999999999255e+01,-3.029796565784649953e+00,-4.342597329117919713e+01,-5.527928768501750483e+02
1.659199999999999164e+01,-3.025351215699029428e+00,-4.342123117940359833e+01,-5.527912848306430078e+02
1.756799999999999073e+01,-3.020533633627620507e+00,-4.341697455968070329e+01,-5.527889375061480450e+02
1.854399999999998983e+01,-3.015794078445060311e+00,-4.341347689448330271e+01,-5.527862748424889787e+02
1.951999999999998892e+01,-3.012182365178399657e+00,-4.341153314597049473e+01,-5.527840103797290112e+02
2.049599999999998801e+01,-3.011741543931549803e+00,-4.341280220167949722e+01,-5.527833108655750038e+02
2.147199999999998710e+01,-3.011847195222100204e+00,-4.341488313939930066e+01,-5.527832133068239955e+02
2.244799999999998619e+01,-3.012214302111869912e+00,-4.341740987165789534e+01,-5.527838221669139784e+02
2.342399999999998528e+01,-3.012557847662720167e+00,-4.342001631098339942e+01,-5.527852419092810123e+02
2.439999999999998437e+01,-3.012061350712800234e+00,-4.342188698229860222e+01,-5.527877549383239284e+02
2.537599999999998346e+01,-3.009539958416779459e+00,-4.342189492828589437e+01,-5.527917669940900396e+02
2.635199999999998255e+01,-3.006792324127299576e+00,-4.342143594037040089e+01,-5.527966849006030543e+02
2.732799999999998164e+01,-3.004055327034149681e+00,-4.342058522823689515e+01,-5.528024383838210269e+02
2.830399999999998073e+01,-3.001565846327120202e+00,-4.341941800157029974e+01,-5.528089571697059910e+02
2.927999999999997982e+01,-3.000167758231580439e+00,-4.341769452813039720e+01,-5.528169160061979710e+02
3.025599999999997891e+01,-3.000734879601870020e+00,-4.341515954089729235e+01,-5.528270263900750479e+02
3.123199999999997800e+01,-3.001613685990529579e+00,-4.341286909020820417e+01,-5.528368977851059753e+02
3.220799999999997709e+01,-3.002543772789600052e+00,-4.341115640268889564e+01,-5.528458495561769723e+02
3.318399999999997618e+01,-3.003264735391069529e+00,-4.341035470496480286e+01,-5.528532010681759630e+02
3.415999999999997527e+01,-3.003159865803429973e+00,-4.341189742106770666e+01,-5.528560247415420008e+02
3.513599999999997436e+01,-3.001759186387090050e+00,-4.341676489950349804e+01,-5.528523183173670077e+02
3.611199999999997345e+01,-2.999706392013210099e+00,-4.342249867879889536e+01,-5.528471026539709783e+02
3.708799999999997254e+01,-2.996991613676769806e+00,-4.342865837905189608e+01,-5.528412770608269966e+02
3.806399999999997164e+01,-2.993604982372779943e+00,-4.343480362036069664e+01,-5.528357408474070098e+02
3.903999999999997073e+01,-2.988880303624109835e+00,-4.343970510256989570e+01,-5.528334779183519458e+02
4.001599999999996982e+01,-2.982649407064290159e+00,-4.344273216343600552e+01,-5.528358903742080201e+02
4.099199999999996891e+01,-2.976283255098230107e+00,-4.344510421824760726e+01,-5.528394917812850053e+02
4.196799999999996800e+01,-2.970176410561189861e+00,-4.344686702467119943e+01,-5.528438969083960046e+02
4.294399999999996709e+01,-2.964723436288410507e+00,-4.344806634037320237e+01,-5.528487205243560538e+02
4.391999999999996618e+01,-2.961603938962069638e+00,-4.344885649321820154e+01,-5.528529098956939833e+02
4.489599999999996527e+01,-2.961174288524819787e+00,-4.344928001401878959e+01,-5.528560996294550023e+02
4.587199999999996436e+01,-2.961559802577189870e+00,-4.344919093752820061e+01,-5.528590832305529830e+02
4.684799999999996345e+01,-2.962449944450729955e+00,-4.344857544929639914e+01,-5.528618417243840213e+02
4.782399999999996254e+01,-2.963534177476990106e+00,-4.344741973487329290e+01,-5.528643561363469416e+02
4.879999999999996163e+01,-2.962841904921160285e+00,-4.344556430932459534e+01,-5.528661755972569836e+02
4.977599999999996072e+01,-2.960473284286260220e+00,-4.344303139669529656e+01,-5.528673879822559911e+02
5.075199999999995981e+01,-2.958599227313749580e+00,-4.344002492991139519e+01,-5.528686199099720397e+02
5.172799999999995890e+01,-2.957730585678540081e+00,-4.343660317144729532e+01,-5.528700661047309950e+02
5.270399999999995799e+01,-2.958378211055529672e+00,-4.343282438377760002e+01,-5.528719212908620193e+02
5.367999999999995708e+01,-2.964414951974919887e+00,-4.342861090291120263e+01,-5.528759296549960709e+02
5.465599999999995617e+01,-2.974918201649220162e+00,-4.342407894642349930e+01,-5.528816252752440050e+02
5.563199999999995526e+01,-2.986121169621680504e+00,-4.341945972307929935e+01,-5.528872314153400112e+02
5.660799999999995435e+01,-2.997019156767970482e+00,-4.341487276949860785e+01,-5.528922443192890341e+02
5.758399999999995345e+01,-3.006607463963800075e+00,-4.341043762230160041e+01,-5.528961602310920398e+02
5.855999999999995254e+01,-3.009485139658450326e+00,-4.340649756762029909e+01,-5.528964253247950182e+02
5.953599999999995163e+01,-3.007181198678140266e+00,-4.340304318738989764e+01,-5.528937173720210012e+02
6.051199999999995072e+01,-3.003467016204839801e+00,-4.339995093751899446e+01,-5.528897598051519253e+02
6.148799999999994981e+01,-2.999158853008280001e+00,-4.339724767594970700e+01,-5.528848980219650002e+02
6.246399999999994890e+01,-2.995072969858140421e+00,-4.339496026062440137e+01,-5.528794774202400504e+02
6.343999999999994799e+01,-2.994069708485810111e+00,-4.339343062595339973e+01,-5.528739890257460274e+02
6.441599999999995418e+01,-2.995526297705839891e+00,-4.339246381624950288e+01,-5.528686757138769963e+02
6.539199999999995327e+01,-2.998361053709040380e+00,-4.339179413851479694e+01,-5.528637476662510153e+02
6.636799999999995237e+01,-3.002606664190960117e+00,-4.339132767002379154e+01,-5.528594944560700242e+02
6.734399999999995146e+01,-3.008295816847169846e+00,-4.339097048805120238e+01,-5.528562056565339162e+02
6.831999999999995055e+01,-3.017719231442769878e+00,-4.338999497391039739e+01,-5.528558668312399504e+02
6.929599999999994964e+01,-3.029071197882080124e+00,-4.338882313431059856e+01,-5.528573867470460073e+02
7.027199999999994873e+01,-3.040594535203870130e+00,-4.338786335675680306e+01,-5.528597106206709668e+02
