# Time,X,Y,Z
0.000000000000000000e+00,-2.588319152832029957e+00,-4.331511794995120113e+01,-5.523210984669129857e+02
9.759999999999999787e-01,-2.588378010432580201e+00,-4.331754129816140164e+01,-5.523190655944879381e+02
1.951999999999999957e+00,-2.589651181471620323e+00,-4.331939992970960418e+01,-5.523164056538590785e+02
2.927999999999999936e+00,-2.591957791185929949e+00,-4.332071610440110021e+01,-5.523133251768150558e+02
3.903999999999999915e+00,-2.595116964812259841e+00,-4.332151208204129489e+01,-5.523100306951489529e+02
4.879999999999999893e+00,-2.598947827587379855e+00,-4.332181012243569995e+01,-5.523067287406490777e+02
5.855999999999999872e+00,-2.603269504748060292e+00,-4.332163248538950029e+01,-5.523036258451069216e+02
6.831999999999999851e+00,-2.607901121531059907e+00,-4.332100143070839948e+01,-5.523009285403139756e+02
7.807999999999999829e+00,-2.612661803173160102e+00,-4.331993921819749715e+01,-5.522988433580579795e+02
8.783999999999998920e+00,-2.617370674911120076e+00,-4.331846810766249689e+01,-5.522975768301309927e+02
9.759999999999998010e+00,-2.621829120250029899e+00,-4.331658709656979767e+01,-5.522976125526149644e+02
1.073599999999999710e+01,-2.625723892310819707e+00,-4.331414488302999644e+01,-5.523012242504730693e+02
1.171199999999999619e+01,-2.629072038865770011e+00,-4.331142323596399990e+01,-5.523055275922019973e+02
1.268799999999999528e+01,-2.631736147595269859e+00,-4.330850140161510353e+01,-5.523100503770189107e+02
1.366399999999999437e+01,-2.633578806179730059e+00,-4.330545862622690123e+01,-5.523143204041419949e+02
1.463999999999999346e+01,-2.634140665998809805e+00,-4.330234112509079836e+01,-5.523173726204199738e+02
1.561599999999999255e+01,-2.631913016889799728e+00,-4.329908744806989773e+01,-5.523166355048439300e+02
1.659199999999999164e+01,-2.629056626340100067e+00,-4.329601263670420508e+01,-5.523151551407029274e+02
1.756799999999999073e+01,-2.625960121737220376e+00,-4.329324990938020790e+01,-5.523132646415409681e+02
1.854399999999998983e+01,-2.623012130468649783e+00,-4.329093248448399578e+01,-5.523112971209010311e+02
1.951999999999998892e+01,-2.621251247970560083e+00,-4.328935060022540426e+01,-5.523097940546130076e+02
2.049599999999998801e+01,-2.622792817973740309e+00,-4.328905461655529763e+01,-5.523096420949190133e+02
2.147199999999998710e+01,-2.624692264322070034e+00,-4.328937251378089712e+01,-5.523101058200979878e+02
2.244799999999998619e+01,-2.626541115109980229e+00,-4.329024494637909726e+01,-5.523112628151289982e+02
2.342399999999998528e+01,-2.627930898431940054e+00,-4.329161256882689202e+01,-5.523131906649859957e+02
2.439999999999998437e+01,-2.627561315401790054e+00,-4.329354276010580094e+01,-5.523160966757679944e+02
2.537599999999998346e+01,-2.623513918645600018e+00,-4.329619073525839923e+01,-5.523202780667780871e+02
2.635199999999998255e+01,-2.618876752676299713e+00,-4.329900030987760573e+01,-5.523253038353589091e+02
2.732799999999998164e+01,-2.614117116763950310e+00,-4.330178769538910188e+01,-5.523311241807400620e+02
2.830399999999998073e+01,-2.609702310178609874e+00,-4.330436910321879651e+01,-5.523376893021489877e+02
2.927999999999997982e+01,-2.607098584025949961e+00,-4.330594510724570512e+01,-5.523458179105259660e+02
3.025599999999997891e+01,-2.607821463532560280e+00,-4.330568591451760341e+01,-5.523563715567200916e+02
3.123199999999997800e+01,-2.609227158339479935e+00,-4.330532504971070296e+01,-5.523665955872460245e+02
3.220799999999997709e+01,-2.610964573996120031e+00,-4.330518308680910167e+01,-5.523757286710380185e+02
3.318399999999997618e+01,-2.612682616051879680e+00,-4.330558059979659902e+01,-5.523830094770339656e+02
3.415999999999997527e+01,-2.613683586521939883e+00,-4.330782553757349973e+01,-5.523853194337340256e+02
3.513599999999997436e+01,-2.613412523249629693e+00,-4.331281923524890232e+01,-5.523805107118969318e+02
3.611199999999997345e+01,-2.612397818450189924e+00,-4.331837685937049542e+01,-5.523738033432599650e+02
3.708799999999997254e+01,-2.610532092803059978e+00,-4.332412470881489952e+01,-5.523660934961579869e+02
3.806399999999997164e+01,-2.607707966987680148e+00,-4.332968908245860007e+01,-5.523582773389269960e+02
3.903999999999997073e+01,-2.602831883889499931e+00,-4.333396428155940328e+01,-5.523527599644700103e+02
4.001599999999996982e+01,-2.595558604629220056e+00,-4.333640005203360346e+01,-5.523508014840230089e+02
4.099199999999996891e+01,-2.587855551690020128e+00,-4.333816272941150061e+01,-5.523501234661520130e+02
