# Time,X,Y,Z
0.000000000000000000e+00,-4.675857025146480161e+00,-1.170707435668940022e+01,-5.117367396762110161e+02
9.529999999999999583e-01,-4.673320755608309618e+00,-1.171336987907249849e+01,-5.117443787335369620e+02
1.905999999999999917e+00,-4.672792261613309073e+00,-1.171748088368599916e+01,-5.117475012794339477e+02
2.858999999999999986e+00,-4.673873660493529592e+00,-1.171971897809750018e+01,-5.117467987364679516e+02
3.811999999999999833e+00,-4.676167069580980495e+00,-1.172039576987469900e+01,-5.117429625272029625e+02
4.764999999999999680e+00,-4.679274606207690645e+00,-1.171982286658520067e+01,-5.117366840742040495e+02
5.717999999999999972e+00,-4.682798387705690679e+00,-1.171831187579650013e+01,-5.117286548000370203e+02
6.671000000000000263e+00,-4.686340531407010346e+00,-1.171617440507640140e+01,-5.117195661272670009e+02
7.624000000000000554e+00,-4.689503154643659855e+00,-1.171372206199230170e+01,-5.117101094784599127e+02
8.576999999999999957e+00,-4.691888374747669843e+00,-1.171126645411190026e+01,-5.117009762761810521e+02
9.529999999999999361e+00,-4.692750770330480492e+00,-1.170919864997760129e+01,-5.116931871342500244e+02
1.048299999999999876e+01,-4.689099451648400141e+00,-1.170842312021830089e+01,-5.116898895907839915e+02
1.143599999999999817e+01,-4.684413595275070286e+00,-1.170836502468130114e+01,-5.116881026890529824e+02
1.238899999999999757e+01,-4.679146694401899786e+00,-1.170914131303959849e+01,-5.116877114220919793e+02
1.334199999999999697e+01,-4.673752242220290398e+00,-1.171086893496609882e+01,-5.116886007829290293e+02
1.429499999999999638e+01,-4.669015302252839561e+00,-1.171400628886290107e+01,-5.116908963210159982e+02
1.524799999999999578e+01,-4.666801701991300177e+00,-1.172012473605169980e+01,-5.116955076870760308e+02
1.620099999999999696e+01,-4.665197981170510211e+00,-1.172690375465309920e+01,-5.117006026340740164e+02
1.715399999999999636e+01,-4.664115851394879719e+00,-1.173390237157969906e+01,-5.117056730889890446e+02
1.810699999999999577e+01,-4.663467024268849848e+00,-1.174067961374399971e+01,-5.117102109788030475e+02
1.905999999999999517e+01,-4.663228176298099825e+00,-1.174633156647140098e+01,-5.117131223384240002e+02
2.001299999999999457e+01,-4.663483605965530465e+00,-1.174918739805599976e+01,-5.117123426037439913e+02
2.096599999999999397e+01,-4.663811868131380045e+00,-1.175118021909760024e+01,-5.117103683073000298e+02
2.191899999999999338e+01,-4.664045003596320349e+00,-1.175243679274330155e+01,-5.117074098947360312e+02
2.287199999999999278e+01,-4.664015053161089774e+00,-1.175308388214009980e+01,-5.117036778116940354e+02
2.382499999999999218e+01,-4.663148360796480318e+00,-1.175324007524720038e+01,-5.116992416643869888e+02
2.477799999999999159e+01,-4.660590071442849869e+00,-1.175301829358870087e+01,-5.116940734396289940e+02
2.573099999999999099e+01,-4.657762809789929292e+00,-1.175257735213200050e+01,-5.116889357611219680e+02
2.668399999999999039e+01,-4.654897009597459778e+00,-1.175205204203200182e+01,-5.116841773783480107e+02
2.763699999999998980e+01,-4.652223104625179850e+00,-1.175157715444330009e+01,-5.116801470407900183e+02
2.858999999999998920e+01,-4.650513775973800001e+00,-1.175151494857110102e+01,-5.116778801913640109e+02
2.954299999999998860e+01,-4.650568451541619908e+00,-1.175223890367009894e+01,-5.116784461446610521e+02
3.049599999999998801e+01,-4.650928814919719656e+00,-1.175317539486490048e+01,-5.116800550437909578e+02
3.144899999999998741e+01,-4.651381062414660761e+00,-1.175427285955630019e+01,-5.116824930629840082e+02
