# Time,X,Y,Z
0.000000000000000000e+00,-7.332177825927740145e+00,5.925029748535171059e-01,-5.078878318386859974e+02
9.529999999999999583e-01,-7.338685103069191307e+00,6.007603355169449655e-01,-5.078905447559660615e+02
1.905999999999999917e+00,-7.341441484583980603e+00,6.049629894782200257e-01,-5.078921033085489398e+02
2.858999999999999986e+00,-7.340920533094219991e+00,6.057315159864978815e-01,-5.078928205360249990e+02
3.811999999999999833e+00,-7.337595811222039188e+00,6.036864942909370146e-01,-5.078930094779799447e+02
4.764999999999999680e+00,-7.331940881589569692e+00,5.994485036406930201e-01,-5.078929831740039731e+02
5.717999999999999972e+00,-7.324429306818940333e+00,5.936381232849210488e-01,-5.078930546636850067e+02
6.671000000000000263e+00,-7.315534649532269285e+00,5.868759324727789162e-01,-5.078935369866110250e+02
7.624000000000000554e+00,-7.305730472351680049e+00,5.797825104534229945e-01,-5.078947431823709735e+02
8.576999999999999957e+00,-7.295490337899309452e+00,5.729784364760089899e-01,-5.078969862905530022e+02
9.529999999999999361e+00,-7.285395497037179702e+00,5.674917521671860587e-01,-5.079008959200250501e+02
1.048299999999999876e+01,-7.276722980753460135e+00,5.669831378218589402e-01,-5.079091470526180387e+02
1.143599999999999817e+01,-7.268745007299419747e+00,5.675276193949828629e-01,-5.079185211563799953e+02
1.238899999999999757e+01,-7.261671332238160304e+00,5.687476035257499341e-01,-5.079285557617890277e+02
1.334199999999999697e+01,-7.255711711132799557e+00,5.702654968533520385e-01,-5.079387883993269952e+02
1.429499999999999638e+01,-7.251522504310799810e+00,5.715007394680879926e-01,-5.079484123274510239e+02
1.524799999999999578e+01,-7.251215794437559481e+00,5.712111955823699905e-01,-5.079554986390609770e+02
1.620099999999999696e+01,-7.251813196910469550e+00,5.704681722019480095e-01,-5.079620424906299831e+02
1.715399999999999636e+01,-7.252794720945639817e+00,5.692257206537428837e-01,-5.079681439486270165e+02
1.810699999999999577e+01,-7.253640375759160541e+00,5.674378922646720058e-01,-5.079739030795229837e+02
1.905999999999999517e+01,-7.253181791240440823e+00,5.646589631795420061e-01,-5.079794835887229851e+02
2.001299999999999457e+01,-7.249176480886179164e+00,5.597809350716600463e-01,-5.079851546068969697e+02
2.096599999999999397e+01,-7.244429510083739920e+00,5.548080093589490280e-01,-5.079906898437960194e+02
2.191899999999999338e+01,-7.239216038986870494e+00,5.501845084143969222e-01,-5.079961113212349915e+02
2.287199999999999278e+01,-7.233811227749320061e+00,5.463547546109920328e-01,-5.080014410610289701e+02
2.382499999999999218e+01,-7.228656266384620999e+00,5.447569711547060045e-01,-5.080068285856889929e+02
2.477799999999999159e+01,-7.224307424522999455e+00,5.475182797831961157e-01,-5.080125117918660180e+02
2.573099999999999099e+01,-7.220388922008258881e+00,5.511862934659490509e-01,-5.080180128192299662e+02
2.668399999999999039e+01,-7.217012878215230742e+00,5.552293272112800437e-01,-5.080232284843060029e+02
2.763699999999998980e+01,-7.214291412518710089e+00,5.591156960275009968e-01,-5.080280556036170196e+02
2.858999999999998920e+01,-7.212402496888409509e+00,5.611159718446789846e-01,-5.080321239980860355e+02
2.954299999999998860e+01,-7.211527351527630358e+00,5.594416469290660610e-01,-5.080350503187580102e+02
3.049599999999998801e+01,-7.211573007519719525e+00,5.572912322182579370e-01,-5.080375629011110163e+02
3.144899999999998741e+01,-7.212597634340929709e+00,5.551142966505530074e-01,-5.080397772984929929e+02
3.240199999999998681e+01,-7.214659401467530486e+00,5.533604091642440048e-01,-5.080418090642539823e+02
3.335499999999998977e+01,-7.218303567684150934e+00,5.536544410774160152e-01,-5.080442874921610041e+02
3.430799999999999272e+01,-7.223874802085799907e+00,5.571372589547100018e-01,-5.080476303110030472e+02
3.526099999999999568e+01,-7.230195312855440370e+00,5.612761690918360857e-01,-5.080506494871880250e+02
3.621399999999999864e+01,-7.236980771420300051e+00,5.656943236593520163e-01,-5.080530993362280014e+02
3.716700000000000159e+01,-7.243946849207610228e+00,5.700148748278111022e-01,-5.080547341736329372e+02
3.812000000000000455e+01,-7.250566091960790160e+00,5.730843532693430387e-01,-5.080544861641200214e+02
